Tahun,count,cluster
201401,14,18
201402,177,18
201403,412,18
201404,29,18
201405,42,18
201406,74,18
201407,54,18
201408,20,18
201409,27,18
201410,16,18
201411,16,18
201412,4,18
201501,3,18
201502,30,18
201503,47,18
201504,96,18
201505,36,18
201506,40,18
201507,110,18
201508,14,18
201509,37,18
201510,13,18
201511,10,18
201512,59,18
201601,54,18
201602,26,18
201603,45,18
201604,78,18
201605,55,18
201606,36,18
201607,33,18
201608,76,18
201609,39,18
201610,10,18
201611,1,18
201612,12,18
201701,13,18
201702,12,18
201703,27,18
201704,24,18
201705,37,18
201706,39,18
201707,40,18
201708,19,18
201709,14,18
201710,32,18
201711,11,18
201712,5,18
201801,35,18
201802,60,18
201803,68,18
201804,40,18
201805,45,18
201806,16,18
201807,16,18
201808,106,18
201809,25,18
201810,19,18
201811,5,18
201812,6,18
201901,2,18
201902,44,18
201903,69,18
201904,41,18
201905,43,18
201906,42,18
201907,55,18
201908,139,18
