Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.519001185894,103.031517029,2017-08-01,03:32:00,43,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.940125882626,102.488960266,2017-08-01,06:22:00,64,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.897095859051,102.223754883,2017-08-01,06:22:00,84,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.944856464863,101.895622253,2017-08-01,06:22:00,61,aqua,Kuatan Mudik , Kab. Kuantan Singingi , Riau 
-0.883870065212,102.085021973,2017-08-01,06:22:00,72,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.878683388233,102.043167114,2017-08-01,06:22:00,57,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.852926850319,101.977165222,2017-08-01,06:22:00,64,aqua,Peranap , Kab. Indragiri Hulu , Riau 
-0.216073304415,101.699760437,2017-08-01,06:22:00,59,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.204964146018,101.698112488,2017-08-01,06:22:00,83,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.0796116441488,103.540367126,2017-08-01,06:22:00,49,aqua,Enok , Kab. Indragiri Hilir , Riau 
0.115714907646,102.865898132,2017-08-01,06:22:00,33,aqua,Enok , Kab. Indragiri Hilir , Riau 
0.182139113545,102.694549561,2017-08-01,06:22:00,58,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.0918805152178,101.850128174,2017-08-01,06:22:00,56,aqua,Langgam , Kab. Pelalawan , Riau 
0.128530964255,101.872627258,2017-08-01,06:22:00,37,aqua,Langgam , Kab. Pelalawan , Riau 
0.884219110012,103.019699097,2017-08-01,06:22:00,40,aqua,Tebing Tinggi , Kab. Kepulauan Meranti , Riau 
0.98669564724,102.884933472,2017-08-01,06:22:00,79,aqua,Tebing Tinggi , Kab. Kepulauan Meranti , Riau 
0.988374829292,102.89630127,2017-08-01,06:23:00,80,aqua,Tebing Tinggi , Kab. Kepulauan Meranti , Riau 
-0.757711,103.211,2017-08-01,06:04:50,56,snpp,Reteh , Indragiri Hilir , Riau 
-0.0163039,101.498,2017-08-01,06:04:50,77,snpp,Kampar Kiri Hilir , Kampar , Riau 
0.891241,103.028,2017-08-01,06:04:50,65,snpp,Rangsang , Kepulauan Meranti , Riau 
0.271603912115,102.920455933,2017-08-03,03:18:00,65,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.220852285624,102.379165649,2017-08-03,03:18:00,45,terra,Rengat , Kab. Indragiri Hulu , Riau 
-0.313959002495,102.704071045,2017-08-03,03:18:00,44,terra,Tempuling , Kab. Indragiri Hilir , Riau 
-0.854125082493,102.912994385,2017-08-03,06:11:00,79,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.843962013721,102.890808105,2017-08-03,06:11:00,39,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.865660429001,102.34954071,2017-08-03,06:11:00,74,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.868870317936,102.326377869,2017-08-03,06:11:00,77,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.872382164001,102.343261719,2017-08-03,06:11:00,84,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.710510969162,102.733772278,2017-08-03,06:11:00,45,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.20908151567,103.125236511,2017-08-03,06:11:00,60,aqua,Batang Tuaka , Kab. Indragiri Hilir , Riau 
-0.222624063492,102.371513367,2017-08-03,06:11:00,48,aqua,Rengat , Kab. Indragiri Hulu , Riau 
-0.24378156662,101.880210876,2017-08-03,06:11:00,70,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.0871709510684,103.365821838,2017-08-03,06:11:00,63,aqua,Enok , Kab. Indragiri Hilir , Riau 
0.120797023177,102.869018555,2017-08-03,06:11:00,55,aqua,Enok , Kab. Indragiri Hilir , Riau 
0.104188203812,102.388748169,2017-08-03,06:11:00,57,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.332003682852,103.06893158,2017-08-03,06:11:00,80,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.329341828823,103.050064087,2017-08-03,06:11:00,87,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.345414161682,103.060073853,2017-08-03,06:11:00,55,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.557676255703,103.169082642,2017-08-03,06:11:00,73,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.570156812668,103.167205811,2017-08-03,06:11:00,72,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.956685721874,101.86491394,2017-08-03,06:11:00,61,aqua,Siak , Kab. Siak , Riau 
-0.239267483354,101.872123718,2017-08-03,06:10:00,63,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.854069173336,102.909126282,2017-08-03,15:37:00,84,terra,Keritang , Kab. Indragiri Hilir , Riau 
-0.844949185848,102.907814026,2017-08-03,15:37:00,68,terra,Keritang , Kab. Indragiri Hilir , Riau 
-0.702992618084,102.743354797,2017-08-03,15:37:00,56,terra,Keritang , Kab. Indragiri Hilir , Riau 
-0.2593100667,101.596710205,2017-08-03,15:37:00,35,terra,Kuatan Hilir , Kab. Kuantan Singingi , Riau 
0.270339816809,102.920982361,2017-08-03,15:37:00,77,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.335011303425,103.060447693,2017-08-03,15:37:00,59,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.344259560108,103.059112549,2017-08-03,15:37:00,100,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.342911928892,103.049583435,2017-08-03,15:37:00,100,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.571095228195,103.161064148,2017-08-03,15:37:00,60,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.34610658884,103.05317688,2017-08-03,18:37:00,100,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.344766616821,103.062278748,2017-08-03,18:37:00,100,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
-0.704202651978,102.7447052,2017-08-03,18:37:00,50,aqua,Keritang , Kab. Indragiri Hilir , Riau 
1.000652,101.961502,2017-08-04,04:04:00,54,terra,Siak , Kab. Siak , Riau 
0.871673,102.203377,2017-08-04,04:04:00,39,terra,Sungai Apit , Kab. Siak , Riau 
0.449291,103.008453,2017-08-04,04:04:00,39,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.205711,102.442963,2017-08-04,04:04:00,59,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.203653,102.455528,2017-08-04,04:04:00,58,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.11683,102.872032,2017-08-04,04:04:00,38,terra,Enok , Kab. Indragiri Hilir , Riau 
0.107404,102.397194,2017-08-04,04:04:00,33,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.215626,102.371063,2017-08-04,04:04:00,54,terra,Rengat , Kab. Indragiri Hulu , Riau 
-0.925033,102.741653,2017-08-04,04:04:00,66,terra,Keritang , Kab. Indragiri Hilir , Riau 
-0.933578,102.733841,2017-08-04,04:04:00,41,terra,Keritang , Kab. Indragiri Hilir , Riau 
-0.857117,102.918205,2017-08-04,06:54:00,63,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.846211,102.916634,2017-08-04,06:54:00,80,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.848174,102.903053,2017-08-04,06:54:00,81,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.186776,102.96138,2017-08-04,06:54:00,19,aqua,Gaunganakserka , Kab. Indragiri Hilir , Riau 
-0.279173,101.895287,2017-08-04,06:54:00,64,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.018881,103.03492,2017-08-04,06:54:00,48,aqua,Enok , Kab. Indragiri Hilir , Riau 
2.195119,101.051483,2017-08-04,06:54:00,79,aqua,Dumai Barat , Kota Dumai , Riau 
2.193531,101.040215,2017-08-04,06:54:00,35,aqua,Dumai Barat , Kota Dumai , Riau 
2.200782,100.948021,2017-08-04,06:54:00,83,aqua,Bangko , Kab. Rokan Hilir , Riau 
-0.747598,102.802,2017-08-04,06:49:04,90,snpp,Keritang , Indragiri Hilir , Riau 
0.321294,102.779,2017-08-04,06:49:04,51,snpp,Teluk Meranti , Pelalawan , Riau 
0.402569,102.961,2017-08-04,06:49:04,55,snpp,Teluk Meranti , Pelalawan , Riau 
1.77537894249,101.159622192,2017-08-05,03:06:00,26,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
1.95631,100.591,2017-08-05,06:31:33,44,snpp,Bagan Sinembah , Rokan Hilir , Riau 
2.16699,100.881,2017-08-05,06:31:33,46,snpp,Bangko , Rokan Hilir , Riau 
-0.848121,102.912,2017-08-05,06:30:08,82,snpp,Keritang , Indragiri Hilir , Riau 
-0.826215,102.086,2017-08-05,06:30:08,75,snpp,Peranap , Indragiri Hulu , Riau 
-0.295387,101.886,2017-08-05,06:30:08,60,snpp,Ukui , Pelalawan , Riau 
-0.268264,101.927,2017-08-05,06:30:08,58,snpp,Ukui , Pelalawan , Riau 
-0.0341947,103.063,2017-08-05,06:30:08,100,snpp,Gaung , Indragiri Hilir , Riau 
-0.214651,101.866,2017-08-05,06:30:08,69,snpp,Ukui , Pelalawan , Riau 
-0.199827,101.894,2017-08-05,06:30:08,90,snpp,Ukui , Pelalawan , Riau 
0.0860952,103.546,2017-08-05,06:30:08,75,snpp,Mandah , Indragiri Hilir , Riau 
0.763137,103.108,2017-08-05,06:30:08,81,snpp,Rangsang , Kepulauan Meranti , Riau 
0.809301,103.01,2017-08-05,06:30:08,79,snpp,Tebing Tinggi , Kepulauan Meranti , Riau 
-0.122342541814,101.705978394,2017-08-05,15:25:00,64,terra,Pangkalan Kuras , Kab. Pelalawan , Riau 
1.10375976562,101.64012146,2017-08-05,15:25:00,30,terra,Pinggir , Kab. Bengkalis , Riau 
1.00583899021,101.967193604,2017-08-05,18:24:00,20,aqua,Siak , Kab. Siak , Riau 
-0.0311917308718,103.069465637,2017-08-05,18:24:00,59,aqua,Gaunganakserka , Kab. Indragiri Hilir , Riau 
2.21916127205,100.397659302,2017-08-06,03:50:00,72,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.21782541275,100.406669617,2017-08-06,03:50:00,66,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.05371415615,102.04233551,2017-08-06,03:50:00,56,terra,Siak Kecil , Kab. Bengkalis , Riau 
0.441956609488,101.889511108,2017-08-06,03:50:00,67,terra,Bunut , Kab. Pelalawan , Riau 
0.434699058533,100.651252747,2017-08-06,06:43:00,76,aqua,Tiga Belas Koto Kampar , Kab. Kampar , Riau 
0.433397829533,100.64213562,2017-08-06,06:43:00,77,aqua,Tiga Belas Koto Kampar , Kab. Kampar , Riau 
1.50045347214,101.666679382,2017-08-06,06:43:00,56,aqua,Bukit Batu , Kab. Bengkalis , Riau 
1.95548284054,100.59437561,2017-08-06,06:43:00,58,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.95419466496,100.585411072,2017-08-06,06:43:00,49,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.11079216003,100.848625183,2017-08-06,06:43:00,38,aqua,Bangko , Kab. Rokan Hilir , Riau 
2.22284030914,100.409454346,2017-08-06,06:43:00,89,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.22154831886,100.40045929,2017-08-06,06:43:00,98,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.23183059692,100.408157349,2017-08-06,06:43:00,68,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.23054003716,100.399162292,2017-08-06,06:43:00,83,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.31527733803,100.343711853,2017-08-06,06:43:00,47,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.22684,100.406,2017-08-06,06:12:38,100,snpp,Pasir Limau Kapas , Rokan Hilir , Riau 
2.23635,100.404,2017-08-06,06:12:38,73,snpp,Pasir Limau Kapas , Rokan Hilir , Riau 
0.769522,103.108,2017-08-06,06:11:12,68,snpp,Rangsang , Kepulauan Meranti , Riau 
-0.550928,102.669,2017-08-06,18:52:16,60,snpp,Batang Gansal , Indragiri Hulu , Riau 
-0.558892,102.667,2017-08-06,18:52:16,100,snpp,Batang Gansal , Indragiri Hulu , Riau 
0.221749767661,100.629943848,2017-08-07,07:24:00,61,aqua,Tiga Belas Koto Kampar , Kab. Kampar , Riau 
1.92834,100.412,2017-08-07,05:53:44,49,snpp,Simpang Kanan , Rokan Hilir , Riau 
1.01053,100.947,2017-08-07,18:33:20,83,snpp,Kandis , Siak , Riau 
0.557626903057,102.222167969,2017-08-10,03:25:00,40,terra,Bunut , Kab. Pelalawan , Riau 
0.555933594704,102.233840942,2017-08-10,03:25:00,37,terra,Bunut , Kab. Pelalawan , Riau 
0.193168804049,102.835624695,2017-08-10,06:17:00,27,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.450352430344,102.218276978,2017-08-10,06:17:00,46,aqua,Bunut , Kab. Pelalawan , Riau 
0.502705514431,102.034133911,2017-08-10,06:17:00,28,aqua,Bunut , Kab. Pelalawan , Riau 
1.27117776871,101.196479797,2017-08-10,06:17:00,16,aqua,Mandau , Kab. Bengkalis , Riau 
1.57435417175,101.752571106,2017-08-10,06:17:00,47,aqua,Bukit Kapur , Kota Dumai , Riau 
0.505269289017,102.137008667,2017-08-10,06:16:00,28,aqua,Bunut , Kab. Pelalawan , Riau 
1.05089,102.041,2017-08-10,06:36:32,74,snpp,Siak Kecil , Bengkalis , Riau 
0.691214,101.627068,2017-08-13,03:54:00,56,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.667076,101.604286,2017-08-13,03:54:00,39,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.442253,101.887726,2017-08-13,03:54:00,26,terra,Bunut , Kab. Pelalawan , Riau 
0.0464925,102.385,2017-08-16,06:24:00,73,snpp,Kerumutan , Pelalawan , Riau 
2.178773,101.04409,2017-08-20,04:01:00,59,terra,Dumai Barat , Kota Dumai , Riau 
1.843253,101.59214,2017-08-20,04:01:00,52,terra,Rupat , Kab. Bengkalis , Riau 
0.871264,102.207726,2017-08-20,04:01:00,35,terra,Sungai Apit , Kab. Siak , Riau 
0.633956,102.749474,2017-08-20,04:01:00,63,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.453159,103.005119,2017-08-20,04:01:00,38,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.397227,102.947372,2017-08-20,04:01:00,53,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.449739,102.233856,2017-08-20,04:01:00,58,terra,Bunut , Kab. Pelalawan , Riau 
0.529483,101.460403,2017-08-20,04:01:00,28,terra,Lima Puluh , Kota Pekanbaru , Riau 
0.48981,101.351944,2017-08-20,04:01:00,52,terra,Tampan , Kota Pekanbaru , Riau 
0.207083,102.455933,2017-08-20,04:01:00,66,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.120659,102.868561,2017-08-20,04:01:00,35,terra,Enok , Kab. Indragiri Hilir , Riau 
0.137506,102.661659,2017-08-20,04:01:00,56,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.124468,102.659798,2017-08-20,04:01:00,49,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.111174,102.397446,2017-08-20,04:01:00,35,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.098972,102.388817,2017-08-20,04:01:00,46,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.106827,102.802299,2017-08-20,04:01:00,39,terra,Gaunganakserka , Kab. Indragiri Hilir , Riau 
-0.283458,102.850433,2017-08-20,04:01:00,41,terra,Tempuling , Kab. Indragiri Hilir , Riau 
-0.309761,102.77562,2017-08-20,04:01:00,26,terra,Tempuling , Kab. Indragiri Hilir , Riau 
-0.313986,102.711304,2017-08-20,04:01:00,12,terra,Tempuling , Kab. Indragiri Hilir , Riau 
1.36305904388,101.966995239,2017-08-21,03:06:00,34,terra,Bukit Batu , Kab. Bengkalis , Riau 
1.35899400711,101.995285034,2017-08-21,03:06:00,12,terra,Bukit Batu , Kab. Bengkalis , Riau 
0.69359,102.122,2017-08-21,06:30:22,31,snpp,Dayun , Siak , Riau 
0.848764,102.127,2017-08-21,06:30:22,73,snpp,Pusako , Siak , Riau 
-0.314680963755,102.713447571,2017-08-20,06:53:00,34,aqua,Tempuling , Kab. Indragiri Hilir , Riau 
