Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-0.115721,109.855003,2016-04-01,06:17:00,29,aqua,Sungairaya , Kubu Raya , Kalimantan Barat 
-0.325812,103.149025,2016-04-01,06:17:00,39,aqua,Tembilahan , Indragiri Hilir , Riau 
-0.29286,102.500465,2016-04-01,06:17:00,72,aqua,Rengat , Indragiri Hulur , Riau 
-0.186405,101.880722,2016-04-01,06:17:00,47,aqua,Pangkalan Kuras , Pelalawan , Riau 
0.096178,103.520187,2016-04-01,06:17:00,74,aqua,Enok , Indragiri Hilir , Riau 
0.09427,103.507187,2016-04-01,06:17:00,75,aqua,Enok , Indragiri Hilir , Riau 
0.127568,103.660454,2016-04-01,06:17:00,73,aqua,Mandah , Indragiri Hilir , Riau 
-0.100111,101.933861,2016-04-01,06:17:00,62,aqua,Pangkalan Kuras , Pelalawan , Riau 
0.130519,101.881523,2016-04-01,06:17:00,60,aqua,Langgam , Pelalawan , Riau 
0.447105,103.256294,2016-04-01,06:17:00,75,aqua,Kuala Kampar , Pelalawan , Riau 
0.502663,103.003273,2016-04-01,06:17:00,64,aqua,Kuala Kampar , Pelalawan , Riau 
0.623351,103.20491,2016-04-01,06:17:00,46,aqua,Kuala Kampar , Pelalawan , Riau 
0.477336,102.038857,2016-04-01,06:17:00,41,aqua,Bunut , Pelalawan , Riau 
0.521385,102.042572,2016-04-01,06:17:00,26,aqua,Bunut , Pelalawan , Riau 
0.723613,102.867348,2016-04-01,06:17:00,52,aqua,Sungai Apit , Siak , Riau 
1.093142,104.464928,2016-04-01,06:17:00,74,aqua,Teluk Bintan , Bintan , Kepulauan Riau 
1.091559,104.453979,2016-04-01,06:17:00,69,aqua,Teluk Bintan , Bintan , Kepulauan Riau 
0.737311,101.931,2016-04-01,06:17:00,25,aqua,Siak Sri Indrapura , Siak , Riau 
0.865114,102.506332,2016-04-01,06:17:00,61,aqua,Tebingtinggi Barat , Kepulauan Meranti , Riau 
0.842441,102.353859,2016-04-01,06:17:00,23,aqua,Sungai Apit , Siak , Riau 
0.990692,102.973892,2016-04-01,06:17:00,39,aqua,Tebing Tinggi , Kepulauan Meranti , Riau 
0.988695,102.959999,2016-04-01,06:17:00,38,aqua,Tebing Tinggi , Kepulauan Meranti , Riau 
