Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.333884805441,101.020500183,2018-12-01,06:28:00,69,aqua,Tapungkiri , Kab. Rokan Hulu , Riau 
1.58794,101.789,2018-12-04,06:18:54,64,snpp,Bukit Kapur , Kota Dumai , Riau 
-0.178995504975,102.795639038,2018-12-08,06:34:00,50,aqua,Gaunganakserka , Kab. Indragiri Hilir , Riau 
-0.32274,103.161407,2018-12-10,03:31:00,59,terra,Tembilahan , Kab. Indragiri Hilir , Riau 
0.918543,101.910301,2018-12-19,03:23:00,14,terra,Siak , Siak , Riau 
0.832082,101.801315,2018-12-19,03:23:00,43,terra,Koto Gasib , Siak , Riau 
0.044058,103.000587,2018-12-19,06:16:00,45,aqua,Gaung , Indragiri Hilir , Riau 
0.170055,102.679031,2018-12-19,06:16:00,60,aqua,Teluk Meranti , Pelalawan , Riau 
0.547606,102.204445,2018-12-19,06:16:00,25,aqua,Pelalawan , Pelalawan , Riau 
0.998651,102.705681,2018-12-19,06:16:00,46,aqua,Tebing Tinggi , Kepulauan Meranti , Riau 
-0.405394,102.710434,2018-12-21,03:11:00,39,terra,Kuala Cenaku , Indragiri Hulu , Riau 
0.912102162838,101.791297913,2018-12-22,03:54:00,38,terra,Siak , Kab. Siak , Riau 
0.926940321922,101.897834778,2018-12-24,03:46:00,22,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.808383047581,102.200965881,2018-12-24,03:46:00,31,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.123317860067,102.796310425,2018-12-24,03:46:00,65,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.121888719499,102.806129456,2018-12-24,03:46:00,56,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.041012249887,101.848846436,2018-12-26,03:31:00,13,terra,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.838569,102.943,2018-12-26,06:05:09,100,snpp,Keritang , Kab. Indragiri Hilir , Riau 
-0.841659963131,102.935249329,2018-12-26,06:22:00,77,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.335835069418,102.982070923,2018-12-26,06:22:00,68,aqua,Batang Tuaka , Kab. Indragiri Hilir , Riau 
-0.134340897202,101.692459106,2018-12-26,06:22:00,48,aqua,Langgam , Kab. Pelalawan , Riau 
0.334406048059,101.022148132,2018-12-29,06:53:00,39,aqua,Tapungkiri , Kab. Rokan Hulu , Riau 
-0.402096122503,102.717773438,2018-12-30,03:06:00,44,terra,Tempuling , Kab. Indragiri Hilir , Riau 
-0.170024,101.53,2018-12-30,06:30:29,63,snpp,Kuatan Hilir , Kab. Kuantan Singingi , Riau 
-0.38418859,103.12654877,2018-12-16,06:42:09,54,noaa20,Tembilahan , Kab. Indragiri Hilir , Riau 
