Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
1.693096,127.875839,2015-02-01,04:47:00,71,aqua,Tobelo Utara , Kab. Halmahera Barat , Maluku Utara 
0,102.978249,2015-02-01,06:24:00,53,aqua,Tobelo Utara , Kab. Halmahera Barat , Maluku Utara 
-0.207095,101.859962,2015-02-01,06:24:00,84,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.20283,101.866531,2015-02-01,06:24:00,81,aqua,Pangkalan Kuras , Pelalawan , Riau 
0.079641,103.518433,2015-02-01,06:24:00,43,aqua,Enok , Indragiri Hilir , Riau 
0.128232,103.221039,2015-02-01,06:24:00,69,aqua,Enok , Indragiri Hilir , Riau 
0.30111,103.003212,2015-02-01,06:24:00,26,aqua,Enok , Indragiri Hilir , Riau 
0.355327,103.158363,2015-02-01,06:24:00,51,aqua,Enok , Indragiri Hilir , Riau 
0.381075,103.265587,2015-02-01,06:24:00,82,aqua,Mandah , Indragiri Hilir , Riau 
0.441417,103.26786,2015-02-01,06:24:00,62,aqua,Mandah , Indragiri Hilir , Riau 
0.431268,102.983757,2015-02-01,06:24:00,35,aqua,Mandah , Indragiri Hilir , Riau 
0.764647,103.09716,2015-02-01,06:24:00,31,aqua,Tebing Tinggi , Kepulauan Meranti , Riau 
1.020355,103.031189,2015-02-01,06:24:00,54,aqua,Tebing Tinggi , Kepulauan Meranti , Riau 
1.484702,102.358154,2015-02-01,06:24:00,100,aqua,Bintan , Bengkalis , Riau 
1.482984,102.346306,2015-02-01,06:24:00,100,aqua,Bintan , Bengkalis , Riau 
-6,111.418053,2015-02-03,06:11:00,49,aqua,Bintan , Bengkalis , Riau 
-1.917209,110.182549,2015-02-03,06:11:00,68,aqua,Matan Hilir Selatan , Ketapang , Kalimantan Barat 
1.962483,101.5513,2015-02-03,06:11:00,59,aqua,Rupat Utara , Bengkalis , Riau 
1.976271,101.549202,2015-02-03,06:11:00,90,aqua,Rupat Utara , Bengkalis , Riau 
1.968809,101.543663,2015-02-03,06:11:00,88,aqua,Rupat Utara , Bengkalis , Riau 
1,98.800514,2015-02-04,07:01:00,36,aqua,Rupat Utara , Bengkalis , Riau 
2.615631,97.918053,2015-02-04,07:01:00,70,aqua,Rundeng , Kota Sulubussalam , Aceh 
