Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.874428,101.558235,2017-01-01,03:54:00,48,terra,Siak , Kab. Siak , Riau 
-0.116695,102.812943,2017-01-03,06:34:00,33,aqua,Gaunganakserka , Kab. Indragiri Hilir , Riau 
-0.117975,102.804024,2017-01-03,06:34:00,38,aqua,Gaunganakserka , Kab. Indragiri Hilir , Riau 
2.058492,100.913506,2017-01-03,06:34:00,47,aqua,Bangko , Kab. Rokan Hilir , Riau 
0.879616,101.56311,2017-01-07,03:17:00,38,terra,Siak , Kab. Siak , Riau 
1.053894,102.303406,2017-01-07,06:10:00,51,aqua,Merbau , Kab. Kepulauan Meranti , Riau 
0.979181,101.884605,2017-01-08,04:00:00,52,terra,Siak , Kab. Siak , Riau 
0.876029,101.796478,2017-01-08,04:00:00,59,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.873573,101.81295,2017-01-08,04:00:00,58,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.874559,101.565964,2017-01-08,04:00:00,32,terra,Siak , Kab. Siak , Riau 
0.667399,102.839264,2017-01-08,04:00:00,41,terra,Sungai Apit , Kab. Siak , Riau 
0.409741,102.9916,2017-01-08,04:00:00,43,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.287407,102.672333,2017-01-08,04:00:00,35,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.281634,102.352646,2017-01-08,04:00:00,58,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.175778,102.897835,2017-01-08,04:00:00,33,terra,Enok , Kab. Indragiri Hilir , Riau 
0.18963,102.713303,2017-01-08,04:00:00,44,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.186673,102.733276,2017-01-08,04:00:00,28,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.108275,102.735962,2017-01-08,04:00:00,57,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.105321,102.756096,2017-01-08,04:00:00,72,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.102361,102.776268,2017-01-08,04:00:00,37,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.144211,102.402939,2017-01-08,04:00:00,43,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.02641,103.106812,2017-01-08,04:00:00,49,terra,Gaunganakserka , Kab. Indragiri Hilir , Riau 
-0.301889,101.614357,2017-01-08,04:00:00,62,terra,Kuatan Hilir , Kab. Kuantan Singingi , Riau 
-0.922763,102.227379,2017-01-08,06:52:00,80,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.877407,102.055428,2017-01-08,06:52:00,81,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.879133,102.043327,2017-01-08,06:52:00,72,aqua,Seberida , Kab. Indragiri Hulu , Riau 
-0.890787,101.961716,2017-01-08,06:52:00,92,aqua,Peranap , Kab. Indragiri Hulu , Riau 
-0.890598,101.890648,2017-01-08,06:52:00,87,aqua,Peranap , Kab. Indragiri Hulu , Riau 
-0.745113,101.827682,2017-01-08,06:52:00,75,aqua,Kuatan Mudik , Kab. Kuantan Singingi , Riau 
-0.746802,101.816238,2017-01-08,06:52:00,82,aqua,Kuatan Mudik , Kab. Kuantan Singingi , Riau 
-0.286267,101.897377,2017-01-08,06:52:00,87,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.274316,101.907661,2017-01-08,06:52:00,83,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.218567,101.868767,2017-01-08,06:52:00,48,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.208358,101.867294,2017-01-08,06:52:00,76,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.038267,101.496544,2017-01-08,06:52:00,60,aqua,Kampar Kiri Hilir , Kab. Kampar , Riau 
1.004449,102.70285,2017-01-08,06:52:00,36,aqua,Tebingtinggi Barat , Kab. Kepulauan Meranti , Riau 
1.192253,101.030502,2017-01-08,06:52:00,64,aqua,Mandau , Kab. Bengkalis , Riau 
1.349732,100.499481,2017-01-08,06:52:00,71,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.427172,100.878342,2017-01-08,06:52:00,96,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.425637,100.726196,2017-01-08,06:52:00,61,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.582807,100.839516,2017-01-08,06:52:00,83,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.589165,100.722961,2017-01-08,06:52:00,63,aqua,Bangko , Kab. Rokan Hilir , Riau 
1.747174,101.150452,2017-01-09,03:05:00,54,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
1.375359,101.661446,2017-01-09,03:05:00,33,terra,Bukit Batu , Kab. Bengkalis , Riau 
0.881366,101.920197,2017-01-09,03:05:00,52,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.127826,102.396652,2017-01-09,03:05:00,41,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.262333,102.366386,2017-01-09,03:05:00,51,terra,Rengat , Kab. Indragiri Hulu , Riau 
-0.888736,101.967,2017-01-09,06:31:23,67,snpp,Peranap , Indragiri Hulu , Riau 
-0.277486,101.904,2017-01-09,06:31:23,100,snpp,Ukui , Pelalawan , Riau 
-0.278594,101.897,2017-01-09,06:31:23,55,snpp,Ukui , Pelalawan , Riau 
-0.237879,101.891,2017-01-09,06:31:23,66,snpp,Ukui , Pelalawan , Riau 
-0.238972,101.884,2017-01-09,06:31:23,77,snpp,Ukui , Pelalawan , Riau 
-0.222136,101.903,2017-01-09,06:31:23,100,snpp,Ukui , Pelalawan , Riau 
-0.229752,101.853,2017-01-09,06:31:23,61,snpp,Ukui , Pelalawan , Riau 
1.37238,100.673,2017-01-09,06:31:23,84,snpp,Pujud , Rokan Hilir , Riau 
1.37119,100.666,2017-01-09,06:31:23,59,snpp,Pujud , Rokan Hilir , Riau 
1.3531,100.501,2017-01-09,06:31:23,73,snpp,Pujud , Rokan Hilir , Riau 
-0.912644,102.749,2017-01-09,06:31:23,62,snpp,Kemuning , Indragiri Hilir , Riau 
-0.024487,101.539459,2017-01-09,15:24:00,40,terra,Langgam , Kab. Pelalawan , Riau 
0.770699,102.031982,2017-01-10,06:40:00,71,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
0.697465,100.364899,2017-01-10,06:40:00,62,aqua,Rokan Empat Koto , Kab. Rokan Hulu , Riau 
