Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
1.53312,101.297,2018-07-02,06:24:22,32,snpp,Tanah Putih , Rokan Hilir , Riau 
-0.860371947289,102.22958374,2018-07-03,06:24:00,73,aqua,Seberida , Kab. Indragiri Hulu , Riau 
0.154312,102.736687,2018-07-04,04:15:00,62,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.868745,102.042717,2018-07-04,04:15:00,69,terra,Seberida , Kab. Indragiri Hulu , Riau 
-0.874907,102.033714,2018-07-04,04:15:00,62,terra,Seberida , Kab. Indragiri Hulu , Riau 
0.502961,103.051193,2018-07-05,03:20:00,65,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.609846,102.094124,2018-07-05,03:20:00,54,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.571199,102.281746,2018-07-05,03:20:00,23,terra,Bunut , Kab. Pelalawan , Riau 
0.097429,102.685921,2018-07-05,03:20:00,37,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.191814,101.622581,2018-07-05,03:20:00,65,terra,Langgam , Kab. Pelalawan , Riau 
-0.877133905888,102.037025452,2018-07-05,06:11:00,43,aqua,Seberida , Kab. Indragiri Hulu , Riau 
0.67296820879,102.874702454,2018-07-06,06:53:00,32,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.312977,100.544,2018-07-07,06:30:46,94,snpp,Xiii Koto Kampar , Kampar , Riau 
0.988521,101.903,2018-07-07,06:30:46,57,snpp,Siak Kecil , Bengkalis , Riau 
0.987424,101.896,2018-07-07,06:30:46,70,snpp,Siak Kecil , Bengkalis , Riau 
0.986322,101.888,2018-07-07,06:30:46,69,snpp,Siak Kecil , Bengkalis , Riau 
1.489267,101.869621,2018-07-08,03:49:00,48,terra,Bukit Batu , Kab. Bengkalis , Riau 
1.487709,101.880127,2018-07-08,03:49:00,40,terra,Bukit Batu , Kab. Bengkalis , Riau 
-0.210442,101.820702,2018-07-08,03:49:00,80,terra,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.212077,101.831596,2018-07-08,03:49:00,68,terra,Pangkalan Kuras , Kab. Pelalawan , Riau 
-0.846809506416,102.93548584,2018-07-08,06:41:00,57,aqua,Keritang , Kab. Indragiri Hilir , Riau 
-0.217584475875,101.867637634,2018-07-08,06:41:00,33,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.275944,100.614738,2018-07-08,06:41:00,72,aqua,Tiga Belas Koto Kampar , Kab. Kampar , Riau 
-0.774655,102.206,2018-07-08,06:11:51,53,snpp,Batang Cenaku , Indragiri Hulu , Riau 
0.183501973748,102.700202942,2018-07-12,06:17:00,44,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.777082622051,102.282592773,2018-07-12,06:17:00,47,aqua,Sungai Apit , Kab. Siak , Riau 
0.788869440556,102.280883789,2018-07-12,06:17:00,20,aqua,Sungai Apit , Kab. Siak , Riau 
0.875632822514,101.793128967,2018-07-12,06:17:00,65,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
0.81805,101.617538,2018-07-13,06:59:00,45,aqua,Siak , Kab. Siak , Riau 
0.855831,101.799751,2018-07-13,06:59:00,46,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
