Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.0875085890293,102.753379822,2017-06-02,03:05:00,39,terra,Enok , Kab. Indragiri Hilir , Riau 
-0.222164362669,102.352737427,2017-06-03,06:43:00,55,aqua,Rengat , Kab. Indragiri Hulu , Riau 
-0.204349130392,101.187362671,2017-06-03,06:43:00,65,aqua,Kampar Kiri , Kab. Kampar , Riau 
0.450102478266,102.222038269,2017-06-03,06:43:00,46,aqua,Bunut , Kab. Pelalawan , Riau 
0.429341495037,100.280845642,2017-06-03,06:43:00,62,aqua,Rokan Empat Koto , Kab. Rokan Hulu , Riau 
0.596520066261,100.356628418,2017-06-03,06:43:00,80,aqua,Rokan Empat Koto , Kab. Rokan Hulu , Riau 
0.914346456528,102.45186615,2017-06-03,06:43:00,53,aqua,Tebingtinggi Barat , Kab. Kepulauan Meranti , Riau 
1.83075332642,101.197143555,2017-06-03,06:43:00,64,aqua,Dumai Barat , Kota Dumai , Riau 
2.06911087036,101.704109192,2017-06-03,06:43:00,55,aqua,Rupat Utara , Kab. Bengkalis , Riau 
-0.198542,101.196,2017-06-03,06:11:43,72,snpp,Singingi Hilir , Kuantan Singingi , Riau 
-0.197317,101.188,2017-06-03,06:11:43,47,snpp,Kampar Kiri , Kampar , Riau 
1.83154535294,101.201820374,2017-06-05,03:37:00,37,terra,Dumai Barat , Kota Dumai , Riau 
1.48701334,101.41255188,2017-06-05,03:37:00,45,terra,Bukit Kapur , Kota Dumai , Riau 
1.45941495895,100.731460571,2017-06-05,03:37:00,59,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
0.20134665072,102.448387146,2017-06-05,03:37:00,44,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.130589678884,102.865470886,2017-06-05,03:37:00,48,terra,Enok , Kab. Indragiri Hilir , Riau 
