Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.572975,103.191,2018-03-01,06:30:18,86,snpp,Kuala Kampar , Pelalawan , Riau 
0.580667,103.197,2018-03-01,06:30:18,66,snpp,Kuala Kampar , Pelalawan , Riau 
0.618636,103.226,2018-03-01,06:30:18,45,snpp,Kuala Kampar , Pelalawan , Riau 
1.13578,102.849,2018-03-01,06:30:18,85,snpp,Rangsang Barat , Kepulauan Meranti , Riau 
1.030808,102.170189,2018-03-02,03:48:00,37,terra,Sungai Apit , Kab. Siak , Riau 
0.336934,101.026695,2018-03-02,03:48:00,55,terra,Tapungkiri , Kab. Rokan Hulu , Riau 
-0.190216,102.954231,2018-03-02,03:48:00,31,terra,Gaunganakserka , Kab. Indragiri Hilir , Riau 
0.513088,103.321571,2018-03-01,15:24:00,45,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.577184,103.191925,2018-03-01,15:24:00,39,terra,Kuala Kampar , Kab. Pelalawan , Riau 
1.038049,102.183121,2018-03-01,15:24:00,71,terra,Sungai Apit , Kab. Siak , Riau 
1.036559,102.172859,2018-03-01,15:24:00,45,terra,Sungai Apit , Kab. Siak , Riau 
1.035065,102.162575,2018-03-01,15:24:00,66,terra,Sungai Apit , Kab. Siak , Riau 
-0.327911,103.152824,2018-03-02,06:42:00,15,aqua,Tembilahan , Kab. Indragiri Hilir , Riau 
0.104903,102.709732,2018-03-02,06:42:00,45,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.339368,103.06562,2018-03-02,06:42:00,38,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.504984,103.321678,2018-03-02,06:42:00,56,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.520902,102.274033,2018-03-02,06:42:00,65,aqua,Bunut , Kab. Pelalawan , Riau 
0.51961,102.264969,2018-03-02,06:42:00,60,aqua,Bunut , Kab. Pelalawan , Riau 
0.791306,101.588516,2018-03-02,06:42:00,22,aqua,Siak , Kab. Siak , Riau 
0.906494,101.945587,2018-03-02,06:42:00,51,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
1.03275,102.17865,2018-03-02,06:42:00,44,aqua,Sungai Apit , Kab. Siak , Riau 
1.526133,101.76738,2018-03-02,06:42:00,38,aqua,Bukit Kapur , Kota Dumai , Riau 
1.503715,101.228294,2018-03-02,06:42:00,32,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
0.329216,103.051,2018-03-02,06:11:25,30,snpp,Teluk Meranti , Pelalawan , Riau 
1.00322,102.012,2018-03-02,06:11:25,78,snpp,Bunga Raya , Siak , Riau 
0.452784,100.6408,2018-03-02,16:06:00,61,terra,Tiga Belas Koto Kampar , Kab. Kampar , Riau 
-0.0850424021482,102.622589111,2018-03-04,06:31:00,54,aqua,Rengat , Kab. Indragiri Hulu , Riau 
0.0217114724219,102.861343384,2018-03-04,06:31:00,24,aqua,Enok , Kab. Indragiri Hilir , Riau 
-0.0780421122909,101.391319275,2018-03-04,06:31:00,67,aqua,Gunung Sahilan , Kab. Kampar , Riau 
0.338548362255,101.023925781,2018-03-04,06:31:00,71,aqua,Tapungkiri , Kab. Rokan Hulu , Riau 
0.509951174259,102.080543518,2018-03-04,06:31:00,21,aqua,Bunut , Kab. Pelalawan , Riau 
0.574666857719,102.159515381,2018-03-04,06:31:00,51,aqua,Bunut , Kab. Pelalawan , Riau 
0.977511286736,103.041030884,2018-03-04,06:31:00,70,aqua,Tebing Tinggi , Kab. Kepulauan Meranti , Riau 
0.976160526276,103.031661987,2018-03-04,06:31:00,71,aqua,Tebing Tinggi , Kab. Kepulauan Meranti , Riau 
0.912179231644,101.94883728,2018-03-04,06:31:00,36,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
1.35187101364,102.013580322,2018-03-04,06:31:00,30,aqua,Bukit Batu , Kab. Bengkalis , Riau 
1.63038372993,101.480491638,2018-03-04,06:31:00,68,aqua,Bukit Kapur , Kota Dumai , Riau 
1.67057216167,101.476051331,2018-03-06,03:25:00,36,terra,Bukit Kapur , Kota Dumai , Riau 
-0.181342899799,102.39654541,2018-03-06,06:18:00,26,aqua,Rengat , Kab. Indragiri Hulu , Riau 
0.329273223877,103.062980652,2018-03-06,06:18:00,58,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
1.00098359585,102.708564758,2018-03-06,06:18:00,42,aqua,Tebingtinggi Barat , Kab. Kepulauan Meranti , Riau 
2.03679847717,100.878288269,2018-03-09,03:57:00,30,terra,Bangko , Kab. Rokan Hilir , Riau 
1.3113514185,101.99495697,2018-03-09,03:57:00,33,terra,Bukit Batu , Kab. Bengkalis , Riau 
0.914365649223,101.758010864,2018-03-09,03:57:00,58,terra,Siak , Kab. Siak , Riau 
0.753164,102.289497,2018-03-09,03:54:00,64,terra,Sungai Apit , Kab. Siak , Riau 
0.723981,102.484398,2018-03-09,03:54:00,30,terra,Sungai Apit , Kab. Siak , Riau 
0.621248,102.790268,2018-03-09,03:54:00,26,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.340383,101.017532,2018-03-09,03:54:00,38,terra,Tapungkiri , Kab. Rokan Hulu , Riau 
0.338719,101.028915,2018-03-09,03:54:00,34,terra,Tapungkiri , Kab. Rokan Hulu , Riau 
-0.320051,103.163551,2018-03-09,03:54:00,52,terra,Tembilahan , Kab. Indragiri Hilir , Riau 
0.331884,103.06443,2018-03-09,06:48:00,22,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.753054,102.290253,2018-03-09,06:48:00,21,aqua,Sungai Apit , Kab. Siak , Riau 
0.927979,102.157898,2018-03-09,06:48:00,52,aqua,Sungai Apit , Kab. Siak , Riau 
1.030547,102.169075,2018-03-09,06:48:00,41,aqua,Sungai Apit , Kab. Siak , Riau 
1.636979,101.461365,2018-03-09,06:48:00,62,aqua,Bukit Kapur , Kota Dumai , Riau 
0.330184519291,103.053085327,2018-03-09,06:48:00,33,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
1.50506818295,101.24105835,2018-03-09,06:48:00,44,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.54036283493,101.158721924,2018-03-09,06:48:00,52,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.84247434139,101.090698242,2018-03-09,06:48:00,50,aqua,Bangko , Kab. Rokan Hilir , Riau 
1.97766661644,100.678970337,2018-03-09,06:48:00,72,aqua,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.66393947601,101.38092804,2018-03-11,06:35:00,81,aqua,Dumai Timur , Kota Dumai , Riau 
1.99473631382,101.251373291,2018-03-11,06:35:00,63,aqua,Dumai Barat , Kota Dumai , Riau 
1.67044,101.381,2018-03-11,06:43:06,83,snpp,Dumai Barat , Dumai , Riau 
1.84400331974,101.118148804,2018-03-15,03:18:00,20,terra,Bangko , Kab. Rokan Hilir , Riau 
0.592729449272,102.921234131,2018-03-15,03:18:00,26,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.330851733685,103.055435181,2018-03-15,03:18:00,38,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.0469808503985,103.036651611,2018-03-15,03:18:00,49,terra,Enok , Kab. Indragiri Hilir , Riau 
0.173743084073,102.756973267,2018-03-15,06:11:00,42,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.170857384801,102.737007141,2018-03-15,06:11:00,40,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.590176045895,102.832878113,2018-03-15,06:11:00,45,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.59265089035,102.845375061,2018-03-15,06:11:00,73,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.973306953907,103.041648865,2018-03-15,06:11:00,62,aqua,Tebing Tinggi , Kab. Kepulauan Meranti , Riau 
1.5054693222,101.227676392,2018-03-15,06:11:00,52,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.60832345486,101.233329773,2018-03-15,15:37:00,76,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
1.61727392673,101.232040405,2018-03-15,15:37:00,86,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
1.7949192524,100.866653442,2018-03-15,15:37:00,59,terra,Bangko , Kab. Rokan Hilir , Riau 
1.80388712883,100.865356445,2018-03-15,15:37:00,66,terra,Bangko , Kab. Rokan Hilir , Riau 
-0.338697940111,101.968589783,2018-03-16,06:56:00,33,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.106824479997,102.845275879,2018-03-16,06:56:00,32,aqua,Enok , Kab. Indragiri Hilir , Riau 
0.701045453548,102.102310181,2018-03-16,06:56:00,46,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
0.861478447914,101.939582825,2018-03-16,06:56:00,34,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
1.60908961296,101.232818604,2018-03-16,06:56:00,96,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.508443,102.11367,2018-03-16,06:54:00,60,aqua,Bengkalis , Kab. Bengkalis , Riau 
0.325275,103.055,2018-03-16,06:49:28,78,snpp,Teluk Meranti , Pelalawan , Riau 
0.323769,103.045,2018-03-16,06:49:28,71,snpp,Teluk Meranti , Pelalawan , Riau 
0.495982080698,103.030921936,2018-03-17,05:59:00,51,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
1.49749064445,101.689353943,2018-03-17,05:59:00,47,aqua,Bukit Batu , Kab. Bengkalis , Riau 
0.508541,102.276,2018-03-17,06:30:34,57,snpp,Pelalawan , Pelalawan , Riau 
0.63333,102.737,2018-03-17,06:30:34,29,snpp,Teluk Meranti , Pelalawan , Riau 
1.02908,102.987,2018-03-17,06:30:34,54,snpp,Rangsang , Kepulauan Meranti , Riau 
