Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
1.5498,101.664,2018-05-02,18:07:43,24,snpp,Medang Kampai , Dumai , Riau 
-0.330054610968,103.146430969,2018-05-03,06:56:00,35,aqua,Tembilahan , Kab. Indragiri Hilir , Riau 
0.106047384441,102.681793213,2018-05-03,06:56:00,59,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.396220326424,102.933525085,2018-05-03,06:56:00,35,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.85366743803,101.795021057,2018-05-03,06:56:00,30,aqua,Siak Sri Indrapura , Kab. Siak , Riau 
1.49906420708,101.235267639,2018-05-03,06:56:00,20,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
0.502597,103.052,2018-05-03,06:48:45,24,snpp,Kuala Kampar , Pelalawan , Riau 
0.529368,103.018,2018-05-03,06:48:45,25,snpp,Kuala Kampar , Pelalawan , Riau 
0.816615,101.62,2018-05-03,06:50:10,34,snpp,Minas , Siak , Riau 
0.845496,101.616,2018-05-03,06:50:10,54,snpp,Sungai Mandau , Siak , Riau 
0.911861,101.759,2018-05-03,06:50:10,47,snpp,Sungai Mandau , Siak , Riau 
-0.141884490848,101.654640198,2018-05-04,15:25:00,45,terra,Langgam , Kab. Pelalawan , Riau 
2.162536,100.810081,2018-05-05,03:49:00,52,terra,Bangko , Kab. Rokan Hilir , Riau 
1.556256,101.655769,2018-05-05,03:49:00,37,terra,Bukit Kapur , Kota Dumai , Riau 
0.960175,100.158463,2018-05-05,03:49:00,33,terra,Tembusan , Kab. Rokan Hulu , Riau 
0.36402,103.457809,2018-05-05,03:49:00,31,terra,Mandah , Kab. Indragiri Hilir , Riau 
0.326931,101.189064,2018-05-05,03:49:00,62,terra,Kampar Timur , Kab. Kampar , Riau 
-0.324872,103.146988,2018-05-05,03:49:00,64,terra,Tembilahan , Kab. Indragiri Hilir , Riau 
-0.434643,101.433456,2018-05-05,06:41:00,62,aqua,Singingi , Kab. Kuantan Singingi , Riau 
-0.143378,101.663918,2018-05-05,06:41:00,67,aqua,Langgam , Kab. Pelalawan , Riau 
-0.14465,101.655006,2018-05-05,06:41:00,70,aqua,Langgam , Kab. Pelalawan , Riau 
0.686993,100.458,2018-05-05,06:41:00,71,aqua,Rokan Empat Koto , Kab. Rokan Hulu , Riau 
0.912564,101.4636,2018-05-05,06:41:00,46,aqua,Siak , Kab. Siak , Riau 
0.924543,100.452156,2018-05-05,06:41:00,77,aqua,Kepenuhan , Kab. Rokan Hulu , Riau 
0.92324,100.443054,2018-05-05,06:41:00,87,aqua,Rambah , Kab. Rokan Hulu , Riau 
1.548212,101.657204,2018-05-05,06:41:00,50,aqua,Bukit Kapur , Kota Dumai , Riau 
-0.14575,101.664,2018-05-05,06:10:55,68,snpp,Pangkalan Kuras , Pelalawan , Riau 
0.243645,100.629,2018-05-05,06:12:19,79,snpp,Xiii Koto Kampar , Kampar , Riau 
0.927299,100.448,2018-05-05,06:12:19,56,snpp,Kepenuhan Hulu , Rokan Hulu , Riau 
1.79427301884,101.510925293,2018-05-07,03:39:00,39,terra,Rupat , Kab. Bengkalis , Riau 
1.55105900764,101.659584045,2018-05-07,03:39:00,68,terra,Bukit Kapur , Kota Dumai , Riau 
0.936258137226,101.893592834,2018-05-07,03:39:00,52,terra,Siak , Kab. Siak , Riau 
0.934940636158,101.902549744,2018-05-07,03:39:00,31,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.531514048576,103.010040283,2018-05-07,03:39:00,35,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.4382994771,101.894729614,2018-05-07,03:39:00,62,terra,Bunut , Kab. Pelalawan , Riau 
0.110425926745,102.680580139,2018-05-07,03:39:00,29,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.198078632355,103.022270203,2018-05-07,03:39:00,43,terra,Gaunganakserka , Kab. Indragiri Hilir , Riau 
0.0233051162213,102.795196533,2018-05-07,06:30:00,49,aqua,Enok , Kab. Indragiri Hilir , Riau 
-0.068711951375,102.085800171,2018-05-07,06:30:00,46,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.146997019649,102.879669189,2018-05-07,06:30:00,49,aqua,Enok , Kab. Indragiri Hilir , Riau 
0.296891868114,102.505844116,2018-05-07,06:30:00,69,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.524901986122,103.01550293,2018-05-07,06:30:00,20,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.376402467489,101.980110168,2018-05-07,06:30:00,68,aqua,Bunut , Kab. Pelalawan , Riau 
0.537945389748,102.974899292,2018-05-07,06:30:00,63,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.485474199057,102.171669006,2018-05-07,06:30:00,34,aqua,Bunut , Kab. Pelalawan , Riau 
0.56427615881,102.278862,2018-05-07,06:30:00,52,aqua,Bunut , Kab. Pelalawan , Riau 
0.683285832405,102.902915955,2018-05-07,06:30:00,18,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.812963366508,101.613174438,2018-05-07,06:30:00,48,aqua,Siak , Kab. Siak , Riau 
0.93416762352,101.88483429,2018-05-07,06:30:00,42,aqua,Siak , Kab. Siak , Riau 
0.985614418983,101.882629395,2018-05-07,06:30:00,50,aqua,Siak , Kab. Siak , Riau 
1.79705834389,101.492073059,2018-05-07,06:30:00,28,aqua,Rupat , Kab. Bengkalis , Riau 
1.78625011444,101.206871033,2018-05-07,06:30:00,34,aqua,Dumai Barat , Kota Dumai , Riau 
-0.19834,103.023,2018-05-08,06:55:08,51,snpp,Gaung Anak Serka , Indragiri Hilir , Riau 
1.55640888214,101.661003113,2018-05-09,03:26:00,32,terra,Bukit Kapur , Kota Dumai , Riau 
0.750603199005,102.300857544,2018-05-09,03:26:00,29,terra,Sungai Apit , Kab. Siak , Riau 
0.580475091934,102.13470459,2018-05-09,03:26:00,35,terra,Siak Sri Indrapura , Kab. Siak , Riau 
-0.0559998862445,103.117416382,2018-05-09,03:26:00,46,terra,Gaunganakserka , Kab. Indragiri Hilir , Riau 
-0.182214960456,102.390739441,2018-05-09,03:26:00,42,terra,Rengat , Kab. Indragiri Hulu , Riau 
-0.183260053396,102.386749268,2018-05-09,06:18:00,43,aqua,Rengat , Kab. Indragiri Hulu , Riau 
