Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-0.561421,102.705154,2015-07-11,06:24:00,38,aqua,Keritang , Indragiri Hilir , Riau 
-0.257133,101.914619,2015-07-11,06:24:00,32,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.198168,101.690102,2015-07-11,06:24:00,68,aqua,Langgam , Pelalawan , Riau 
-0.115671,101.700165,2015-07-11,06:24:00,60,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.024116,101.950981,2015-07-11,06:24:00,51,aqua,Pangkalan Kuras , Pelalawan , Riau 
0.428253,100.478661,2015-07-11,06:24:00,39,aqua,Tiga Belas Koto Kampar , Kampar , Riau 
0.986039,101.467667,2015-07-11,06:24:00,80,aqua,Pinggir , Bengkalis , Riau 
0.984026,101.453629,2015-07-11,06:24:00,95,aqua,Siak , Siak , Riau 
1.083738,100.324104,2015-07-11,06:24:00,53,aqua,Tembusan , Rokan Hulu , Riau 
1.081269,100.307106,2015-07-11,06:24:00,71,aqua,Tembusan , Rokan Hulu , Riau 
1.344227,101.405731,2015-07-11,06:24:00,66,aqua,Mandau , Bengkalis , Riau 
1.376138,101.074181,2015-07-11,06:24:00,57,aqua,Mandau , Bengkalis , Riau 
1.34201,100.67485,2015-07-11,06:24:00,81,aqua,Tanah Putih , Rokan Hilir , Riau 
1.339743,100.659042,2015-07-11,06:24:00,81,aqua,Tanah Putih , Rokan Hilir , Riau 
1.337946,100.668724,2015-07-11,06:24:00,83,aqua,Tanah Putih , Rokan Hilir , Riau 
1.375346,100.679298,2015-07-11,06:24:00,61,aqua,Tanah Putih , Rokan Hilir , Riau 
1.373011,100.663567,2015-07-11,06:24:00,88,aqua,Tanah Putih , Rokan Hilir , Riau 
1.384699,100.66185,2015-07-11,06:24:00,88,aqua,Tanah Putih , Rokan Hilir , Riau 
1.481818,101.244148,2015-07-11,06:24:00,55,aqua,Tanah Putih , Rokan Hilir , Riau 
1.416921,100.800354,2015-07-11,06:24:00,100,aqua,Tanah Putih , Rokan Hilir , Riau 
1.414659,100.784904,2015-07-11,06:24:00,96,aqua,Tanah Putih , Rokan Hilir , Riau 
1.391749,100.628471,2015-07-11,06:24:00,56,aqua,Tanah Putih , Rokan Hilir , Riau 
1.430712,100.814041,2015-07-11,06:24:00,26,aqua,Tanah Putih , Rokan Hilir , Riau 
1.428482,100.798706,2015-07-11,06:24:00,95,aqua,Tanah Putih , Rokan Hilir , Riau 
1.426234,100.783249,2015-07-11,06:24:00,76,aqua,Tanah Putih , Rokan Hilir , Riau 
1.547257,101.46257,2015-07-11,06:24:00,54,aqua,Bukit Batu , Bengkalis , Riau 
1.544458,101.126953,2015-07-11,06:24:00,88,aqua,Tanah Putih , Rokan Hilir , Riau 
1.576603,101.268295,2015-07-11,06:24:00,85,aqua,Tanah Putih , Rokan Hilir , Riau 
1.675548,101.389824,2015-07-11,06:24:00,45,aqua,Dumai Timur , Kota Dumai , Riau 
1.661261,101.292709,2015-07-11,06:24:00,88,aqua,Dumai Barat , Kota Dumai , Riau 
1.585621,100.779526,2015-07-11,06:24:00,59,aqua,Tanah Putih , Rokan Hilir , Riau 
1.676414,101.319008,2015-07-11,06:24:00,68,aqua,Dumai Barat , Kota Dumai , Riau 
1.674374,101.305061,2015-07-11,06:24:00,84,aqua,Dumai Barat , Kota Dumai , Riau 
1.730914,101.61657,2015-07-11,06:24:00,94,aqua,Rupat , Bengkalis , Riau 
