Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.800501,102.159546,2015-09-01,03:05:00,37,terra,Siak Sri Indrapura , Siak , Riau 
0.12696,101.875748,2015-09-01,03:05:00,45,terra,Langgam , Pelalawan , Riau 
0.128071,101.868362,2015-09-01,03:05:00,32,terra,Langgam , Pelalawan , Riau 
-0.090608,101.599144,2015-09-01,03:05:00,89,terra,Langgam , Pelalawan , Riau 
-0.147108,101.562462,2015-09-01,03:05:00,49,terra,Langgam , Pelalawan , Riau 
-0.103556,101.591278,2015-09-01,03:05:00,54,terra,Langgam , Pelalawan , Riau 
-0.14476,101.55703,2015-09-01,03:05:00,38,terra,Langgam , Pelalawan , Riau 
-0.184883,101.722481,2015-09-01,03:05:00,70,terra,Pangkalan Kuras , Pelalawan , Riau 
-0.408489,102.704155,2015-09-01,03:05:00,86,terra,Tempuling , Indragiri Hilir , Riau 
-0.41191,102.726913,2015-09-01,03:05:00,38,terra,Tempuling , Indragiri Hilir , Riau 
-0.849973,102.931404,2015-09-01,03:05:00,49,terra,Keritang , Indragiri Hilir , Riau 
-0.878469,102.87735,2015-09-01,03:05:00,47,terra,Keritang , Indragiri Hilir , Riau 
-0.833329,102.100243,2015-09-01,03:05:00,59,terra,Seberida , Indragiri Hulu , Riau 
-0.835394,102.09272,2015-09-01,03:05:00,65,terra,Seberida , Indragiri Hulu , Riau 
-0.965695,101.859543,2015-09-01,03:05:00,42,terra,Kuatan Mudik , Kuantan Singingi , Riau 
-0.957877,102.579,2015-09-01,06:34:00,79,snpp,Seberida , Indragiri Hulu , Riau 
-0.902127,102.722,2015-09-01,06:34:00,100,snpp,Keritang , Indragiri Hilir , Riau 
-0.937376,102.225,2015-09-01,06:34:00,65,snpp,Seberida , Indragiri Hulu , Riau 
-0.870038,102.58,2015-09-01,06:34:00,88,snpp,Seberida , Indragiri Hulu , Riau 
-0.918402,102.259,2015-09-01,06:34:00,92,snpp,Seberida , Indragiri Hulu , Riau 
-0.849903,102.577,2015-09-01,06:34:00,64,snpp,Seberida , Indragiri Hulu , Riau 
-0.850972,102.57,2015-09-01,06:34:00,72,snpp,Seberida , Indragiri Hulu , Riau 
-0.956038,101.871,2015-09-01,06:34:00,100,snpp,Kuatan Mudik , Kuantan Singingi , Riau 
-0.957151,101.863,2015-09-01,06:34:00,100,snpp,Kuatan Mudik , Kuantan Singingi , Riau 
-0.950297,101.862,2015-09-01,06:34:00,100,snpp,Kuatan Mudik , Kuantan Singingi , Riau 
-0.951402,101.855,2015-09-01,06:34:00,100,snpp,Kuatan Mudik , Kuantan Singingi , Riau 
-0.790338,102.791,2015-09-01,06:34:00,72,snpp,Keritang , Indragiri Hilir , Riau 
-0.875347,102.224,2015-09-01,06:34:00,100,snpp,Seberida , Indragiri Hulu , Riau 
-0.876433,102.216,2015-09-01,06:34:00,100,snpp,Seberida , Indragiri Hulu , Riau 
-0.893718,102.101,2015-09-01,06:34:00,65,snpp,Seberida , Indragiri Hulu , Riau 
1,100.62989,2015-09-01,18:23:00,100,aqua,Kepenuhan , Rokan Hulu , Riau 
1.0752,100.650185,2015-09-01,18:23:00,92,aqua,Kepenuhan , Rokan Hulu , Riau 
0.449977,101.354507,2015-09-01,18:23:00,77,aqua,Tambang , Kampar , Riau 
0.452669,101.247147,2015-09-01,18:23:00,11,aqua,Tapung , Kampar , Riau 
0.43774,101.352737,2015-09-01,18:23:00,79,aqua,Tambang , Kampar , Riau 
0.447856,101.34742,2015-09-01,18:23:00,67,aqua,Tambang , Kampar , Riau 
0.451338,101.240143,2015-09-01,18:23:00,44,aqua,Tapung , Kampar , Riau 
0.443424,101.293259,2015-09-01,18:23:00,49,aqua,Tambang , Kampar , Riau 
0.435617,101.345665,2015-09-01,18:23:00,83,aqua,Tambang , Kampar , Riau 
0.263458,102.267998,2015-09-01,18:23:00,50,aqua,Bunut , Pelalawan , Riau 
0.231563,102.24839,2015-09-01,18:23:00,84,aqua,Bunut , Pelalawan , Riau 
0.232316,102.242783,2015-09-01,18:23:00,53,aqua,Bunut , Pelalawan , Riau 
0.230095,102.257507,2015-09-01,18:23:00,73,aqua,Bunut , Pelalawan , Riau 
0.203037,102.283684,2015-09-01,18:23:00,75,aqua,Bunut , Pelalawan , Riau 
0.264215,101.792542,2015-09-01,18:23:00,93,aqua,Langgam , Pelalawan , Riau 
0.191729,102.282066,2015-09-01,18:23:00,68,aqua,Bunut , Pelalawan , Riau 
0.193985,101.863564,2015-09-01,18:23:00,98,aqua,Langgam , Pelalawan , Riau 
0.199706,101.857323,2015-09-01,18:23:00,54,aqua,Langgam , Pelalawan , Riau 
0.197329,101.873039,2015-09-01,18:23:00,94,aqua,Pangkalan Kuras , Pelalawan , Riau 
0.150604,101.866364,2015-09-01,18:23:00,100,aqua,Langgam , Pelalawan , Riau 
0.108784,101.908287,2015-09-01,18:23:00,56,aqua,Langgam , Pelalawan , Riau 
0.087733,101.889366,2015-09-01,18:23:00,56,aqua,Pangkalan Kuras , Pelalawan , Riau 
0.090927,101.884201,2015-09-01,18:23:00,66,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.054453,102.396324,2015-09-01,18:23:00,100,aqua,Kuala Kampar , Pelalawan , Riau 
-0.10482,102.589264,2015-09-01,18:23:00,71,aqua,Rengat , Indragiri Hulur , Riau 
-0.106786,102.603004,2015-09-01,18:23:00,78,aqua,Rengat , Indragiri Hulur , Riau 
-0.107024,102.596153,2015-09-01,18:23:00,97,aqua,Rengat , Indragiri Hulur , Riau 
-0.022779,101.464676,2015-09-01,18:23:00,93,aqua,Kampar Kiri Hilir , Kampar , Riau 
-0.01656,101.460281,2015-09-01,18:23:00,76,aqua,Kampar Kiri Hilir , Kampar , Riau 
-0.019077,101.476883,2015-09-01,18:23:00,45,aqua,Kampar Kiri Hilir , Kampar , Riau 
-0.251849,102.413521,2015-09-01,18:23:00,53,aqua,Rengat , Indragiri Hulur , Riau 
-0.25308,102.42083,2015-09-01,18:23:00,66,aqua,Rengat , Indragiri Hulur , Riau 
-0.300924,102.513725,2015-09-01,18:23:00,41,aqua,Rengat , Indragiri Hulur , Riau 
-0.302976,102.527512,2015-09-01,18:23:00,100,aqua,Rengat , Indragiri Hulur , Riau 
-0.305019,102.541237,2015-09-01,18:23:00,59,aqua,Rengat , Indragiri Hulur , Riau 
-0.195934,101.727806,2015-09-01,18:23:00,90,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.221559,101.820641,2015-09-01,18:23:00,53,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.22386,101.836304,2015-09-01,18:23:00,33,aqua,Pangkalan Kuras , Pelalawan , Riau 
-0.394381,102.694839,2015-09-01,18:23:00,100,aqua,Tempuling , Indragiri Hilir , Riau 
-0.396304,102.708229,2015-09-01,18:23:00,67,aqua,Tempuling , Indragiri Hilir , Riau 
-0.411524,102.814178,2015-09-01,18:23:00,31,aqua,Tempuling , Indragiri Hilir , Riau 
-0.388764,102.703606,2015-09-01,18:23:00,56,aqua,Tempuling , Indragiri Hilir , Riau 
-0.397586,102.688644,2015-09-01,18:23:00,79,aqua,Rengat , Indragiri Hulur , Riau 
-0.399601,102.702026,2015-09-01,18:23:00,84,aqua,Tempuling , Indragiri Hilir , Riau 
-0.438006,102.586182,2015-09-01,18:23:00,39,aqua,Rengat , Indragiri Hulur , Riau 
-0.439989,102.599739,2015-09-01,18:23:00,100,aqua,Rengat , Indragiri Hulur , Riau 
-0.573662,102.636993,2015-09-01,18:23:00,90,aqua,Seberida , Indragiri Hulu , Riau 
-0.575683,102.650398,2015-09-01,18:23:00,19,aqua,Seberida , Indragiri Hulu , Riau 
-0.582512,102.621994,2015-09-01,18:23:00,41,aqua,Seberida , Indragiri Hulu , Riau 
