,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
0,-0.139824,102.882179,2014-08-04,42.0,Gaunganakserka,Indragiri Hilir,Riau
1,1.983107,117.390663,2014-08-04,59.0,Gaunganakserka,Indragiri Hilir,Riau
2,1.979972,117.368645,2014-08-04,66.0,Gaunganakserka,Indragiri Hilir,Riau
3,-0.007676,102.744278,2014-08-04,25.0,Gaunganakserka,Indragiri Hilir,Riau
4,0.12105,102.805969,2014-08-04,16.0,Gaunganakserka,Indragiri Hilir,Riau
5,0.882921,103.101219,2014-08-04,43.0,Gaunganakserka,Indragiri Hilir,Riau
6,0.774409,102.384315,2014-08-04,47.0,Gaunganakserka,Indragiri Hilir,Riau
7,0.562346,100.405579,2014-08-04,69.0,Rokan Empat Koto,Rokan Hulu,Riau
8,0.5568069999999999,100.367622,2014-08-04,92.0,Rokan Empat Koto,Rokan Hulu,Riau
9,0.546775,100.40168,2014-08-04,50.0,Rokan Empat Koto,Rokan Hulu,Riau
10,0.540981,100.364044,2014-08-04,65.0,Rokan Empat Koto,Rokan Hulu,Riau
11,0.564016,100.398285,2014-08-04,77.0,Rokan Empat Koto,Rokan Hulu,Riau
12,0.558335,100.361061,2014-08-04,82.0,Rokan Empat Koto,Rokan Hulu,Riau
13,1.135818,101.620712,2014-08-04,56.0,Pinggir,Bengkalis,Riau
14,1.165034,101.948425,2014-08-04,30.0,Siak Kecil,Bengkalis,Riau
15,1.211236,100.950394,2014-08-04,47.0,Mandau,Bengkalis,Riau
16,3.787562,117.442612,2014-08-04,60.0,Mandau,Bengkalis,Riau
17,1.576472,101.123093,2014-08-04,18.0,Tanah Putih,Rokan Hilir,Riau
18,1.857791,101.225967,2014-08-04,33.0,Dumai Barat,Kota Dumai,Riau
19,1.88656,100.984177,2014-08-04,44.0,Bangko,Rokan Hilir,Riau
20,1.893424,100.807091,2014-08-04,45.0,Bangko,Rokan Hilir,Riau
21,1.888183,100.772011,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
22,1.899338,100.798462,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
23,1.986186,100.926422,2014-08-04,20.0,Bangko,Rokan Hilir,Riau
24,1.927648,100.423897,2014-08-04,49.0,Bagan Sinembah,Rokan Hilir,Riau
25,1.93047,100.419609,2014-08-04,52.0,Bagan Sinembah,Rokan Hilir,Riau
26,2.120646,100.383255,2014-08-04,32.0,Bagan Sinembah,Rokan Hilir,Riau
27,2.115021,100.345543,2014-08-04,53.0,Bagan Sinembah,Rokan Hilir,Riau
28,2.123473,100.378746,2014-08-04,72.0,Bagan Sinembah,Rokan Hilir,Riau
29,2.117588,100.341011,2014-08-04,65.0,Bagan Sinembah,Rokan Hilir,Riau
30,-0.139825,102.882172,2014-08-04,42.0,Gaunganakserka,Indragiri Hilir,Riau
31,1.983107,117.390663,2014-08-04,59.0,Gaunganakserka,Indragiri Hilir,Riau
32,1.979972,117.368645,2014-08-04,66.0,Gaunganakserka,Indragiri Hilir,Riau
33,1.98893,117.38476599999998,2014-08-04,41.0,Gaunganakserka,Indragiri Hilir,Riau
34,0.562344,100.405563,2014-08-04,69.0,Rokan Empat Koto,Rokan Hulu,Riau
35,0.556804,100.367599,2014-08-04,92.0,Rokan Empat Koto,Rokan Hulu,Riau
36,0.546773,100.401665,2014-08-04,50.0,Rokan Empat Koto,Rokan Hulu,Riau
37,0.540979,100.364029,2014-08-04,65.0,Rokan Empat Koto,Rokan Hulu,Riau
38,0.564013,100.39827,2014-08-04,77.0,Rokan Empat Koto,Rokan Hulu,Riau
39,0.558333,100.361046,2014-08-04,82.0,Rokan Empat Koto,Rokan Hulu,Riau
40,1.13582,101.620728,2014-08-04,56.0,Pinggir,Bengkalis,Riau
41,1.165107,101.948586,2014-08-04,30.0,Siak Kecil,Bengkalis,Riau
42,1.221632,100.955521,2014-08-04,50.0,Mandau,Bengkalis,Riau
43,1.211234,100.950378,2014-08-04,47.0,Mandau,Bengkalis,Riau
44,3.787562,117.442612,2014-08-04,60.0,Mandau,Bengkalis,Riau
45,1.576495,101.123192,2014-08-04,18.0,Tanah Putih,Rokan Hilir,Riau
46,1.866001,101.229355,2014-08-04,37.0,Dumai Barat,Kota Dumai,Riau
47,1.857789,101.225952,2014-08-04,30.0,Dumai Barat,Kota Dumai,Riau
48,1.886558,100.984161,2014-08-04,44.0,Bangko,Rokan Hilir,Riau
49,1.893422,100.807076,2014-08-04,45.0,Bangko,Rokan Hilir,Riau
50,1.888181,100.772003,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
51,1.899341,100.798485,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
52,1.986189,100.926437,2014-08-04,20.0,Bangko,Rokan Hilir,Riau
53,1.927651,100.42392,2014-08-04,49.0,Bagan Sinembah,Rokan Hilir,Riau
54,1.930495,100.419739,2014-08-04,52.0,Bagan Sinembah,Rokan Hilir,Riau
55,2.120647,100.38327,2014-08-04,32.0,Bagan Sinembah,Rokan Hilir,Riau
56,2.115023,100.345551,2014-08-04,53.0,Bagan Sinembah,Rokan Hilir,Riau
57,2.12347,100.378731,2014-08-04,72.0,Bagan Sinembah,Rokan Hilir,Riau
58,2.117585,100.340996,2014-08-04,65.0,Bagan Sinembah,Rokan Hilir,Riau
59,2.40108,100.324028,2014-08-04,71.0,Bagan Sinembah,Rokan Hilir,Riau
60,2.387695,100.318497,2014-08-04,77.0,Bagan Sinembah,Rokan Hilir,Riau
61,2.404651,100.31588,2014-08-04,41.0,Bagan Sinembah,Rokan Hilir,Riau
62,1.879774,100.776245,2014-08-05,81.0,Bangko,Rokan Hilir,Riau
63,1.878455,100.76696,2014-08-05,56.0,Bangko,Rokan Hilir,Riau
64,2.036325,100.779686,2014-08-05,88.0,Bangko,Rokan Hilir,Riau
65,2.0140860000000003,100.556503,2014-08-05,89.0,Bagan Sinembah,Rokan Hilir,Riau
66,2.028216,100.331085,2014-08-05,74.0,Bagan Sinembah,Rokan Hilir,Riau
67,2.037248,100.329796,2014-08-05,57.0,Bagan Sinembah,Rokan Hilir,Riau
68,2.115654,100.368317,2014-08-05,75.0,Bagan Sinembah,Rokan Hilir,Riau
69,2.114357,100.359222,2014-08-05,100.0,Bagan Sinembah,Rokan Hilir,Riau
70,2.113062,100.350136,2014-08-05,91.0,Bagan Sinembah,Rokan Hilir,Riau
71,2.1234,100.357933,2014-08-05,96.0,Bagan Sinembah,Rokan Hilir,Riau
72,2.122103,100.348854,2014-08-05,98.0,Bagan Sinembah,Rokan Hilir,Riau
73,2.036326,100.779694,2014-08-05,88.0,Bangko,Rokan Hilir,Riau
74,2.014087,100.556511,2014-08-05,89.0,Bagan Sinembah,Rokan Hilir,Riau
75,2.028217,100.331093,2014-08-05,74.0,Bagan Sinembah,Rokan Hilir,Riau
76,2.037248,100.329796,2014-08-05,57.0,Bagan Sinembah,Rokan Hilir,Riau
77,2.115654,100.368317,2014-08-05,75.0,Bagan Sinembah,Rokan Hilir,Riau
78,2.114357,100.359222,2014-08-05,100.0,Bagan Sinembah,Rokan Hilir,Riau
79,2.113062,100.350136,2014-08-05,91.0,Bagan Sinembah,Rokan Hilir,Riau
80,2.123399,100.357933,2014-08-05,96.0,Bagan Sinembah,Rokan Hilir,Riau
81,2.122103,100.348854,2014-08-05,98.0,Bagan Sinembah,Rokan Hilir,Riau
82,0.992849,101.894913,2014-08-07,46.0,Siak,Siak,Riau
83,0.977014,100.895111,2014-08-07,60.0,Tapung Hulu,Kampar,Riau
84,0.975583,100.885254,2014-08-07,52.0,Tapung Hulu,Kampar,Riau
85,1.794603,101.455994,2014-08-07,61.0,Tapung Hulu,Kampar,Riau
86,2.132926,100.353683,2014-08-07,27.0,Bagan Sinembah,Rokan Hilir,Riau
87,-1.001075,102.530487,2014-08-09,73.0,Seberida,Indragiri Hulu,Riau
88,-0.894975,102.214546,2014-08-09,72.0,Seberida,Indragiri Hulu,Riau
89,-0.884759,102.131897,2014-08-09,33.0,Seberida,Indragiri Hulu,Riau
90,-0.836879,102.279449,2014-08-09,62.0,Seberida,Indragiri Hulu,Riau
91,-0.8493059999999999,102.119934,2014-08-09,79.0,Seberida,Indragiri Hulu,Riau
92,-0.8512649999999999,102.106552,2014-08-09,79.0,Seberida,Indragiri Hulu,Riau
93,-0.8661110000000001,101.928574,2014-08-09,84.0,Peranap,Indragiri Hulu,Riau
94,-0.7957310000000001,102.030151,2014-08-09,53.0,Peranap,Indragiri Hulu,Riau
95,-0.443337,102.578102,2014-08-09,43.0,Rengat,Indragiri Hulur,Riau
96,-0.380918,102.945648,2014-08-09,43.0,Tempuling,Indragiri Hilir,Riau
97,-0.315235,103.046753,2014-08-09,56.0,Batang Tuaka,Indragiri Hilir,Riau
98,-0.184813,101.732689,2014-08-09,49.0,Pangkalan Kuras,Pelalawan,Riau
99,-0.157212,99.798149,2014-08-09,65.0,Pangkalan Kuras,Pelalawan,Riau
100,0.6335970000000001,102.832382,2014-08-09,64.0,Pangkalan Kuras,Pelalawan,Riau
101,0.4147050000000001,100.483444,2014-08-09,47.0,Tiga Belas Koto Kampar,Kampar,Riau
102,0.426731,100.481506,2014-08-09,73.0,Tiga Belas Koto Kampar,Kampar,Riau
103,0.946356,102.940666,2014-08-09,66.0,Tiga Belas Koto Kampar,Kampar,Riau
104,2.0,100.338737,2014-08-09,39.0,Bagan Sinembah,Rokan Hilir,Riau
105,1.09635,100.977463,2014-08-09,87.0,Pinggir,Bengkalis,Riau
106,1.095043,100.986351,2014-08-09,99.0,Pinggir,Bengkalis,Riau
107,-0.179503,103.097282,2014-08-09,42.0,Pinggir,Bengkalis,Riau
108,-0.181005,103.107681,2014-08-09,49.0,Pinggir,Bengkalis,Riau
109,-0.381425,102.95121,2014-08-09,96.0,Batang Tuaka,Indragiri Hilir,Riau
110,-0.462349,102.508766,2014-08-09,84.0,Rengat,Indragiri Hulur,Riau
111,-0.463766,102.518539,2014-08-09,100.0,Rengat,Indragiri Hulur,Riau
112,-0.533883,102.669868,2014-08-09,59.0,Rengat,Indragiri Hulur,Riau
113,-0.535349,102.679825,2014-08-09,72.0,Rengat,Indragiri Hulur,Riau
114,0.0,101.711456,2014-08-10,32.0,Langgam,Pelalawan,Riau
115,-0.142332,102.864273,2014-08-11,18.0,Gaunganakserka,Indragiri Hilir,Riau
116,-0.00363,102.738205,2014-08-11,56.0,Gaunganakserka,Indragiri Hilir,Riau
117,0.7501800000000001,102.099869,2014-08-11,53.0,Siak Sri Indrapura,Siak,Riau
118,3.067562,116.434265,2014-08-11,38.0,Siak Sri Indrapura,Siak,Riau
119,3.183005,116.491127,2014-08-11,38.0,Siak Sri Indrapura,Siak,Riau
120,3.47497,116.508011,2014-08-11,69.0,Siak Sri Indrapura,Siak,Riau
121,3.691098,108.248749,2014-08-11,31.0,Siak Sri Indrapura,Siak,Riau
122,-2.0,121.380768,2014-08-11,100.0,Siak Sri Indrapura,Siak,Riau
123,-0.848453,102.920959,2014-08-12,64.0,Keritang,Indragiri Hilir,Riau
124,-0.418349,102.890236,2014-08-12,69.0,Tempuling,Indragiri Hilir,Riau
125,-0.570337,101.422142,2014-08-12,87.0,Kuatan Mudik,Kuantan Singingi,Riau
126,0.242448,102.308052,2014-08-12,53.0,Kuala Kampar,Pelalawan,Riau
127,-3.12564,114.074821,2014-08-12,88.0,Kuala Kampar,Pelalawan,Riau
128,0.666402,101.250725,2014-08-14,44.0,Tapung,Kampar,Riau
129,0.663858,101.232925,2014-08-14,55.0,Tapung,Kampar,Riau
