,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
13,1.135818,101.620712,2014-08-04,56.0,Pinggir,Bengkalis,Riau
14,1.1650340000000001,101.948425,2014-08-04,30.0,Siak Kecil,Bengkalis,Riau
15,1.211236,100.95039399999999,2014-08-04,47.0,Mandau,Bengkalis,Riau
16,3.7875620000000003,117.44261200000001,2014-08-04,60.0,Mandau,Bengkalis,Riau
40,1.13582,101.620728,2014-08-04,56.0,Pinggir,Bengkalis,Riau
41,1.165107,101.94858599999999,2014-08-04,30.0,Siak Kecil,Bengkalis,Riau
42,1.221632,100.95552099999999,2014-08-04,50.0,Mandau,Bengkalis,Riau
43,1.211234,100.950378,2014-08-04,47.0,Mandau,Bengkalis,Riau
44,3.7875620000000003,117.44261200000001,2014-08-04,60.0,Mandau,Bengkalis,Riau
105,1.09635,100.977463,2014-08-09,87.0,Pinggir,Bengkalis,Riau
106,1.095043,100.986351,2014-08-09,99.0,Pinggir,Bengkalis,Riau
107,-0.179503,103.09728199999999,2014-08-09,42.0,Pinggir,Bengkalis,Riau
108,-0.181005,103.107681,2014-08-09,49.0,Pinggir,Bengkalis,Riau
130,1.088014,100.97739399999999,2014-08-14,73.0,Pinggir,Bengkalis,Riau
134,1.088014,100.977386,2014-08-14,73.0,Pinggir,Bengkalis,Riau
162,1.164039,101.959129,2014-08-18,43.0,Siak Kecil,Bengkalis,Riau
163,1.295759,101.613091,2014-08-18,40.0,Pinggir,Bengkalis,Riau
164,1.480626,101.912071,2014-08-18,27.0,Pinggir,Bengkalis,Riau
165,1.793151,101.455795,2014-08-18,59.0,Pinggir,Bengkalis,Riau
166,2.191026,100.866783,2014-08-18,54.0,Pinggir,Bengkalis,Riau
169,1.571389,101.489655,2014-08-25,69.0,Bukit Batu,Bengkalis,Riau
170,-2.0,121.37168100000001,2014-08-25,61.0,Bukit Batu,Bengkalis,Riau
179,2.0,101.566345,2014-08-05,71.0,Rupat Utara,Bengkalis,Riau
207,1.165044,101.95326999999999,2014-08-14,16.0,Siak Kecil,Bengkalis,Riau
208,1.096878,100.981964,2014-08-14,70.0,Pinggir,Bengkalis,Riau
209,1.0876629999999998,100.980652,2014-08-14,52.0,Pinggir,Bengkalis,Riau
221,1.0539,102.010017,2014-08-23,49.0,Siak Kecil,Bengkalis,Riau
227,1.2187290000000002,100.953453,2014-08-30,20.0,Mandau,Bengkalis,Riau
750,1.33805,101.01899999999999,2018-08-15,71.0,Mandau,Bengkalis,Riau
751,1.32584,101.01,2018-08-15,70.0,Mandau,Bengkalis,Riau
965,1.32324,101.01799999999999,2018-08-18,100.0,Mandau,Bengkalis,Riau
966,1.32218,101.01100000000001,2018-08-18,100.0,Mandau,Bengkalis,Riau
967,1.331,101.024,2018-08-18,100.0,Mandau,Bengkalis,Riau
968,1.3299299999999998,101.01700000000001,2018-08-18,100.0,Mandau,Bengkalis,Riau
1069,1.32705,101.023,2018-08-20,75.0,Mandau,Bengkalis,Riau
1070,1.32515,101.01100000000001,2018-08-20,37.0,Mandau,Bengkalis,Riau
1071,1.33734,101.021,2018-08-20,39.0,Mandau,Bengkalis,Riau
1117,1.9711610000000002,101.52469599999999,2018-08-23,64.0,Rupat Utara,Bengkalis,Riau
1128,1.323002,101.012146,2018-08-23,62.0,Mandau,Bengkalis,Riau
1129,1.3224639999999999,101.021568,2018-08-23,66.0,Mandau,Bengkalis,Riau
1130,1.167818,101.053391,2018-08-23,43.0,Mandau,Bengkalis,Riau
1131,1.156411,101.051704,2018-08-23,83.0,Mandau,Bengkalis,Riau
1137,1.236626,100.987465,2018-08-21,69.0,Mandau,Bengkalis,Riau
1139,1.870136,101.463264,2018-08-24,32.0,Rupat,Bengkalis,Riau
1191,1.3112540000000001,101.013489,2018-08-25,74.0,Mandau,Bengkalis,Riau
1200,1.245377,101.006294,2018-08-26,30.0,Mandau,Bengkalis,Riau
1203,1.1601700000000001,101.051,2018-08-26,41.0,Mandau,Bengkalis,Riau
1241,1.31913,101.01700000000001,2018-08-26,84.0,Mandau,Bengkalis,Riau
1242,1.31797,101.025,2018-08-26,43.0,Mandau,Bengkalis,Riau
1243,1.3134,101.009,2018-08-26,81.0,Mandau,Bengkalis,Riau
1244,1.31225,101.016,2018-08-26,96.0,Mandau,Bengkalis,Riau
1245,1.17285,101.064,2018-08-26,78.0,Mandau,Bengkalis,Riau
1246,1.16716,101.056,2018-08-26,90.0,Mandau,Bengkalis,Riau
1247,1.1659899999999999,101.06299999999999,2018-08-26,100.0,Mandau,Bengkalis,Riau
1248,1.16482,101.071,2018-08-26,82.0,Mandau,Bengkalis,Riau
1249,1.16029,101.055,2018-08-26,74.0,Mandau,Bengkalis,Riau
1250,1.1591200000000002,101.06200000000001,2018-08-26,100.0,Mandau,Bengkalis,Riau
1252,1.12354,101.11,2018-08-26,29.0,Mandau,Bengkalis,Riau
1265,1.164417,101.066498,2018-08-26,100.0,Mandau,Bengkalis,Riau
1266,1.161658,101.047501,2018-08-26,100.0,Mandau,Bengkalis,Riau
1268,1.313801,101.013329,2018-08-26,95.0,Mandau,Bengkalis,Riau
1366,1.3212,101.022,2018-08-30,82.0,Mandau,Bengkalis,Riau
1368,1.52027,101.59899999999999,2018-08-30,81.0,Bukit Batu,Bengkalis,Riau
1395,1.30771,101.598,2016-08-02,61.0,Pinggir,Bengkalis,Riau
1396,1.4149399999999999,101.365,2016-08-02,73.0,Mandau,Bengkalis,Riau
1415,1.434426,101.457985,2016-08-05,39.0,Bukit Batu,Bengkalis,Riau
1431,1.3076889999999999,101.595993,2016-08-07,50.0,Pinggir,Bengkalis,Riau
1440,0.9726629999999999,101.920738,2016-08-07,27.0,Siak Kecil,Bengkalis,Riau
1443,1.382968,101.62359599999999,2016-08-07,49.0,Bukit Batu,Bengkalis,Riau
1461,1.88841,101.514,2016-08-07,63.0,Rupat,Bengkalis,Riau
1479,1.2219719999999998,101.017525,2016-08-07,25.0,Mandau,Bengkalis,Riau
1486,1.7774400000000001,101.495,2016-08-08,100.0,Rupat,Bengkalis,Riau
1489,1.7763950000000002,101.50106,2016-08-09,88.0,Rupat,Bengkalis,Riau
1504,1.78348,101.494,2016-08-09,59.0,Rupat,Bengkalis,Riau
1505,1.77685,101.493,2016-08-09,100.0,Rupat,Bengkalis,Riau
1506,1.7757599999999998,101.5,2016-08-09,100.0,Rupat,Bengkalis,Riau
1522,1.3447,101.574,2016-08-09,74.0,Pinggir,Bengkalis,Riau
1524,1.7758909999999999,101.493782,2016-08-10,58.0,Rupat,Bengkalis,Riau
1525,1.774109,101.50569200000001,2016-08-10,56.0,Rupat,Bengkalis,Riau
1527,1.346511,102.444923,2016-08-10,39.0,Bengkalis,Bengkalis,Riau
1528,1.34663,101.573608,2016-08-10,41.0,Pinggir,Bengkalis,Riau
1543,0.981555,101.94574,2016-08-10,38.0,Siak Kecil,Bengkalis,Riau
1545,1.2080440000000001,101.012878,2016-08-10,38.0,Mandau,Bengkalis,Riau
1546,1.34486,101.575867,2016-08-10,83.0,Pinggir,Bengkalis,Riau
1552,1.773537,101.4944,2016-08-10,94.0,Rupat,Bengkalis,Riau
1553,1.2080440000000001,101.012878,2016-08-10,39.0,Mandau,Bengkalis,Riau
1558,1.890552,101.519203,2016-08-12,23.0,Rupat,Bengkalis,Riau
1559,1.882902,101.508995,2016-08-12,29.0,Rupat,Bengkalis,Riau
1571,1.890885,101.51939399999999,2016-08-12,24.0,Rupat,Bengkalis,Riau
1572,1.8832349999999998,101.50919300000001,2016-08-12,29.0,Rupat,Bengkalis,Riau
1583,1.8905509999999999,101.519211,2016-08-12,24.0,Rupat,Bengkalis,Riau
1587,1.2074479999999999,101.01194,2016-08-12,64.0,Mandau,Bengkalis,Riau
1588,1.4265290000000002,101.386703,2016-08-12,31.0,Mandau,Bengkalis,Riau
