,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
740,1.76447,101.235,2018-08-15,100.0,Sungai Sembilan,Dumai,Riau
741,1.76338,101.242,2018-08-15,100.0,Sungai Sembilan,Dumai,Riau
742,1.75892,101.227,2018-08-15,48.0,Sungai Sembilan,Dumai,Riau
743,1.7567400000000002,101.24,2018-08-15,58.0,Sungai Sembilan,Dumai,Riau
745,1.74901,101.24600000000001,2018-08-15,28.0,Sungai Sembilan,Dumai,Riau
746,1.7434599999999998,101.238,2018-08-15,100.0,Sungai Sembilan,Dumai,Riau
747,1.7412900000000002,101.25200000000001,2018-08-15,25.0,Sungai Sembilan,Dumai,Riau
748,1.6948,101.245,2018-08-15,100.0,Sungai Sembilan,Dumai,Riau
749,1.6937099999999998,101.25200000000001,2018-08-15,94.0,Sungai Sembilan,Dumai,Riau
794,1.76413,101.241,2018-08-16,9.0,Sungai Sembilan,Dumai,Riau
795,1.75709,101.23299999999999,2018-08-16,34.0,Sungai Sembilan,Dumai,Riau
796,1.7467599999999999,101.24600000000001,2018-08-16,87.0,Sungai Sembilan,Dumai,Riau
797,1.7408700000000001,101.23,2018-08-16,100.0,Sungai Sembilan,Dumai,Riau
798,1.7397599999999998,101.238,2018-08-16,100.0,Sungai Sembilan,Dumai,Riau
799,1.73865,101.245,2018-08-16,100.0,Sungai Sembilan,Dumai,Riau
800,1.69698,101.245,2018-08-16,69.0,Sungai Sembilan,Dumai,Riau
819,1.98427,101.22200000000001,2018-08-17,52.0,Sungai Sembilan,Dumai,Riau
822,1.7675400000000001,101.245,2018-08-17,66.0,Sungai Sembilan,Dumai,Riau
823,1.7360799999999998,101.225,2018-08-17,97.0,Sungai Sembilan,Dumai,Riau
824,1.7349599999999998,101.23200000000001,2018-08-17,100.0,Sungai Sembilan,Dumai,Riau
825,1.73384,101.24,2018-08-17,38.0,Sungai Sembilan,Dumai,Riau
971,1.69675,101.249,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
972,1.70565,101.26299999999999,2018-08-18,84.0,Sungai Sembilan,Dumai,Riau
973,1.70806,101.23299999999999,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
974,1.71479,101.23200000000001,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
975,1.72826,101.23,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
976,1.73717,101.243,2018-08-18,92.0,Sungai Sembilan,Dumai,Riau
977,1.7360799999999998,101.236,2018-08-18,96.0,Sungai Sembilan,Dumai,Riau
978,1.73498,101.229,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
979,1.7339,101.22200000000001,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
980,1.74273,101.25,2018-08-18,50.0,Sungai Sembilan,Dumai,Riau
981,1.7484,101.242,2018-08-18,76.0,Sungai Sembilan,Dumai,Riau
982,1.7551400000000001,101.241,2018-08-18,89.0,Sungai Sembilan,Dumai,Riau
983,1.75406,101.23299999999999,2018-08-18,80.0,Sungai Sembilan,Dumai,Riau
984,1.7629400000000002,101.24700000000001,2018-08-18,92.0,Sungai Sembilan,Dumai,Riau
985,1.76187,101.24,2018-08-18,96.0,Sungai Sembilan,Dumai,Riau
986,1.9696,101.229,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
987,1.9774200000000002,101.235,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
988,1.9763400000000002,101.228,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
989,1.98308,101.227,2018-08-18,100.0,Sungai Sembilan,Dumai,Riau
991,2.09595,101.166,2018-08-18,54.0,Sungai Sembilan,Dumai,Riau
1012,1.9634599999999998,101.23200000000001,2018-08-19,100.0,Sungai Sembilan,Dumai,Riau
1119,1.727121,101.23320799999999,2018-08-23,50.0,Sungai Sembilan,Dumai,Riau
1122,1.7156580000000001,101.231514,2018-08-23,28.0,Sungai Sembilan,Dumai,Riau
1126,1.701913,101.245018,2018-08-23,39.0,Sungai Sembilan,Dumai,Riau
1127,1.699629,101.260223,2018-08-23,46.0,Sungai Sembilan,Dumai,Riau
1142,1.719954,101.239189,2018-08-24,70.0,Sungai Sembilan,Dumai,Riau
1144,1.704088,101.237038,2018-08-24,94.0,Sungai Sembilan,Dumai,Riau
1146,1.6837669999999998,101.266411,2018-08-24,52.0,Sungai Sembilan,Dumai,Riau
1147,1.7333180000000001,101.216187,2018-08-24,62.0,Sungai Sembilan,Dumai,Riau
