,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
0,-0.139824,102.88217900000001,2014-08-04,42.0,Gaunganakserka,Indragiri Hilir,Riau
1,1.983107,117.39066299999999,2014-08-04,59.0,Gaunganakserka,Indragiri Hilir,Riau
2,1.979972,117.368645,2014-08-04,66.0,Gaunganakserka,Indragiri Hilir,Riau
3,-0.0076760000000000005,102.74427800000001,2014-08-04,25.0,Gaunganakserka,Indragiri Hilir,Riau
4,0.12105,102.80596899999999,2014-08-04,16.0,Gaunganakserka,Indragiri Hilir,Riau
5,0.882921,103.101219,2014-08-04,43.0,Gaunganakserka,Indragiri Hilir,Riau
6,0.774409,102.384315,2014-08-04,47.0,Gaunganakserka,Indragiri Hilir,Riau
30,-0.139825,102.882172,2014-08-04,42.0,Gaunganakserka,Indragiri Hilir,Riau
31,1.983107,117.39066299999999,2014-08-04,59.0,Gaunganakserka,Indragiri Hilir,Riau
32,1.979972,117.368645,2014-08-04,66.0,Gaunganakserka,Indragiri Hilir,Riau
33,1.9889299999999999,117.38476599999998,2014-08-04,41.0,Gaunganakserka,Indragiri Hilir,Riau
96,-0.380918,102.94564799999999,2014-08-09,43.0,Tempuling,Indragiri Hilir,Riau
97,-0.315235,103.04675300000001,2014-08-09,56.0,Batang Tuaka,Indragiri Hilir,Riau
109,-0.381425,102.95121,2014-08-09,96.0,Batang Tuaka,Indragiri Hilir,Riau
115,-0.142332,102.864273,2014-08-11,18.0,Gaunganakserka,Indragiri Hilir,Riau
116,-0.0036299999999999995,102.73820500000001,2014-08-11,56.0,Gaunganakserka,Indragiri Hilir,Riau
123,-0.848453,102.920959,2014-08-12,64.0,Keritang,Indragiri Hilir,Riau
124,-0.41834899999999997,102.890236,2014-08-12,69.0,Tempuling,Indragiri Hilir,Riau
140,-0.366717,102.71846,2014-08-16,26.0,Tempuling,Indragiri Hilir,Riau
141,-0.204683,102.936462,2014-08-16,40.0,Gaunganakserka,Indragiri Hilir,Riau
195,-0.39929000000000003,102.940598,2014-08-09,71.0,Tempuling,Indragiri Hilir,Riau
199,-0.380161,102.949158,2014-08-09,100.0,Tempuling,Indragiri Hilir,Riau
230,-0.411783,102.70513199999999,2014-08-30,59.0,Tempuling,Indragiri Hilir,Riau
231,-1.35005,100.582001,2014-08-30,46.0,Tempuling,Indragiri Hilir,Riau
443,-0.759695,102.76299999999999,2018-08-13,34.0,Keritang,Indragiri Hilir,Riau
444,-0.0458584,103.14,2018-08-13,37.0,Gaung,Indragiri Hilir,Riau
445,-0.0469419,103.133,2018-08-13,78.0,Gaung,Indragiri Hilir,Riau
636,-0.0370787,103.1,2018-08-15,72.0,Gaung,Indragiri Hilir,Riau
1023,-0.8648610000000001,102.85600000000001,2018-08-19,49.0,Kemuning,Indragiri Hilir,Riau
1025,-0.246428,103.41,2018-08-19,41.0,Kuala Indragiri,Indragiri Hilir,Riau
1370,-0.846701,102.93799999999999,2018-08-30,48.0,Keritang,Indragiri Hilir,Riau
1371,-0.09650260000000001,103.04700000000001,2018-08-30,38.0,Gaung,Indragiri Hilir,Riau
1390,-0.125344,102.838104,2016-08-02,35.0,Gaung,Indragiri Hilir,Riau
1391,-0.127808,102.81543,2016-08-02,22.0,Gaung,Indragiri Hilir,Riau
1424,-0.8055260000000001,102.805,2016-08-06,73.0,Kemuning,Indragiri Hilir,Riau
1434,-0.19201,102.992195,2016-08-07,39.0,Gaung Anak Serka,Indragiri Hilir,Riau
1481,-0.412092,102.796,2016-08-08,70.0,Kempas,Indragiri Hilir,Riau
1484,0.12335399999999999,103.325,2016-08-08,85.0,Pelangiran,Indragiri Hilir,Riau
1632,0.17002799999999998,102.897,2016-08-13,44.0,Mandah,Indragiri Hilir,Riau
1915,-0.840169,102.932,2016-08-18,19.0,Keritang,Indragiri Hilir,Riau
1916,0.168753,102.90299999999999,2016-08-18,42.0,Mandah,Indragiri Hilir,Riau
1976,-0.7078760000000001,102.72509000000001,2016-08-19,79.0,Keritang,Indragiri Hilir,Riau
1992,-0.851611,102.925,2016-08-19,24.0,Keritang,Indragiri Hilir,Riau
2037,-0.11978399999999999,102.824226,2016-08-23,24.0,Gaung,Indragiri Hilir,Riau
2045,0.167121,103.20200000000001,2016-08-23,75.0,Pelangiran,Indragiri Hilir,Riau
2201,-0.317341,102.820679,2016-08-28,53.0,Tempuling,Indragiri Hilir,Riau
2306,-0.7577109999999999,103.211,2017-08-01,56.0,Reteh,Indragiri Hilir,Riau
2362,-0.747598,102.802,2017-08-04,90.0,Keritang,Indragiri Hilir,Riau
2368,-0.8481209999999999,102.912,2017-08-05,82.0,Keritang,Indragiri Hilir,Riau
2372,-0.034194699999999995,103.06299999999999,2017-08-05,100.0,Gaung,Indragiri Hilir,Riau
2375,0.0860952,103.546,2017-08-05,75.0,Mandah,Indragiri Hilir,Riau
2468,-0.82957,102.906,2017-08-26,94.0,Keritang,Indragiri Hilir,Riau
2469,-0.108731,102.89399999999999,2017-08-26,63.0,Gaung,Indragiri Hilir,Riau
2719,-0.759695,102.76299999999999,2018-08-13,34.0,Keritang,Indragiri Hilir,Riau
2720,-0.0458584,103.14,2018-08-13,37.0,Gaung,Indragiri Hilir,Riau
2721,-0.0469419,103.133,2018-08-13,78.0,Gaung,Indragiri Hilir,Riau
2910,-0.0370787,103.1,2018-08-15,72.0,Gaung,Indragiri Hilir,Riau
3295,-0.8648610000000001,102.85600000000001,2018-08-19,49.0,Kemuning,Indragiri Hilir,Riau
3297,-0.246428,103.41,2018-08-19,41.0,Kuala Indragiri,Indragiri Hilir,Riau
3640,-0.846701,102.93799999999999,2018-08-30,48.0,Keritang,Indragiri Hilir,Riau
3641,-0.09650260000000001,103.04700000000001,2018-08-30,38.0,Gaung,Indragiri Hilir,Riau
7194,-0.451179,103.479202,2014-04-01,68.0,Kuala Indragiri,Indragiri Hilir,Riau
7196,0.041102,103.701149,2014-04-03,63.0,Enok,Indragiri Hilir,Riau
7201,0.034184,102.697113,2014-04-12,59.0,Gaunganakserka,Indragiri Hilir,Riau
7237,-0.176406,102.78669000000001,2014-04-26,56.0,Gaunganakserka,Indragiri Hilir,Riau
7285,0.151014,103.55547299999999,2014-04-03,63.0,Mandah,Indragiri Hilir,Riau
7286,0.115417,103.486717,2014-04-03,40.0,Enok,Indragiri Hilir,Riau
7287,0.146055,102.905731,2014-04-03,39.0,Enok,Indragiri Hilir,Riau
7288,-0.415315,102.713593,2014-04-03,45.0,Tempuling,Indragiri Hilir,Riau
7289,-0.6164149999999999,103.014961,2014-04-03,46.0,Enok,Indragiri Hilir,Riau
7340,0.036076,102.699471,2014-04-19,16.0,Gaunganakserka,Indragiri Hilir,Riau
7341,-0.018061,102.69459499999999,2014-04-19,60.0,Gaunganakserka,Indragiri Hilir,Riau
7342,-2.721388,106.394005,2014-04-19,57.0,Gaunganakserka,Indragiri Hilir,Riau
7343,-0.133535,102.88739,2014-04-25,21.0,Gaunganakserka,Indragiri Hilir,Riau
7344,-0.324967,103.682625,2014-04-25,43.0,Kuala Indragiri,Indragiri Hilir,Riau
7356,0.148612,103.557968,2014-04-26,44.0,Mandah,Indragiri Hilir,Riau
7358,0.037632,102.692368,2014-04-26,65.0,Gaunganakserka,Indragiri Hilir,Riau
7359,0.036313,102.701279,2014-04-26,30.0,Gaunganakserka,Indragiri Hilir,Riau
7360,-0.121146,102.956078,2014-04-26,42.0,Gaunganakserka,Indragiri Hilir,Riau
7363,-0.4159600000000001,102.70616899999999,2014-04-26,67.0,Tempuling,Indragiri Hilir,Riau
7372,-0.135805,102.870613,2014-04-30,25.0,Gaunganakserka,Indragiri Hilir,Riau
7373,-0.18921300000000002,102.943771,2014-04-30,48.0,Gaunganakserka,Indragiri Hilir,Riau
7374,-0.31860900000000003,103.160599,2014-04-30,50.0,Gaunganakserka,Indragiri Hilir,Riau
7375,-0.324679,103.152672,2014-04-30,64.0,Gaunganakserka,Indragiri Hilir,Riau
7409,-0.101623,102.92761999999999,2015-04-06,61.0,Gaunganakserka,Indragiri Hilir,Riau
7462,-0.360653,102.722656,2015-04-10,19.0,Tempuling,Indragiri Hilir,Riau
7463,-0.355599,102.714714,2015-04-10,23.0,Tempuling,Indragiri Hilir,Riau
7464,0.459858,103.072662,2015-04-10,37.0,Tempuling,Indragiri Hilir,Riau
7465,0.4549470000000001,103.040001,2015-04-10,42.0,Tempuling,Indragiri Hilir,Riau
7485,-0.102779,102.93319699999999,2015-04-13,67.0,Gaunganakserka,Indragiri Hilir,Riau
7486,-0.104154,102.923592,2015-04-13,55.0,Gaunganakserka,Indragiri Hilir,Riau
