,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
87,-1.001075,102.530487,2014-08-09,73.0,Seberida,Indragiri Hulu,Riau
88,-0.894975,102.214546,2014-08-09,72.0,Seberida,Indragiri Hulu,Riau
89,-0.884759,102.131897,2014-08-09,33.0,Seberida,Indragiri Hulu,Riau
90,-0.836879,102.279449,2014-08-09,62.0,Seberida,Indragiri Hulu,Riau
91,-0.8493059999999999,102.119934,2014-08-09,79.0,Seberida,Indragiri Hulu,Riau
92,-0.8512649999999999,102.10655200000001,2014-08-09,79.0,Seberida,Indragiri Hulu,Riau
93,-0.8661110000000001,101.928574,2014-08-09,84.0,Peranap,Indragiri Hulu,Riau
94,-0.7957310000000001,102.030151,2014-08-09,53.0,Peranap,Indragiri Hulu,Riau
136,-0.86446,102.111053,2014-08-16,39.0,Seberida,Indragiri Hulu,Riau
137,-0.85021,102.14145699999999,2014-08-16,77.0,Seberida,Indragiri Hulu,Riau
138,-0.851715,102.130829,2014-08-16,85.0,Seberida,Indragiri Hulu,Riau
139,-0.85551,102.03337900000001,2014-08-16,50.0,Seberida,Indragiri Hulu,Riau
171,-0.740272,101.908333,2014-08-30,43.0,Peranap,Indragiri Hulu,Riau
172,-0.741548,101.899422,2014-08-30,72.0,Peranap,Indragiri Hulu,Riau
196,-0.918701,102.248779,2014-08-09,72.0,Seberida,Indragiri Hulu,Riau
235,-1.01314,102.54799999999999,2018-08-04,82.0,Batang Gansal,Indragiri Hulu,Riau
442,-0.8511559999999999,102.295,2018-08-13,44.0,Batang Cenaku,Indragiri Hulu,Riau
653,-0.89113,102.348,2018-08-15,81.0,Batang Gansal,Indragiri Hulu,Riau
654,-0.8921819999999999,102.34100000000001,2018-08-15,46.0,Batang Gansal,Indragiri Hulu,Riau
657,-0.57931,102.662,2018-08-15,56.0,Batang Gansal,Indragiri Hulu,Riau
793,-0.578604,102.63600000000001,2018-08-16,81.0,Batang Gansal,Indragiri Hulu,Riau
1001,-0.5769479999999999,102.652,2018-08-18,73.0,Batang Gansal,Indragiri Hulu,Riau
1024,-0.578492,102.654,2018-08-19,74.0,Batang Gansal,Indragiri Hulu,Riau
1480,-0.897731,101.959,2016-08-08,66.0,Peranap,Indragiri Hulu,Riau
1629,-0.868366,102.08200000000001,2016-08-13,55.0,Peranap,Indragiri Hulu,Riau
1630,-0.851094,102.148,2016-08-13,64.0,Batang Cenaku,Indragiri Hulu,Riau
1731,-0.374994,102.655792,2016-08-14,96.0,Kuala Cenaku,Indragiri Hulu,Riau
1763,-0.379102,102.65899999999999,2016-08-14,100.0,Kuala Cenaku,Indragiri Hulu,Riau
1764,-0.3804300000000001,102.66799999999999,2016-08-14,76.0,Kuala Cenaku,Indragiri Hulu,Riau
1765,-0.38346399999999997,102.66,2016-08-14,100.0,Kuala Cenaku,Indragiri Hulu,Riau
1766,4.0,96.0,2016-08-15,81.0,Kuala Cenaku,Indragiri Hulu,Riau
1845,-0.37838299999999997,102.65899999999999,2016-08-15,67.0,Kuala Cenaku,Indragiri Hulu,Riau
1975,-0.926891,102.22789,2016-08-19,28.0,Batang Cenaku,Indragiri Hulu,Riau
2198,-0.8583709999999999,102.31958,2016-08-28,77.0,Batang Cenaku,Indragiri Hulu,Riau
2199,-0.866815,101.870712,2016-08-28,65.0,Batang Peranap,Indragiri Hulu,Riau
2200,-0.8211729999999999,101.877686,2016-08-28,51.0,Batang Peranap,Indragiri Hulu,Riau
2369,-0.8262149999999999,102.086,2017-08-05,75.0,Peranap,Indragiri Hulu,Riau
2400,-0.550928,102.669,2017-08-06,60.0,Batang Gansal,Indragiri Hulu,Riau
2401,-0.558892,102.667,2017-08-06,100.0,Batang Gansal,Indragiri Hulu,Riau
2513,-1.01314,102.54799999999999,2018-08-04,82.0,Batang Gansal,Indragiri Hulu,Riau
2718,-0.8511559999999999,102.295,2018-08-13,44.0,Batang Cenaku,Indragiri Hulu,Riau
2927,-0.89113,102.348,2018-08-15,81.0,Batang Gansal,Indragiri Hulu,Riau
2928,-0.8921819999999999,102.34100000000001,2018-08-15,46.0,Batang Gansal,Indragiri Hulu,Riau
2931,-0.57931,102.662,2018-08-15,56.0,Batang Gansal,Indragiri Hulu,Riau
3067,-0.578604,102.63600000000001,2018-08-16,81.0,Batang Gansal,Indragiri Hulu,Riau
3273,-0.5769479999999999,102.652,2018-08-18,73.0,Batang Gansal,Indragiri Hulu,Riau
3296,-0.578492,102.654,2018-08-19,74.0,Batang Gansal,Indragiri Hulu,Riau
7258,-0.80604,101.942284,2014-04-28,60.0,Peranap,Indragiri Hulu,Riau
7259,-0.804555,101.936852,2014-04-28,35.0,Peranap,Indragiri Hulu,Riau
7260,0.997985,102.71125,2014-04-28,16.0,Peranap,Indragiri Hulu,Riau
7261,-8.334904,121.702271,2014-04-29,29.0,Peranap,Indragiri Hulu,Riau
7262,-3.006377,120.193092,2014-04-29,19.0,Peranap,Indragiri Hulu,Riau
7293,-1.0,102.38732900000001,2014-04-14,47.0,Seberida,Indragiri Hulu,Riau
7394,-0.741922,101.945137,2015-04-04,41.0,Peranap,Indragiri Hulu,Riau
8607,-0.7670319999999999,101.945053,2016-04-29,43.0,Peranap,Indragiri Hulu,Riau
8621,-0.76702,101.945053,2016-04-29,43.0,Peranap,Indragiri Hulu,Riau
9304,-0.8495159999999999,101.941978,2014-12-06,76.0,Peranap,Indragiri Hulu,Riau
9305,-0.742061,101.84201800000001,2014-12-06,74.0,Peranap,Indragiri Hulu,Riau
9328,-0.5986600000000001,101.923569,2014-12-08,24.0,Peranap,Indragiri Hulu,Riau
9334,-0.670628,102.104828,2015-12-02,35.0,Pasir Penyu,Indragiri Hulu,Riau
9344,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9345,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9346,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9347,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9348,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9349,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9350,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9351,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9352,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9353,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9356,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9359,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9362,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9365,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9368,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9371,-1.0,102.598,2015-12-11,51.0,Seberida,Indragiri Hulu,Riau
9901,-0.40539400000000003,102.71043399999999,2018-12-21,39.0,Kuala Cenaku,Indragiri Hulu,Riau
10136,-0.505529,102.20668,2014-02-12,65.0,Pasir Penyu,Indragiri Hulu,Riau
10139,-0.495845,102.208168,2014-02-12,74.0,Pasir Penyu,Indragiri Hulu,Riau
10140,-0.49716099999999996,102.19905899999999,2014-02-12,76.0,Pasir Penyu,Indragiri Hulu,Riau
10352,-0.503783,102.211739,2014-02-14,64.0,Pasir Penyu,Indragiri Hulu,Riau
11899,-0.4963520000000001,102.20886999999999,2014-02-12,69.0,Pasir Penyu,Indragiri Hulu,Riau
11900,-2.0,140.463837,2014-02-13,41.0,Pasir Penyu,Indragiri Hulu,Riau
12606,-0.4880850000000001,102.217361,2015-02-22,72.0,Pasir Penyu,Indragiri Hulu,Riau
12811,-1.0,102.461,2015-02-05,68.0,Seberida,Indragiri Hulu,Riau
12812,0.264939,99.5826,2015-02-05,68.0,Seberida,Indragiri Hulu,Riau
12813,1.10275,102.03200000000001,2015-02-05,79.0,Seberida,Indragiri Hulu,Riau
13330,-0.602783,102.3,2017-02-10,37.0,Seberida,Indragiri Hulu,Riau
14906,-0.765008,101.982597,2015-01-05,72.0,Peranap,Indragiri Hulu,Riau
14907,-0.766285,101.973686,2015-01-05,83.0,Peranap,Indragiri Hulu,Riau
14916,-0.775949,102.166191,2015-01-07,56.0,Seberida,Indragiri Hulu,Riau
14917,-0.37953899999999996,104.204865,2015-01-07,48.0,Seberida,Indragiri Hulu,Riau
14925,-0.775949,102.166191,2015-01-07,56.0,Seberida,Indragiri Hulu,Riau
