,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
95,-0.443337,102.578102,2014-08-09,43.0,Rengat,Indragiri Hulur,Riau
110,-0.46234899999999995,102.50876600000001,2014-08-09,84.0,Rengat,Indragiri Hulur,Riau
111,-0.463766,102.518539,2014-08-09,100.0,Rengat,Indragiri Hulur,Riau
112,-0.533883,102.66986800000001,2014-08-09,59.0,Rengat,Indragiri Hulur,Riau
113,-0.535349,102.679825,2014-08-09,72.0,Rengat,Indragiri Hulur,Riau
197,-0.544184,102.674934,2014-08-09,59.0,Rengat,Indragiri Hulur,Riau
198,-0.4648140000000001,102.511169,2014-08-09,100.0,Rengat,Indragiri Hulur,Riau
222,-0.241052,102.41690799999999,2014-08-29,32.0,Rengat,Indragiri Hulur,Riau
223,-2.1158919999999997,113.45600900000001,2014-08-29,39.0,Rengat,Indragiri Hulur,Riau
224,-2.126489,113.45452900000001,2014-08-29,30.0,Rengat,Indragiri Hulur,Riau
7231,-0.24195,102.40744000000001,2014-04-22,28.0,Rengat,Indragiri Hulur,Riau
7408,-0.41813999999999996,102.499725,2015-04-06,62.0,Rengat,Indragiri Hulur,Riau
7724,-0.23675700000000002,102.417252,2015-04-20,68.0,Rengat,Indragiri Hulur,Riau
7725,-0.252786,102.350197,2015-04-20,38.0,Rengat,Indragiri Hulur,Riau
7732,-0.234121,102.339577,2015-04-26,35.0,Rengat,Indragiri Hulur,Riau
7733,-0.237754,102.364571,2015-04-26,47.0,Rengat,Indragiri Hulur,Riau
7734,-0.236499,102.333069,2015-04-26,30.0,Rengat,Indragiri Hulur,Riau
7735,-0.240313,102.35804,2015-04-26,55.0,Rengat,Indragiri Hulur,Riau
7782,0.0,102.564,2015-04-11,69.0,Rengat,Indragiri Hulur,Riau
7879,-0.29286,102.500465,2016-04-01,72.0,Rengat,Indragiri Hulur,Riau
7921,-0.29286,102.500465,2016-04-01,72.0,Rengat,Indragiri Hulur,Riau
8431,-0.29296700000000003,102.514297,2016-04-12,22.0,Rengat,Indragiri Hulur,Riau
8513,-0.187871,102.41211700000001,2016-04-20,14.0,Rengat,Indragiri Hulur,Riau
8534,-0.210405,102.369743,2016-04-22,37.0,Rengat,Indragiri Hulur,Riau
8545,-0.210405,102.369743,2016-04-22,38.0,Rengat,Indragiri Hulur,Riau
8638,-0.291796,102.505,2016-04-27,35.0,Rengat,Indragiri Hulur,Riau
8649,-0.20590799999999998,102.374,2016-04-28,66.0,Rengat,Indragiri Hulur,Riau
