,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
243,1.10642969608,101.01419067399999,2018-08-11,64.0,Pinggir,Kab. Bengkalis,Riau
244,1.10505414009,101.02352905299999,2018-08-11,83.0,Pinggir,Kab. Bengkalis,Riau
261,1.1048214435600001,101.04822540299999,2018-08-11,41.0,Pinggir,Kab. Bengkalis,Riau
262,1.10318267345,101.036773682,2018-08-11,100.0,Pinggir,Kab. Bengkalis,Riau
263,1.10153877735,101.02529144299999,2018-08-11,100.0,Pinggir,Kab. Bengkalis,Riau
264,1.09989380836,101.013793945,2018-08-11,92.0,Pinggir,Kab. Bengkalis,Riau
265,1.11326348782,101.03530120799999,2018-08-11,98.0,Pinggir,Kab. Bengkalis,Riau
266,1.11162829399,101.02381897,2018-08-11,90.0,Pinggir,Kab. Bengkalis,Riau
267,1.12496590614,101.045272827,2018-08-11,47.0,Pinggir,Kab. Bengkalis,Riau
268,1.1340551376299999,101.037330627,2018-08-11,68.0,Pinggir,Kab. Bengkalis,Riau
269,1.1441289186499999,101.035865784,2018-08-11,32.0,Mandau,Kab. Bengkalis,Riau
270,1.2395581006999998,100.99297332799999,2018-08-11,50.0,Mandau,Kab. Bengkalis,Riau
316,1.1035469999999998,101.0364,2018-08-11,100.0,Pinggir,Kab. Bengkalis,Riau
317,1.101553,101.022133,2018-08-11,100.0,Pinggir,Kab. Bengkalis,Riau
318,1.0995620000000002,101.00788100000001,2018-08-11,87.0,Pinggir,Kab. Bengkalis,Riau
319,1.114718,101.034798,2018-08-11,100.0,Pinggir,Kab. Bengkalis,Riau
320,1.11271,101.020523,2018-08-11,100.0,Pinggir,Kab. Bengkalis,Riau
321,1.127918,101.047539,2018-08-11,52.0,Pinggir,Kab. Bengkalis,Riau
322,1.139103,101.04594399999999,2018-08-11,98.0,Pinggir,Kab. Bengkalis,Riau
323,1.1370639999999999,101.031624,2018-08-11,35.0,Mandau,Kab. Bengkalis,Riau
324,0.9914879999999999,99.720055,2018-08-11,74.0,Mandau,Kab. Bengkalis,Riau
341,1.09600234032,101.020629883,2018-08-12,58.0,Pinggir,Kab. Bengkalis,Riau
