,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
329,-0.199455,102.923927,2018-08-12,33.0,Gaunganakserka,Kab. Indragiri Hilir,Riau
330,0.017026,102.774017,2018-08-12,45.0,Enok,Kab. Indragiri Hilir,Riau
384,0.104024127126,102.831634521,2018-08-13,59.0,Enok,Kab. Indragiri Hilir,Riau
616,0.04191343858840002,103.027015686,2018-08-15,57.0,Enok,Kab. Indragiri Hilir,Riau
617,0.104409605265,102.833618164,2018-08-15,64.0,Enok,Kab. Indragiri Hilir,Riau
791,-0.19300699999999998,102.943779,2018-08-16,25.0,Gaunganakserka,Kab. Indragiri Hilir,Riau
892,-0.5673274993899999,103.042152405,2018-08-18,89.0,Enok,Kab. Indragiri Hilir,Riau
893,-0.568890273571,103.052719116,2018-08-18,75.0,Enok,Kab. Indragiri Hilir,Riau
897,-0.5701453685760001,103.04535675,2018-08-18,93.0,Enok,Kab. Indragiri Hilir,Riau
1005,-0.745893597603,102.79441070600001,2018-08-16,67.0,Keritang,Kab. Indragiri Hilir,Riau
1036,-0.0898209437728,103.37184143100001,2018-08-20,78.0,Gaunganakserka,Kab. Indragiri Hilir,Riau
1037,-0.566455483437,103.045196533,2018-08-20,90.0,Enok,Kab. Indragiri Hilir,Riau
1038,-0.632429897785,102.99269866899999,2018-08-20,58.0,Keritang,Kab. Indragiri Hilir,Riau
1039,-0.6602802276609999,102.991889954,2018-08-20,75.0,Keritang,Kab. Indragiri Hilir,Riau
1040,-0.661610424519,103.000854492,2018-08-20,63.0,Keritang,Kab. Indragiri Hilir,Riau
1042,-0.569430172443,103.04341888399999,2018-08-20,52.0,Enok,Kab. Indragiri Hilir,Riau
1044,-0.250728696585,103.40550994899999,2018-08-20,68.0,Kuala Indragiri,Kab. Indragiri Hilir,Riau
1046,-0.10935319215099999,102.900154114,2018-08-20,60.0,Gaunganakserka,Kab. Indragiri Hilir,Riau
1048,0.040650863200400005,102.808105469,2018-08-20,29.0,Enok,Kab. Indragiri Hilir,Riau
1324,-0.344260960817,102.975944519,2018-08-27,76.0,Batang Tuaka,Kab. Indragiri Hilir,Riau
1325,-0.795031130314,102.90893554700001,2018-08-27,73.0,Keritang,Kab. Indragiri Hilir,Riau
1328,-0.8333123326299999,102.901451111,2018-08-27,72.0,Keritang,Kab. Indragiri Hilir,Riau
1375,0.044058,103.000587,2018-08-27,45.0,Enok,Kab. Indragiri Hilir,Riau
1377,0.044058,103.000587,2018-08-11,45.0,Enok,Kab. Indragiri Hilir,Riau
1383,-0.326433,103.153992,2018-08-05,59.0,Tembilahan,Kab. Indragiri Hilir,Riau
1384,-0.149585,102.774139,2018-08-05,58.0,Gaunganakserka,Kab. Indragiri Hilir,Riau
2298,0.0796116441488,103.540367126,2017-08-01,49.0,Enok,Kab. Indragiri Hilir,Riau
2299,0.115714907646,102.86589813200001,2017-08-01,33.0,Enok,Kab. Indragiri Hilir,Riau
2311,-0.313959002495,102.704071045,2017-08-03,44.0,Tempuling,Kab. Indragiri Hilir,Riau
2312,-0.854125082493,102.912994385,2017-08-03,79.0,Keritang,Kab. Indragiri Hilir,Riau
2313,-0.843962013721,102.890808105,2017-08-03,39.0,Keritang,Kab. Indragiri Hilir,Riau
2317,-0.710510969162,102.73377227799999,2017-08-03,45.0,Keritang,Kab. Indragiri Hilir,Riau
2318,-0.20908151567000002,103.125236511,2017-08-03,60.0,Batang Tuaka,Kab. Indragiri Hilir,Riau
