,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
232,-1.01392173767,102.54363250700001,2018-08-04,66.0,Seberida,Kab. Indragiri Hulu,Riau
238,-0.85279083252,102.099197388,2018-08-09,53.0,Seberida,Kab. Indragiri Hulu,Riau
380,-0.8514997959139999,102.175094604,2018-08-13,67.0,Seberida,Kab. Indragiri Hulu,Riau
381,-0.8539233803749999,102.15827179,2018-08-13,82.0,Seberida,Kab. Indragiri Hulu,Riau
382,-0.587508141994,102.65245819100001,2018-08-13,39.0,Seberida,Kab. Indragiri Hulu,Riau
474,-0.20539699999999997,102.345894,2018-08-14,49.0,Rengat,Kab. Indragiri Hulu,Riau
613,-0.8934547901150001,102.345909119,2018-08-15,71.0,Seberida,Kab. Indragiri Hulu,Riau
614,-0.8973397016529999,102.319061279,2018-08-15,48.0,Seberida,Kab. Indragiri Hulu,Riau
615,-0.589796185493,102.66027832,2018-08-15,25.0,Seberida,Kab. Indragiri Hulu,Riau
894,-0.573165118694,102.655761719,2018-08-18,38.0,Seberida,Kab. Indragiri Hulu,Riau
895,-0.5797138214109999,102.63422393799999,2018-08-18,60.0,Seberida,Kab. Indragiri Hulu,Riau
896,-0.841170608997,102.053779602,2018-08-18,62.0,Seberida,Kab. Indragiri Hulu,Riau
898,-0.580954015255,102.64993286100001,2018-08-18,77.0,Seberida,Kab. Indragiri Hulu,Riau
1041,-0.8382799029350001,102.079940796,2018-08-20,65.0,Seberida,Kab. Indragiri Hulu,Riau
1043,-0.583709001541,102.65306854200001,2018-08-20,78.0,Seberida,Kab. Indragiri Hulu,Riau
1045,-0.210428774357,102.344444275,2018-08-20,16.0,Rengat,Kab. Indragiri Hulu,Riau
1326,-0.851247012615,102.227394104,2018-08-27,72.0,Seberida,Kab. Indragiri Hulu,Riau
1327,-0.8525597453120001,102.23629760700001,2018-08-27,76.0,Seberida,Kab. Indragiri Hulu,Riau
1329,-0.848569393158,102.222793579,2018-08-27,70.0,Seberida,Kab. Indragiri Hulu,Riau
2290,-0.940125882626,102.488960266,2017-08-01,64.0,Seberida,Kab. Indragiri Hulu,Riau
2291,-0.897095859051,102.223754883,2017-08-01,84.0,Seberida,Kab. Indragiri Hulu,Riau
2293,-0.8838700652120001,102.085021973,2017-08-01,72.0,Seberida,Kab. Indragiri Hulu,Riau
2294,-0.8786833882330001,102.043167114,2017-08-01,57.0,Seberida,Kab. Indragiri Hulu,Riau
2295,-0.8529268503190001,101.97716522200001,2017-08-01,64.0,Peranap,Kab. Indragiri Hulu,Riau
2310,-0.22085228562399997,102.379165649,2017-08-03,45.0,Rengat,Kab. Indragiri Hulu,Riau
2314,-0.8656604290009999,102.34954071,2017-08-03,74.0,Seberida,Kab. Indragiri Hulu,Riau
2315,-0.8688703179359999,102.326377869,2017-08-03,77.0,Seberida,Kab. Indragiri Hulu,Riau
2316,-0.8723821640009999,102.343261719,2017-08-03,84.0,Seberida,Kab. Indragiri Hulu,Riau
2319,-0.22262406349199998,102.371513367,2017-08-03,48.0,Rengat,Kab. Indragiri Hulu,Riau
2350,-0.215626,102.371063,2017-08-04,54.0,Rengat,Kab. Indragiri Hulu,Riau
2462,-0.8366919755940001,102.10015106200001,2017-08-26,73.0,Seberida,Kab. Indragiri Hulu,Riau
2487,-0.217785686255,102.360351562,2017-08-31,68.0,Rengat,Kab. Indragiri Hulu,Riau
2488,-0.21918438375,102.36993408200001,2017-08-31,26.0,Rengat,Kab. Indragiri Hulu,Riau
2494,-0.879872500896,102.08290863,2017-08-31,82.0,Seberida,Kab. Indragiri Hulu,Riau
2495,-0.843147397041,102.090820312,2017-08-31,64.0,Seberida,Kab. Indragiri Hulu,Riau
2496,-0.848695933819,101.987586975,2017-08-31,54.0,Peranap,Kab. Indragiri Hulu,Riau
2497,-0.8500521779060001,101.978187561,2017-08-31,70.0,Peranap,Kab. Indragiri Hulu,Riau
2516,-0.85279083252,102.099197388,2018-08-09,53.0,Seberida,Kab. Indragiri Hulu,Riau
2657,-0.8514997959139999,102.175094604,2018-08-13,67.0,Seberida,Kab. Indragiri Hulu,Riau
2658,-0.8539233803749999,102.15827179,2018-08-13,82.0,Seberida,Kab. Indragiri Hulu,Riau
2659,-0.587508141994,102.65245819100001,2018-08-13,39.0,Seberida,Kab. Indragiri Hulu,Riau
2749,-0.20539699999999997,102.345894,2018-08-14,49.0,Rengat,Kab. Indragiri Hulu,Riau
2888,-0.8934547901150001,102.345909119,2018-08-15,71.0,Seberida,Kab. Indragiri Hulu,Riau
2889,-0.8973397016529999,102.319061279,2018-08-15,48.0,Seberida,Kab. Indragiri Hulu,Riau
2890,-0.589796185493,102.66027832,2018-08-15,25.0,Seberida,Kab. Indragiri Hulu,Riau
3168,-0.573165118694,102.655761719,2018-08-18,38.0,Seberida,Kab. Indragiri Hulu,Riau
3169,-0.5797138214109999,102.63422393799999,2018-08-18,60.0,Seberida,Kab. Indragiri Hulu,Riau
3170,-0.841170608997,102.053779602,2018-08-18,62.0,Seberida,Kab. Indragiri Hulu,Riau
3172,-0.580954015255,102.64993286100001,2018-08-18,77.0,Seberida,Kab. Indragiri Hulu,Riau
3313,-0.8382799029350001,102.079940796,2018-08-20,65.0,Seberida,Kab. Indragiri Hulu,Riau
3315,-0.583709001541,102.65306854200001,2018-08-20,78.0,Seberida,Kab. Indragiri Hulu,Riau
3317,-0.210428774357,102.344444275,2018-08-20,16.0,Rengat,Kab. Indragiri Hulu,Riau
3596,-0.851247012615,102.227394104,2018-08-27,72.0,Seberida,Kab. Indragiri Hulu,Riau
3597,-0.8525597453120001,102.23629760700001,2018-08-27,76.0,Seberida,Kab. Indragiri Hulu,Riau
3599,-0.848569393158,102.222793579,2018-08-27,70.0,Seberida,Kab. Indragiri Hulu,Riau
3678,-0.246185258031,102.342857361,2019-08-01,42.0,Rengat,Kab. Indragiri Hulu,Riau
3683,-0.8813689351080001,102.56725311299999,2019-08-01,68.0,Seberida,Kab. Indragiri Hulu,Riau
3684,-0.858728289604,102.10104370100001,2019-08-01,67.0,Seberida,Kab. Indragiri Hulu,Riau
3685,-0.8403801918029999,102.145721436,2019-08-01,71.0,Seberida,Kab. Indragiri Hulu,Riau
