,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
378,0.984553515911,100.918334961,2018-08-13,74.0,Tapung Hulu,Kab. Kampar,Riau
386,0.457382053137,100.63168335,2018-08-13,54.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
387,0.45625847578,100.64818573,2018-08-13,67.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
388,1.96498203278,109.564376831,2018-08-13,70.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
392,0.980283617973,100.917129517,2018-08-13,70.0,Tapung Hulu,Kab. Kampar,Riau
479,0.573144,101.306793,2018-08-14,58.0,Tapung,Kab. Kampar,Riau
787,0.615263,100.91188000000001,2018-08-16,63.0,Tapung,Kab. Kampar,Riau
890,-0.0419489257038,101.107788086,2018-08-18,70.0,Kampar Kiri,Kab. Kampar,Riau
909,0.53402531147,100.932548523,2018-08-18,35.0,Tapung,Kab. Kampar,Riau
1058,0.439594954252,100.64464569100001,2018-08-20,66.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
1059,0.448827475309,100.653991699,2018-08-20,61.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
1281,0.106520548463,100.98901367200001,2018-08-26,82.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
1320,0.127435326576,101.52857971200001,2018-08-27,54.0,Kampar Kiri Hilir,Kab. Kampar,Riau
1321,-0.043558631092300015,101.501014709,2018-08-27,65.0,Kampar Kiri Hilir,Kab. Kampar,Riau
1322,-0.0512307845056,101.49075317399999,2018-08-27,52.0,Kampar Kiri Hilir,Kab. Kampar,Riau
1323,-0.05255452170969999,101.499740601,2018-08-27,82.0,Kampar Kiri Hilir,Kab. Kampar,Riau
1330,-0.0538717396557,101.497489929,2018-08-27,74.0,Kampar Kiri Hilir,Kab. Kampar,Riau
1331,0.10860987752699999,100.989906311,2018-08-27,93.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
1332,0.106960661709,100.97832489,2018-08-27,69.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
1333,0.430452823639,100.671020508,2018-08-27,52.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
1349,0.536288,100.930336,2018-08-29,51.0,Tapung,Kab. Kampar,Riau
2386,0.434699058533,100.651252747,2017-08-06,76.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
2387,0.433397829533,100.64213562,2017-08-06,77.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
2402,0.22174976766100002,100.629943848,2017-08-07,61.0,Tiga Belas Koto Kampar,Kab. Kampar,Riau
2471,0.560256659985,100.957046509,2017-08-29,41.0,Tapung,Kab. Kampar,Riau
