,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
259,0.974690616131,103.038650513,2018-08-11,59.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
886,0.977077186108,103.050445557,2018-08-18,47.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
1033,0.96829777956,103.069763184,2018-08-20,24.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
1220,0.916683197021,102.50435638399999,2018-08-26,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
1282,0.90254420042,102.50588226299999,2018-08-26,100.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
1283,0.913916766644,102.504188538,2018-08-26,77.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
1337,0.90113312006,102.500709534,2018-08-27,76.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
1376,0.9986520000000001,102.70568100000001,2018-08-27,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
1380,0.9986520000000001,102.70568100000001,2018-08-11,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
1388,1.002728,102.711342,2018-08-19,26.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
2303,0.884219110012,103.01969909700001,2017-08-01,40.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
2304,0.9866956472399999,102.88493347200001,2017-08-01,79.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
2305,0.9883748292919999,102.89630127,2017-08-01,80.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
2446,0.8922935128210001,103.123283386,2017-08-20,34.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
2452,1.38838875294,102.243103027,2017-08-24,46.0,Merbau,Kab. Kepulauan Meranti,Riau
2537,0.974690616131,103.038650513,2018-08-11,59.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
3160,0.977077186108,103.050445557,2018-08-18,47.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
3305,0.96829777956,103.069763184,2018-08-20,24.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
3490,0.916683197021,102.50435638399999,2018-08-26,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3552,0.90254420042,102.50588226299999,2018-08-26,100.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3553,0.913916766644,102.504188538,2018-08-26,77.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3607,0.90113312006,102.500709534,2018-08-27,76.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3646,0.9986520000000001,102.70568100000001,2018-08-27,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3650,0.9986520000000001,102.70568100000001,2018-08-11,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3658,1.002728,102.711342,2018-08-19,26.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
3720,1.0868818759899999,102.88076782200001,2019-08-01,79.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
3853,1.08853,102.895,2019-08-01,59.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4320,0.896790981293,103.020492554,2019-08-04,100.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4321,0.895139873028,103.009208679,2019-08-04,60.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4322,0.919188022614,102.474830627,2019-08-04,57.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4332,0.898627281189,103.030487061,2019-08-04,79.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4340,0.8970370000000001,103.022,2019-08-04,60.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4361,0.9225615262989999,102.48084259,2019-08-05,53.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4432,0.916409015656,102.47912597700001,2019-08-05,53.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4483,0.8991389999999999,103.023,2019-08-06,36.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4500,0.8889314532279999,103.027626038,2019-08-07,33.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4540,0.9114345312119999,102.48110199,2019-08-07,46.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4563,0.9247933626170001,102.486709595,2019-08-07,66.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4564,0.9247933626170001,102.486709595,2019-08-07,66.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4565,0.923401176929,102.496147156,2019-08-07,14.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4566,0.923401176929,102.496147156,2019-08-07,14.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4574,0.919479,102.485,2019-08-07,78.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4613,0.89434379,103.01858521,2019-08-08,55.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
4759,0.916879415512,102.49172973600001,2019-08-09,19.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4760,0.915583193302,102.482551575,2019-08-09,86.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4761,0.914287567139,102.47337341299999,2019-08-09,98.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4799,0.921542465687,102.47380828899999,2019-08-09,51.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4800,0.9201305508609999,102.483345032,2019-08-09,100.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4801,0.9187190532680001,102.492874146,2019-08-09,37.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4928,0.911113,102.485,2019-08-11,100.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
4929,0.916715,102.478,2019-08-11,100.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5014,0.899165093899,102.75994110100001,2019-08-11,100.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
5015,0.897784233093,102.75025177,2019-08-11,97.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
5017,0.9035879969600001,102.48287963899999,2019-08-11,95.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5021,0.9144517779350001,102.49143219,2019-08-11,41.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5022,0.9130148887630001,102.481491089,2019-08-11,100.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5023,0.9115764498710001,102.471542358,2019-08-11,82.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5024,0.922441601753,102.48009491,2019-08-11,39.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5064,0.89658463,102.75866699,2019-08-11,81.0,Tebing Tinggi,Kab. Kepulauan Meranti,Riau
5067,0.90858334,102.48687744,2019-08-11,60.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5086,0.913866579533,102.49027252200001,2019-08-11,11.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5097,0.908634662628,102.478240967,2019-08-12,80.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5098,0.907011151314,102.489326477,2019-08-12,50.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5101,0.898698866367,102.476791382,2019-08-12,78.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5102,0.897065579891,102.487892151,2019-08-12,77.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
5184,0.9082666039470001,102.48361969,2019-08-12,42.0,Tebingtinggi Barat,Kab. Kepulauan Meranti,Riau
