,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
251,-0.3878798484800001,101.32536315899999,2018-08-11,77.0,Singingi,Kab. Kuantan Singingi,Riau
383,-0.7287987470630001,101.485366821,2018-08-13,45.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
899,-0.519014596939,101.286277771,2018-08-18,62.0,Singingi,Kab. Kuantan Singingi,Riau
2292,-0.944856464863,101.895622253,2017-08-01,61.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
2334,-0.2593100667,101.596710205,2017-08-03,35.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
2459,-0.869040369987,101.698951721,2017-08-26,63.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
2466,-0.169638991356,101.53575897200001,2017-08-26,68.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
2489,-0.10366863757400001,101.33129119899999,2017-08-31,33.0,Singingi,Kab. Kuantan Singingi,Riau
2490,-0.111338600516,101.32105255100001,2017-08-31,48.0,Singingi,Kab. Kuantan Singingi,Riau
2493,-0.932644426823,101.909721375,2017-08-31,70.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
2498,-0.21749186515799998,101.19446563700001,2017-08-31,68.0,Singingi,Kab. Kuantan Singingi,Riau
2499,-0.106572464108,101.32153320299999,2017-08-31,75.0,Singingi,Kab. Kuantan Singingi,Riau
2509,-0.823790252209,101.63290405299999,2017-08-31,71.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
2510,-0.8209978342059999,101.644958496,2017-08-31,51.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
2529,-0.3878798484800001,101.32536315899999,2018-08-11,77.0,Singingi,Kab. Kuantan Singingi,Riau
2660,-0.7287987470630001,101.485366821,2018-08-13,45.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
3173,-0.519014596939,101.286277771,2018-08-18,62.0,Singingi,Kab. Kuantan Singingi,Riau
3705,-0.19580665230799998,101.200035095,2019-08-01,56.0,Singingi,Kab. Kuantan Singingi,Riau
3833,-0.216962,101.191,2019-08-01,73.0,Singingi,Kab. Kuantan Singingi,Riau
3838,-0.19697699999999999,101.211,2019-08-01,52.0,Singingi,Kab. Kuantan Singingi,Riau
3920,-0.113643035293,101.517021179,2019-08-02,64.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
3921,-0.113643035293,101.517021179,2019-08-02,64.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
4135,-0.74915129,101.57735443,2019-08-02,71.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
4158,-0.12060975,101.52533722,2019-08-02,81.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
4203,-0.203966453671,101.210578918,2019-08-03,67.0,Singingi,Kab. Kuantan Singingi,Riau
4205,-0.113229945302,101.524536133,2019-08-03,61.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
4209,-0.86172217,101.80179596,2019-08-03,68.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
4210,-0.80946499,101.52037811,2019-08-03,67.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
4239,-0.11288894,101.52258301,2019-08-03,86.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
4425,-0.121726885438,101.527900696,2019-08-05,66.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
4886,-0.4541270000000001,101.62700000000001,2019-08-11,53.0,Kuatan Tengah,Kab. Kuantan Singingi,Riau
5008,-0.11383048445,101.52835083,2019-08-11,78.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
5328,-0.11843992,101.53193665,2019-08-12,34.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
5470,-0.22139152884500002,101.20199585,2019-08-14,58.0,Singingi,Kab. Kuantan Singingi,Riau
5472,-0.122166968882,101.53386688200001,2019-08-14,72.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
5858,-0.80462617,101.84449005,2019-08-18,42.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
5888,-0.79823756218,101.83405304,2019-08-19,88.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
5889,-0.785198390484,101.81665039100001,2019-08-19,62.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
5890,-0.7759206891060001,101.815307617,2019-08-19,31.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
5891,-0.493862748146,101.854286194,2019-08-19,50.0,Cerenti,Kab. Kuantan Singingi,Riau
5908,-0.186839222908,101.54772186299999,2019-08-19,26.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
5954,-0.77723992,101.813591,2019-08-19,74.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
5955,-0.76705694,101.83469391,2019-08-19,93.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
5959,-0.52142739,101.53961182,2019-08-19,35.0,Kuatan Tengah,Kab. Kuantan Singingi,Riau
6027,-0.789088368416,101.822669983,2019-08-20,24.0,Kuatan Mudik,Kab. Kuantan Singingi,Riau
6170,-0.539111614227,101.865486145,2019-08-21,70.0,Cerenti,Kab. Kuantan Singingi,Riau
6178,-0.307086765766,101.62107086200001,2019-08-21,41.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
6200,-0.126101702452,101.53435516399999,2019-08-21,81.0,Kuatan Hilir,Kab. Kuantan Singingi,Riau
