,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
247,0.605915188789,102.780426025,2018-08-11,67.0,Kuala Kampar,Kab. Pelalawan,Riau
248,0.604596614838,102.789382935,2018-08-11,57.0,Kuala Kampar,Kab. Pelalawan,Riau
249,0.525074720383,103.01688385,2018-08-11,40.0,Kuala Kampar,Kab. Pelalawan,Riau
252,-0.158941790462,101.702362061,2018-08-11,28.0,Pangkalan Kuras,Kab. Pelalawan,Riau
253,-0.07663488388060001,101.64595031700001,2018-08-11,90.0,Langgam,Kab. Pelalawan,Riau
254,-0.078177690506,101.634979248,2018-08-11,47.0,Langgam,Kab. Pelalawan,Riau
255,0.439322888851,101.88352966299999,2018-08-11,41.0,Bunut,Kab. Pelalawan,Riau
331,0.161424,102.740669,2018-08-12,42.0,Kuala Kampar,Kab. Pelalawan,Riau
332,0.156781,102.708282,2018-08-12,40.0,Kuala Kampar,Kab. Pelalawan,Riau
333,0.366236,102.901749,2018-08-12,25.0,Kuala Kampar,Kab. Pelalawan,Riau
385,0.341827183962,102.735069275,2018-08-13,13.0,Kuala Kampar,Kab. Pelalawan,Riau
475,-0.208027,101.70182,2018-08-14,82.0,Pangkalan Kuras,Kab. Pelalawan,Riau
476,0.103774,102.67830699999999,2018-08-14,40.0,Kuala Kampar,Kab. Pelalawan,Riau
477,0.29789,102.491013,2018-08-14,44.0,Kuala Kampar,Kab. Pelalawan,Riau
478,0.375869,102.92614,2018-08-14,21.0,Kuala Kampar,Kab. Pelalawan,Riau
618,0.0964275375009,102.67632293700001,2018-08-15,35.0,Kuala Kampar,Kab. Pelalawan,Riau
619,0.251151651144,102.908462524,2018-08-15,42.0,Kuala Kampar,Kab. Pelalawan,Riau
620,0.47985303401900004,102.172271729,2018-08-15,55.0,Bunut,Kab. Pelalawan,Riau
789,0.235663,102.900047,2018-08-16,58.0,Kuala Kampar,Kab. Pelalawan,Riau
790,0.233198,102.916466,2018-08-16,80.0,Kuala Kampar,Kab. Pelalawan,Riau
888,0.682610690594,102.880218506,2018-08-18,25.0,Kuala Kampar,Kab. Pelalawan,Riau
889,0.502921581268,103.049926758,2018-08-18,57.0,Kuala Kampar,Kab. Pelalawan,Riau
891,-0.28802263736699996,101.83912658700001,2018-08-18,67.0,Pangkalan Kuras,Kab. Pelalawan,Riau
900,-0.227155655622,101.90382385299999,2018-08-18,46.0,Pangkalan Kuras,Kab. Pelalawan,Riau
901,1.06376063824,110.937225342,2018-08-18,48.0,Pangkalan Kuras,Kab. Pelalawan,Riau
902,-0.216993927956,101.78011322,2018-08-18,87.0,Pangkalan Kuras,Kab. Pelalawan,Riau
903,-0.202802658081,101.68334198,2018-08-18,85.0,Langgam,Kab. Pelalawan,Riau
904,0.027308780699999997,101.886665344,2018-08-18,33.0,Pangkalan Kuras,Kab. Pelalawan,Riau
905,0.0259883776307,101.877510071,2018-08-18,48.0,Pangkalan Kuras,Kab. Pelalawan,Riau
906,0.23948873579500002,102.919845581,2018-08-18,27.0,Kuala Kampar,Kab. Pelalawan,Riau
907,0.546307504177,103.002357483,2018-08-18,28.0,Kuala Kampar,Kab. Pelalawan,Riau
1003,-0.133489355445,101.60945892299999,2018-08-16,68.0,Langgam,Kab. Pelalawan,Riau
1004,-0.144290134311,101.60789489700001,2018-08-16,81.0,Langgam,Kab. Pelalawan,Riau
1008,0.156685,102.713036,2018-08-19,55.0,Kuala Kampar,Kab. Pelalawan,Riau
1026,0.22903099999999998,102.90229000000001,2018-08-19,35.0,Kuala Kampar,Kab. Pelalawan,Riau
1035,0.229261621833,102.896102905,2018-08-20,56.0,Kuala Kampar,Kab. Pelalawan,Riau
1047,-0.20708373188999998,101.911056519,2018-08-20,38.0,Pangkalan Kuras,Kab. Pelalawan,Riau
1049,0.217204809189,102.898490906,2018-08-20,64.0,Kuala Kampar,Kab. Pelalawan,Riau
1050,0.21555647254000002,102.88722991899999,2018-08-20,100.0,Kuala Kampar,Kab. Pelalawan,Riau
1051,0.227229788899,102.897102356,2018-08-20,58.0,Kuala Kampar,Kab. Pelalawan,Riau
1052,0.225582614541,102.885803223,2018-08-20,95.0,Kuala Kampar,Kab. Pelalawan,Riau
1053,0.235600471497,102.88431549100001,2018-08-20,32.0,Kuala Kampar,Kab. Pelalawan,Riau
1054,0.299392670393,102.477600098,2018-08-20,35.0,Kuala Kampar,Kab. Pelalawan,Riau
1055,0.297675639391,102.46559906,2018-08-20,22.0,Kuala Kampar,Kab. Pelalawan,Riau
1056,0.370766699314,102.905059814,2018-08-20,40.0,Kuala Kampar,Kab. Pelalawan,Riau
1057,1.4335123300600001,109.918609619,2018-08-20,69.0,Kuala Kampar,Kab. Pelalawan,Riau
1082,0.232868,102.885384,2018-08-20,72.0,Kuala Kampar,Kab. Pelalawan,Riau
1083,0.23137399999999997,102.89546999999999,2018-08-20,90.0,Kuala Kampar,Kab. Pelalawan,Riau
1084,0.22336399999999998,102.884003,2018-08-20,100.0,Kuala Kampar,Kab. Pelalawan,Riau
1088,0.22199833393100002,102.884277344,2018-08-21,76.0,Kuala Kampar,Kab. Pelalawan,Riau
1092,0.22334863245499997,102.8879776,2018-08-22,56.0,Kuala Kampar,Kab. Pelalawan,Riau
1100,0.024488,102.326622,2018-08-23,74.0,Kuala Kampar,Kab. Pelalawan,Riau
1280,-0.0979965403676,101.66262054399999,2018-08-26,52.0,Langgam,Kab. Pelalawan,Riau
1316,0.6836401224140001,102.87748718299999,2018-08-27,41.0,Kuala Kampar,Kab. Pelalawan,Riau
1317,0.682312726974,102.886459351,2018-08-27,31.0,Kuala Kampar,Kab. Pelalawan,Riau
1319,0.44258981943099995,101.890632629,2018-08-27,60.0,Bunut,Kab. Pelalawan,Riau
1343,0.676388502121,102.880493164,2018-08-18,23.0,Kuala Kampar,Kab. Pelalawan,Riau
1378,0.17005499999999998,102.67903100000001,2018-08-11,60.0,Kuala Kampar,Kab. Pelalawan,Riau
1379,0.547606,102.20444499999999,2018-08-11,25.0,Bunut,Kab. Pelalawan,Riau
1387,0.4913520000000001,103.316017,2018-08-19,68.0,Kuala Kampar,Kab. Pelalawan,Riau
2296,-0.216073304415,101.69976043700001,2017-08-01,59.0,Pangkalan Kuras,Kab. Pelalawan,Riau
2297,-0.20496414601799998,101.69811248799999,2017-08-01,83.0,Pangkalan Kuras,Kab. Pelalawan,Riau
2300,0.18213911354499998,102.694549561,2017-08-01,58.0,Kuala Kampar,Kab. Pelalawan,Riau
2301,0.09188051521780001,101.85012817399999,2017-08-01,56.0,Langgam,Kab. Pelalawan,Riau
