,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
239,2.24400949478,100.922241211,2018-08-11,71.0,Bangko,Kab. Rokan Hilir,Riau
240,2.1495542526199998,100.87355804399999,2018-08-11,24.0,Bangko,Kab. Rokan Hilir,Riau
241,2.13885331154,100.881866455,2018-08-11,35.0,Bangko,Kab. Rokan Hilir,Riau
273,1.45758509636,101.15697479200001,2018-08-11,67.0,Tanah Putih,Kab. Rokan Hilir,Riau
274,1.455960989,101.14581298799999,2018-08-11,62.0,Tanah Putih,Kab. Rokan Hilir,Riau
275,1.4340841770200001,100.43447876,2018-08-11,81.0,Tanah Putih,Kab. Rokan Hilir,Riau
276,1.43226122856,100.422073364,2018-08-11,71.0,Tanah Putih,Kab. Rokan Hilir,Riau
277,1.70308125019,101.23348999,2018-08-11,66.0,Tanah Putih,Kab. Rokan Hilir,Riau
278,1.9984356164900001,100.798614502,2018-08-11,74.0,Bangko,Kab. Rokan Hilir,Riau
279,2.0068991184200002,100.785583496,2018-08-11,87.0,Bangko,Kab. Rokan Hilir,Riau
281,2.0358281135599996,100.774772644,2018-08-11,52.0,Bangko,Kab. Rokan Hilir,Riau
282,2.1330225467700004,100.883766174,2018-08-11,54.0,Bangko,Kab. Rokan Hilir,Riau
283,2.14305472374,100.88230133100001,2018-08-11,85.0,Bangko,Kab. Rokan Hilir,Riau
284,2.14138579369,100.87094116200001,2018-08-11,86.0,Bangko,Kab. Rokan Hilir,Riau
285,2.16463732719,100.959846497,2018-08-11,55.0,Bangko,Kab. Rokan Hilir,Riau
286,2.1945734024,100.955467224,2018-08-11,55.0,Bangko,Kab. Rokan Hilir,Riau
287,2.20616078377,100.96522522,2018-08-11,85.0,Bangko,Kab. Rokan Hilir,Riau
288,2.20455169678,100.95400238,2018-08-11,60.0,Bangko,Kab. Rokan Hilir,Riau
289,2.19157958031,100.863563538,2018-08-11,79.0,Bangko,Kab. Rokan Hilir,Riau
290,2.21613025665,100.963745117,2018-08-11,84.0,Bangko,Kab. Rokan Hilir,Riau
291,2.2145280838,100.95252227799999,2018-08-11,54.0,Bangko,Kab. Rokan Hilir,Riau
292,2.23266911507,101.000495911,2018-08-11,72.0,Bangko,Kab. Rokan Hilir,Riau
293,2.22770810127,100.89806366,2018-08-11,50.0,Bangko,Kab. Rokan Hilir,Riau
294,2.2426912784599997,100.930450439,2018-08-11,67.0,Bangko,Kab. Rokan Hilir,Riau
295,2.2410356998400003,100.91918182399999,2018-08-11,78.0,Bangko,Kab. Rokan Hilir,Riau
296,2.2377164363900004,100.89659881600001,2018-08-11,69.0,Bangko,Kab. Rokan Hilir,Riau
297,2.17739582062,100.41523742700001,2018-08-11,72.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
298,2.17561507225,100.403114319,2018-08-11,79.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
299,2.2606921196000003,100.360054016,2018-08-11,78.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
300,2.2918283939400004,100.35546875,2018-08-11,76.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
301,2.31920218468,100.345069885,2018-08-11,54.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
302,2.37792563438,100.31137085,2018-08-11,50.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
303,2.40047192574,100.320533752,2018-08-11,74.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
304,2.3987185955,100.308288574,2018-08-11,58.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
305,2.44754981995,100.30807495100001,2018-08-11,80.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
325,2.35358,100.324455,2018-08-12,66.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
326,2.0074959999999997,100.784172,2018-08-12,67.0,Bangko,Kab. Rokan Hilir,Riau
327,2.0024509999999998,100.816399,2018-08-12,40.0,Bangko,Kab. Rokan Hilir,Riau
328,1.994377,100.808212,2018-08-12,30.0,Bangko,Kab. Rokan Hilir,Riau
335,1.847278,100.817673,2018-08-12,85.0,Bangko,Kab. Rokan Hilir,Riau
336,1.843804,100.793312,2018-08-12,85.0,Bangko,Kab. Rokan Hilir,Riau
337,1.99606,100.784607,2018-08-12,81.0,Bangko,Kab. Rokan Hilir,Riau
338,2.010268,100.782593,2018-08-12,58.0,Bangko,Kab. Rokan Hilir,Riau
339,2.1404349999999996,100.860344,2018-08-12,37.0,Bangko,Kab. Rokan Hilir,Riau
340,2.3530990000000003,100.324669,2018-08-12,80.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
347,1.8463021516799998,100.783905029,2018-08-12,67.0,Bangko,Kab. Rokan Hilir,Riau
348,2.00491857529,100.78958129899999,2018-08-12,20.0,Bangko,Kab. Rokan Hilir,Riau
349,2.1523706913,100.892982483,2018-08-12,34.0,Bangko,Kab. Rokan Hilir,Riau
350,2.1473648548099997,100.859695435,2018-08-12,33.0,Bangko,Kab. Rokan Hilir,Riau
351,2.14358615875,100.887580872,2018-08-12,24.0,Bangko,Kab. Rokan Hilir,Riau
357,2.4135706424700003,100.31128692600001,2018-08-13,43.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
358,2.26892232895,100.37880706799999,2018-08-13,30.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
359,2.14866518974,100.883651733,2018-08-13,80.0,Bangko,Kab. Rokan Hilir,Riau
360,2.1373085975599997,100.88208770799999,2018-08-13,74.0,Bangko,Kab. Rokan Hilir,Riau
361,2.11191296577,100.498313904,2018-08-13,70.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
362,2.00309228897,100.940406799,2018-08-13,34.0,Bangko,Kab. Rokan Hilir,Riau
363,1.99182021618,100.938819885,2018-08-13,81.0,Bangko,Kab. Rokan Hilir,Riau
364,2.03510260582,100.56065368700001,2018-08-13,70.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
365,2.03285646439,100.576179504,2018-08-13,26.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
366,2.00193786621,100.789680481,2018-08-13,81.0,Bangko,Kab. Rokan Hilir,Riau
367,1.9997757673299998,100.80460357700001,2018-08-13,63.0,Bangko,Kab. Rokan Hilir,Riau
368,2.0234708786,100.55907440200001,2018-08-13,71.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
369,1.85141932964,100.793228149,2018-08-13,56.0,Bangko,Kab. Rokan Hilir,Riau
370,1.84932565689,100.808151245,2018-08-13,65.0,Bangko,Kab. Rokan Hilir,Riau
402,1.25531828403,100.734817505,2018-08-13,63.0,Tanah Putih,Kab. Rokan Hilir,Riau
406,1.39721405506,100.81114959700001,2018-08-13,81.0,Tanah Putih,Kab. Rokan Hilir,Riau
407,1.39435493946,100.791175842,2018-08-13,61.0,Tanah Putih,Kab. Rokan Hilir,Riau
409,1.82986569405,100.817100525,2018-08-13,81.0,Bangko,Kab. Rokan Hilir,Riau
410,1.8427248001099998,100.81518554700001,2018-08-13,41.0,Bangko,Kab. Rokan Hilir,Riau
411,1.83987832069,100.795562744,2018-08-13,79.0,Bangko,Kab. Rokan Hilir,Riau
412,1.85274922848,100.79357147200001,2018-08-13,79.0,Bangko,Kab. Rokan Hilir,Riau
413,1.9918683767299998,100.938392639,2018-08-13,70.0,Bangko,Kab. Rokan Hilir,Riau
414,1.9974013567,100.80005645799999,2018-08-13,55.0,Bangko,Kab. Rokan Hilir,Riau
415,1.9945218563099998,100.780548096,2018-08-13,77.0,Bangko,Kab. Rokan Hilir,Riau
417,1.98351490498,100.431427002,2018-08-13,100.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
418,1.9804956913,100.41053772,2018-08-13,100.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
419,1.99553132057,100.44602966299999,2018-08-13,73.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
420,1.9923672676099997,100.425140381,2018-08-13,100.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
421,2.02722215652,100.567054749,2018-08-13,87.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
422,2.0241882801099997,100.546859741,2018-08-13,76.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
423,2.1409261226700003,100.89170837399999,2018-08-13,72.0,Bangko,Kab. Rokan Hilir,Riau
424,2.13816857338,100.872619629,2018-08-13,88.0,Bangko,Kab. Rokan Hilir,Riau
425,2.06571245193,100.371482849,2018-08-13,58.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
426,2.0626592636099996,100.350379944,2018-08-13,28.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
427,2.15096950531,100.863838196,2018-08-13,7.0,Bangko,Kab. Rokan Hilir,Riau
429,2.18072748184,100.97541809100001,2018-08-13,43.0,Bangko,Kab. Rokan Hilir,Riau
430,2.17791438103,100.95665741,2018-08-13,72.0,Bangko,Kab. Rokan Hilir,Riau
431,2.16370129585,100.86192321799999,2018-08-13,78.0,Bangko,Kab. Rokan Hilir,Riau
432,2.19054794312,100.954772949,2018-08-13,87.0,Bangko,Kab. Rokan Hilir,Riau
433,2.23834657669,100.92831420899999,2018-08-13,84.0,Bangko,Kab. Rokan Hilir,Riau
434,2.2356021404299997,100.909332275,2018-08-13,72.0,Bangko,Kab. Rokan Hilir,Riau
435,2.17289376259,100.407447815,2018-08-13,75.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
436,2.2588801384,100.36651611299999,2018-08-13,53.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
437,2.27211356163,100.364547729,2018-08-13,70.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
438,2.30872297287,100.337677002,2018-08-13,38.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
439,2.35716128349,100.325119019,2018-08-13,77.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
440,2.38365864754,100.321075439,2018-08-13,12.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
441,2.40655970573,100.31098175,2018-08-13,69.0,Bagan Sinembah,Kab. Rokan Hilir,Riau
