,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
258,0.405659765005,100.39378356899999,2018-08-11,50.0,Rokan Empat Koto,Kab. Rokan Hulu,Riau
271,1.31363117695,100.31770324700001,2018-08-11,31.0,Tembusan,Kab. Rokan Hulu,Riau
272,1.31175303459,100.305000305,2018-08-11,62.0,Tembusan,Kab. Rokan Hulu,Riau
334,1.0557969999999999,100.688416,2018-08-12,65.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
482,1.11943,100.296501,2018-08-14,47.0,Tembusan,Kab. Rokan Hulu,Riau
908,0.483594059944,100.62225341799999,2018-08-18,81.0,Tapungkiri,Kab. Rokan Hulu,Riau
919,1.3746412992500001,100.954589844,2018-08-18,81.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
921,1.39320313931,100.95189666700001,2018-08-18,58.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
922,1.38903355598,100.92304992700001,2018-08-18,54.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
1060,0.765347838402,100.31436920200001,2018-08-20,37.0,Rambah,Kab. Rokan Hulu,Riau
1065,1.25725567341,100.124771118,2018-08-20,57.0,Tembusan,Kab. Rokan Hulu,Riau
1066,1.38800311089,100.949920654,2018-08-20,37.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
1103,1.298298,100.45908399999999,2018-08-23,73.0,Tembusan,Kab. Rokan Hulu,Riau
1318,0.708808839321,100.53053283700001,2018-08-27,56.0,Tandun,Kab. Rokan Hulu,Riau
1339,0.724109351635,100.383705139,2018-08-27,63.0,Rambah,Kab. Rokan Hulu,Riau
2536,0.405659765005,100.39378356899999,2018-08-11,50.0,Rokan Empat Koto,Kab. Rokan Hulu,Riau
2549,1.31363117695,100.31770324700001,2018-08-11,31.0,Tembusan,Kab. Rokan Hulu,Riau
2550,1.31175303459,100.305000305,2018-08-11,62.0,Tembusan,Kab. Rokan Hulu,Riau
2611,1.0557969999999999,100.688416,2018-08-12,65.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
2757,1.11943,100.296501,2018-08-14,47.0,Tembusan,Kab. Rokan Hulu,Riau
3181,0.483594059944,100.62225341799999,2018-08-18,81.0,Tapungkiri,Kab. Rokan Hulu,Riau
3191,1.3746412992500001,100.954589844,2018-08-18,81.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
3193,1.39320313931,100.95189666700001,2018-08-18,58.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
3194,1.38903355598,100.92304992700001,2018-08-18,54.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
3331,0.765347838402,100.31436920200001,2018-08-20,37.0,Rambah,Kab. Rokan Hulu,Riau
3336,1.25725567341,100.124771118,2018-08-20,57.0,Tembusan,Kab. Rokan Hulu,Riau
3337,1.38800311089,100.949920654,2018-08-20,37.0,Kunto Darussalam,Kab. Rokan Hulu,Riau
3374,1.298298,100.45908399999999,2018-08-23,73.0,Tembusan,Kab. Rokan Hulu,Riau
3588,0.708808839321,100.53053283700001,2018-08-27,56.0,Tandun,Kab. Rokan Hulu,Riau
3609,0.724109351635,100.383705139,2018-08-27,63.0,Rambah,Kab. Rokan Hulu,Riau
4614,0.91020411,100.12082672,2019-08-08,64.0,Rambah,Kab. Rokan Hulu,Riau
4920,0.47279899999999997,100.654,2019-08-11,63.0,Tapungkiri,Kab. Rokan Hulu,Riau
