,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
233,0.880419194698,101.95892334,2018-08-04,59.0,Siak Sri Indrapura,Kab. Siak,Riau
236,0.609946429729,102.097923279,2018-08-06,28.0,Siak Sri Indrapura,Kab. Siak,Riau
242,0.986509799957,101.889099121,2018-08-11,28.0,Siak,Kab. Siak,Riau
245,0.9363774061200001,101.91844940200001,2018-08-11,41.0,Siak Sri Indrapura,Kab. Siak,Riau
246,0.883878409863,101.959686279,2018-08-11,29.0,Siak Sri Indrapura,Kab. Siak,Riau
250,0.607576191425,102.08320617700001,2018-08-11,27.0,Siak Sri Indrapura,Kab. Siak,Riau
256,0.611102700233,102.093940735,2018-08-11,34.0,Siak Sri Indrapura,Kab. Siak,Riau
257,0.6096529960629999,102.083770752,2018-08-11,44.0,Siak Sri Indrapura,Kab. Siak,Riau
260,0.87632727623,101.95463562,2018-08-11,26.0,Siak Sri Indrapura,Kab. Siak,Riau
379,0.758094072342,101.686096191,2018-08-13,61.0,Siak Sri Indrapura,Kab. Siak,Riau
389,0.848080098629,101.796669006,2018-08-13,54.0,Siak Sri Indrapura,Kab. Siak,Riau
390,0.932206630707,101.916282654,2018-08-13,66.0,Siak Sri Indrapura,Kab. Siak,Riau
391,0.929747343063,101.89967346200001,2018-08-13,67.0,Siak Sri Indrapura,Kab. Siak,Riau
480,0.8329610000000001,101.83515899999999,2018-08-14,63.0,Siak Sri Indrapura,Kab. Siak,Riau
621,0.8307314515109999,102.182762146,2018-08-15,35.0,Siak Sri Indrapura,Kab. Siak,Riau
622,1.9714338779400002,109.56909942600001,2018-08-15,69.0,Siak Sri Indrapura,Kab. Siak,Riau
786,0.934459,101.918953,2018-08-16,56.0,Siak Sri Indrapura,Kab. Siak,Riau
910,0.799244880676,102.25925445600001,2018-08-18,46.0,Sungai Apit,Kab. Siak,Riau
911,1.94581675529,109.581718445,2018-08-18,82.0,Sungai Apit,Kab. Siak,Riau
1334,0.7448154687880001,102.294555664,2018-08-27,24.0,Sungai Apit,Kab. Siak,Riau
1335,0.792913138866,102.261665344,2018-08-27,48.0,Sungai Apit,Kab. Siak,Riau
1336,0.7593060135840001,101.68810272200001,2018-08-27,37.0,Siak Sri Indrapura,Kab. Siak,Riau
1338,0.9272232651710001,101.919548035,2018-08-27,27.0,Siak Sri Indrapura,Kab. Siak,Riau
1346,0.934068,101.905037,2018-08-29,39.0,Siak Sri Indrapura,Kab. Siak,Riau
1347,0.932315,101.917046,2018-08-29,51.0,Siak Sri Indrapura,Kab. Siak,Riau
1348,0.800376,102.26089499999999,2018-08-29,25.0,Sungai Apit,Kab. Siak,Riau
1355,0.856035411358,101.600860596,2018-08-30,31.0,Siak,Kab. Siak,Riau
1374,0.666221,101.59375,2018-08-28,44.0,Siak Sri Indrapura,Kab. Siak,Riau
1381,0.920299,101.90825699999999,2018-08-19,57.0,Siak Sri Indrapura,Kab. Siak,Riau
1385,0.918544,101.910301,2018-08-25,14.0,Siak Sri Indrapura,Kab. Siak,Riau
1386,0.832082,101.801315,2018-08-25,43.0,Siak Sri Indrapura,Kab. Siak,Riau
2329,0.956685721874,101.86491394,2017-08-03,61.0,Siak,Kab. Siak,Riau
2343,1.000652,101.961502,2017-08-04,54.0,Siak,Kab. Siak,Riau
2344,0.8716729999999999,102.203377,2017-08-04,39.0,Sungai Apit,Kab. Siak,Riau
2380,1.00583899021,101.967193604,2017-08-05,20.0,Siak,Kab. Siak,Riau
2414,0.691214,101.62706800000001,2017-08-13,56.0,Siak Sri Indrapura,Kab. Siak,Riau
2415,0.667076,101.604286,2017-08-13,39.0,Siak Sri Indrapura,Kab. Siak,Riau
2420,0.8712639999999999,102.207726,2017-08-20,35.0,Sungai Apit,Kab. Siak,Riau
2470,0.8822982311249999,101.97387695299999,2017-08-29,50.0,Siak Sri Indrapura,Kab. Siak,Riau
2477,0.910709559917,101.947814941,2017-08-31,25.0,Siak Sri Indrapura,Kab. Siak,Riau
2478,0.909356713295,101.956954956,2017-08-31,46.0,Siak Sri Indrapura,Kab. Siak,Riau
2479,0.9080033898350001,101.966094971,2017-08-31,47.0,Siak Sri Indrapura,Kab. Siak,Riau
2480,0.8934298753740001,101.44151306200001,2017-08-31,33.0,Siak,Kab. Siak,Riau
2481,0.7298754453659999,102.29347229,2017-08-31,27.0,Sungai Apit,Kab. Siak,Riau
2507,0.846782624722,102.129829407,2017-08-31,53.0,Siak Sri Indrapura,Kab. Siak,Riau
2508,0.905304729939,101.957260132,2017-08-31,63.0,Siak Sri Indrapura,Kab. Siak,Riau
2511,0.880419194698,101.95892334,2018-08-04,59.0,Siak Sri Indrapura,Kab. Siak,Riau
2514,0.609946429729,102.097923279,2018-08-06,28.0,Siak Sri Indrapura,Kab. Siak,Riau
2520,0.986509799957,101.889099121,2018-08-11,28.0,Siak,Kab. Siak,Riau
2523,0.9363774061200001,101.91844940200001,2018-08-11,41.0,Siak Sri Indrapura,Kab. Siak,Riau
2524,0.883878409863,101.959686279,2018-08-11,29.0,Siak Sri Indrapura,Kab. Siak,Riau
2528,0.607576191425,102.08320617700001,2018-08-11,27.0,Siak Sri Indrapura,Kab. Siak,Riau
2534,0.611102700233,102.093940735,2018-08-11,34.0,Siak Sri Indrapura,Kab. Siak,Riau
2535,0.6096529960629999,102.083770752,2018-08-11,44.0,Siak Sri Indrapura,Kab. Siak,Riau
2538,0.87632727623,101.95463562,2018-08-11,26.0,Siak Sri Indrapura,Kab. Siak,Riau
2656,0.758094072342,101.686096191,2018-08-13,61.0,Siak Sri Indrapura,Kab. Siak,Riau
2665,0.848080098629,101.796669006,2018-08-13,54.0,Siak Sri Indrapura,Kab. Siak,Riau
2666,0.932206630707,101.916282654,2018-08-13,66.0,Siak Sri Indrapura,Kab. Siak,Riau
2667,0.929747343063,101.89967346200001,2018-08-13,67.0,Siak Sri Indrapura,Kab. Siak,Riau
2755,0.8329610000000001,101.83515899999999,2018-08-14,63.0,Siak Sri Indrapura,Kab. Siak,Riau
2896,0.8307314515109999,102.182762146,2018-08-15,35.0,Siak Sri Indrapura,Kab. Siak,Riau
3060,0.934459,101.918953,2018-08-16,56.0,Siak Sri Indrapura,Kab. Siak,Riau
3183,0.799244880676,102.25925445600001,2018-08-18,46.0,Sungai Apit,Kab. Siak,Riau
3604,0.7448154687880001,102.294555664,2018-08-27,24.0,Sungai Apit,Kab. Siak,Riau
3605,0.792913138866,102.261665344,2018-08-27,48.0,Sungai Apit,Kab. Siak,Riau
3606,0.7593060135840001,101.68810272200001,2018-08-27,37.0,Siak Sri Indrapura,Kab. Siak,Riau
