,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
83,0.9770139999999999,100.895111,2014-08-07,60.0,Tapung Hulu,Kampar,Riau
84,0.975583,100.885254,2014-08-07,52.0,Tapung Hulu,Kampar,Riau
85,1.794603,101.45599399999999,2014-08-07,61.0,Tapung Hulu,Kampar,Riau
101,0.4147050000000001,100.48344399999999,2014-08-09,47.0,Tiga Belas Koto Kampar,Kampar,Riau
102,0.426731,100.48150600000001,2014-08-09,73.0,Tiga Belas Koto Kampar,Kampar,Riau
103,0.946356,102.94066600000001,2014-08-09,66.0,Tiga Belas Koto Kampar,Kampar,Riau
128,0.666402,101.250725,2014-08-14,44.0,Tapung,Kampar,Riau
129,0.663858,101.232925,2014-08-14,55.0,Tapung,Kampar,Riau
132,0.666403,101.250732,2014-08-14,44.0,Tapung,Kampar,Riau
133,0.663859,101.232933,2014-08-14,55.0,Tapung,Kampar,Riau
144,0.043862,101.466103,2014-08-16,33.0,Kampar Kiri Hilir,Kampar,Riau
145,0.143241,101.51413000000001,2014-08-16,56.0,Kampar Kiri Hilir,Kampar,Riau
156,0.667392,101.251923,2014-08-16,36.0,Tapung,Kampar,Riau
157,0.665746,101.24045600000001,2014-08-16,48.0,Tapung,Kampar,Riau
158,0.664098,101.228973,2014-08-16,51.0,Tapung,Kampar,Riau
161,0.6628149999999999,101.239891,2014-08-18,53.0,Tapung,Kampar,Riau
210,0.144995,101.51248199999999,2014-08-14,52.0,Kampar Kiri Hilir,Kampar,Riau
211,0.143503,101.522644,2014-08-14,61.0,Kampar Kiri Hilir,Kampar,Riau
213,0.145256,101.51844799999999,2014-08-16,74.0,Kampar Kiri Hilir,Kampar,Riau
214,-2.527486,110.27453600000001,2014-08-16,56.0,Kampar Kiri Hilir,Kampar,Riau
215,-2.5245040000000003,110.269745,2014-08-16,64.0,Kampar Kiri Hilir,Kampar,Riau
216,-9.42248,120.01718899999999,2014-08-16,36.0,Kampar Kiri Hilir,Kampar,Riau
1257,0.943408,100.96799999999999,2018-08-26,39.0,Tapung Hulu,Kampar,Riau
1258,-0.0466364,101.494,2018-08-26,96.0,Kampar Kiri Hilir,Kampar,Riau
1261,0.106521,100.989014,2018-08-26,82.0,Xiii Koto Kampar,Kampar,Riau
1362,0.992965,100.887,2018-08-30,51.0,Tapung Hulu,Kampar,Riau
1394,0.359475,100.541,2016-08-02,79.0,Xiii Koto Kampar,Kampar,Riau
1399,0.052612,101.327232,2016-08-03,38.0,Gunung Sahilan,Kampar,Riau
1400,0.052326,101.327049,2016-08-03,44.0,Gunung Sahilan,Kampar,Riau
1408,-0.015438999999999996,101.182373,2016-08-05,69.0,Kampar Kiri,Kampar,Riau
1410,0.08164,100.94635799999999,2016-08-05,73.0,Xiii Koto Kampar,Kampar,Riau
1413,0.083562,100.958931,2016-08-05,57.0,Xiii Koto Kampar,Kampar,Riau
1418,-0.034970999999999995,100.817566,2016-08-06,47.0,Kampar Kiri Hulu,Kampar,Riau
1419,-0.132391,100.848946,2016-08-06,88.0,Kampar Kiri Hulu,Kampar,Riau
1420,-0.118771,100.847275,2016-08-06,77.0,Kampar Kiri Hulu,Kampar,Riau
1421,-0.126056,100.84315500000001,2016-08-06,95.0,Kampar Kiri Hulu,Kampar,Riau
1425,-0.0514197,101.512,2016-08-06,77.0,Kampar Kiri Hilir,Kampar,Riau
1432,0.33305799999999997,101.025085,2016-08-07,48.0,Bangkinang,Kampar,Riau
1435,0.041027,101.107086,2016-08-07,28.0,Kampar Kiri,Kampar,Riau
1436,0.038215,101.08709,2016-08-07,71.0,Kampar Kiri,Kampar,Riau
