,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
1253,0.9050040000000001,102.50200000000001,2018-08-26,90.0,Tebing Tinggi Barat,Kepulauan Meranti,Riau
1254,0.903917,102.509,2018-08-26,100.0,Tebing Tinggi Barat,Kepulauan Meranti,Riau
1262,0.902544,102.505882,2018-08-26,100.0,Tebing Tinggi Barat,Kepulauan Meranti,Riau
1263,0.913917,102.504189,2018-08-26,77.0,Tebing Tinggi Barat,Kepulauan Meranti,Riau
1342,0.907244,102.505,2018-08-27,90.0,Tebing Tinggi Barat,Kepulauan Meranti,Riau
1442,1.387772,102.238449,2016-08-07,49.0,Merbau,Kepulauan Meranti,Riau
1458,1.0885,102.26100000000001,2016-08-07,54.0,Merbau,Kepulauan Meranti,Riau
1529,0.9991260000000001,103.000648,2016-08-10,52.0,Rangsang,Kepulauan Meranti,Riau
1542,0.862232,102.699905,2016-08-10,25.0,Tebing Tinggi,Kepulauan Meranti,Riau
1544,1.323579,102.278313,2016-08-10,72.0,Merbau,Kepulauan Meranti,Riau
1700,1.13458,102.85700000000001,2016-08-14,70.0,Rangsang Barat,Kepulauan Meranti,Riau
1701,1.1331799999999999,102.848,2016-08-14,59.0,Rangsang Barat,Kepulauan Meranti,Riau
1726,1.136112,102.850571,2016-08-14,72.0,Rangsang Barat,Kepulauan Meranti,Riau
1749,1.13445,102.85,2016-08-14,68.0,Rangsang Barat,Kepulauan Meranti,Riau
1813,1.13598,102.853,2016-08-15,55.0,Rangsang Barat,Kepulauan Meranti,Riau
1819,1.058561,102.377037,2016-08-16,93.0,Merbau,Kepulauan Meranti,Riau
1824,1.045406,102.370819,2016-08-16,37.0,Merbau,Kepulauan Meranti,Riau
1841,1.0607799999999998,102.37,2016-08-15,71.0,Merbau,Kepulauan Meranti,Riau
1842,1.05385,102.369,2016-08-15,100.0,Merbau,Kepulauan Meranti,Riau
1856,1.0595780000000001,102.379349,2016-08-16,70.0,Merbau,Kepulauan Meranti,Riau
1857,1.0582719999999999,102.37015500000001,2016-08-16,100.0,Merbau,Kepulauan Meranti,Riau
1858,1.051748,102.324226,2016-08-16,18.0,Merbau,Kepulauan Meranti,Riau
1859,1.068674,102.37804399999999,2016-08-16,73.0,Merbau,Kepulauan Meranti,Riau
1860,1.060829,102.322914,2016-08-16,57.0,Merbau,Kepulauan Meranti,Riau
1879,1.051878,102.324265,2016-08-16,24.0,Merbau,Kepulauan Meranti,Riau
1880,1.068804,102.37808199999999,2016-08-16,80.0,Merbau,Kepulauan Meranti,Riau
1881,1.067495,102.368881,2016-08-16,56.0,Merbau,Kepulauan Meranti,Riau
1882,1.060959,102.322952,2016-08-16,66.0,Merbau,Kepulauan Meranti,Riau
1892,1.0628360000000001,102.365494,2016-08-16,37.0,Merbau,Kepulauan Meranti,Riau
1893,1.059974,102.384773,2016-08-16,2.0,Merbau,Kepulauan Meranti,Riau
1894,1.0527799999999998,102.30481,2016-08-16,97.0,Merbau,Kepulauan Meranti,Riau
1895,1.049917,102.324196,2016-08-16,27.0,Merbau,Kepulauan Meranti,Riau
1896,1.070009,102.317184,2016-08-16,53.0,Merbau,Kepulauan Meranti,Riau
1925,1.11574,102.86200000000001,2016-08-18,98.0,Rangsang Barat,Kepulauan Meranti,Riau
1926,1.11469,102.855,2016-08-18,96.0,Rangsang Barat,Kepulauan Meranti,Riau
1927,1.12239,102.861,2016-08-18,100.0,Rangsang Barat,Kepulauan Meranti,Riau
1928,1.12134,102.854,2016-08-18,96.0,Rangsang Barat,Kepulauan Meranti,Riau
1929,1.0548899999999999,102.37299999999999,2016-08-18,96.0,Merbau,Kepulauan Meranti,Riau
1930,1.05382,102.366,2016-08-18,96.0,Merbau,Kepulauan Meranti,Riau
1931,1.05301,102.316,2016-08-18,89.0,Merbau,Kepulauan Meranti,Riau
1932,1.0519399999999999,102.309,2016-08-18,98.0,Merbau,Kepulauan Meranti,Riau
1933,1.06184,102.329,2016-08-18,37.0,Merbau,Kepulauan Meranti,Riau
1934,1.06077,102.322,2016-08-18,100.0,Merbau,Kepulauan Meranti,Riau
