,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
18,1.857791,101.225967,2014-08-04,33.0,Dumai Barat,Kota Dumai,Riau
46,1.8660009999999998,101.229355,2014-08-04,37.0,Dumai Barat,Kota Dumai,Riau
47,1.857789,101.225952,2014-08-04,30.0,Dumai Barat,Kota Dumai,Riau
189,1.6734189999999998,101.47075699999999,2014-08-06,47.0,Bukit Kapur,Kota Dumai,Riau
190,-8.0,125.059875,2014-08-07,60.0,Bukit Kapur,Kota Dumai,Riau
203,1.576173,101.547607,2014-08-13,66.0,Bukit Kapur,Kota Dumai,Riau
204,1.9912889999999999,117.38753500000001,2014-08-14,60.0,Bukit Kapur,Kota Dumai,Riau
205,1.983844,117.38076000000001,2014-08-14,19.0,Bukit Kapur,Kota Dumai,Riau
206,1.040165,120.81971000000001,2014-08-14,51.0,Bukit Kapur,Kota Dumai,Riau
234,1.8540655374500001,101.232749939,2018-08-04,58.0,Dumai Barat,Kota Dumai,Riau
237,1.9821749925599998,101.20909118700001,2018-08-07,31.0,Dumai Barat,Kota Dumai,Riau
280,2.0804772377000003,101.14768981899999,2018-08-11,73.0,Dumai Barat,Kota Dumai,Riau
408,1.6516505479799999,101.36946106,2018-08-13,60.0,Dumai Timur,Kota Dumai,Riau
416,2.0829792022699998,101.20847320600001,2018-08-13,64.0,Dumai Barat,Kota Dumai,Riau
428,2.19187855721,101.049789429,2018-08-13,81.0,Dumai Barat,Kota Dumai,Riau
470,1.7096092700999999,101.269042969,2018-08-13,60.0,Dumai Barat,Kota Dumai,Riau
491,1.7325130000000002,101.242805,2018-08-14,85.0,Dumai Barat,Kota Dumai,Riau
557,2.175313,101.04245,2018-08-14,56.0,Dumai Barat,Kota Dumai,Riau
561,2.197987,101.039261,2018-08-14,31.0,Dumai Barat,Kota Dumai,Riau
587,1.7600580000000001,101.265419,2018-08-14,42.0,Dumai Barat,Kota Dumai,Riau
588,1.743538,101.262978,2018-08-14,56.0,Dumai Barat,Kota Dumai,Riau
762,2.00563,101.19278,2018-08-16,58.0,Dumai Barat,Kota Dumai,Riau
780,1.762403,101.240677,2018-08-16,52.0,Dumai Barat,Kota Dumai,Riau
783,1.753987,101.227425,2018-08-16,52.0,Dumai Barat,Kota Dumai,Riau
784,1.7521939999999998,101.239189,2018-08-16,39.0,Dumai Barat,Kota Dumai,Riau
812,1.7776018381099998,101.23951721200001,2018-08-17,42.0,Dumai Barat,Kota Dumai,Riau
813,1.77425551414,101.263397217,2018-08-17,73.0,Dumai Barat,Kota Dumai,Riau
814,1.7634874582299995,101.23747253399999,2018-08-17,83.0,Dumai Barat,Kota Dumai,Riau
815,1.7601549625400001,101.261451721,2018-08-17,76.0,Dumai Barat,Kota Dumai,Riau
816,1.74936044216,101.23551178,2018-08-17,66.0,Dumai Barat,Kota Dumai,Riau
817,1.74606108665,101.259460449,2018-08-17,33.0,Dumai Barat,Kota Dumai,Riau
833,1.9869953393900002,101.221603394,2018-08-18,100.0,Dumai Barat,Kota Dumai,Riau
834,1.98567771912,101.23050689700001,2018-08-18,100.0,Dumai Barat,Kota Dumai,Riau
835,1.98436009884,101.23941040000001,2018-08-18,85.0,Dumai Barat,Kota Dumai,Riau
836,1.97804129124,101.220329285,2018-08-18,93.0,Dumai Barat,Kota Dumai,Riau
