,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
788,0.5330630000000001,101.457619,2018-08-16,22.0,Lima Puluh,Kota Pekanbaru,Riau
2425,0.529483,101.460403,2017-08-20,28.0,Lima Puluh,Kota Pekanbaru,Riau
2426,0.48981,101.35194399999999,2017-08-20,52.0,Tampan,Kota Pekanbaru,Riau
3062,0.5330630000000001,101.457619,2018-08-16,22.0,Lima Puluh,Kota Pekanbaru,Riau
5925,0.529412329197,101.54167938200001,2019-08-19,85.0,Bukit Raya,Kota Pekanbaru,Riau
6483,0.663746356964,101.417808533,2019-08-23,35.0,Rumbai,Kota Pekanbaru,Riau
9077,0.47745299999999996,101.354881,2018-04-04,65.0,Tampan,Kota Pekanbaru,Riau
9098,0.431394815445,101.440368652,2019-04-05,55.0,Bukit Raya,Kota Pekanbaru,Riau
10039,0.554743,101.407562,2014-02-05,72.0,Rumbai,Kota Pekanbaru,Riau
10040,1.7171580000000002,109.344742,2014-02-05,72.0,Rumbai,Kota Pekanbaru,Riau
10041,0.8001229999999999,102.91950200000001,2014-02-05,22.0,Rumbai,Kota Pekanbaru,Riau
10042,1.712088,109.33991999999999,2014-02-05,69.0,Rumbai,Kota Pekanbaru,Riau
10043,1.723732,109.338219,2014-02-05,46.0,Rumbai,Kota Pekanbaru,Riau
10044,0.7599020000000001,102.46629300000001,2014-02-05,43.0,Rumbai,Kota Pekanbaru,Riau
10045,0.9307469999999999,103.453888,2014-02-05,61.0,Rumbai,Kota Pekanbaru,Riau
10046,0.883101,103.12233,2014-02-05,64.0,Rumbai,Kota Pekanbaru,Riau
10047,0.996806,103.850166,2014-02-05,64.0,Rumbai,Kota Pekanbaru,Riau
10048,0.8448899999999999,102.790993,2014-02-05,94.0,Rumbai,Kota Pekanbaru,Riau
10049,0.900057,103.110374,2014-02-05,66.0,Rumbai,Kota Pekanbaru,Riau
10050,0.8541489999999999,102.78965,2014-02-05,100.0,Rumbai,Kota Pekanbaru,Riau
10051,0.85278,102.78009,2014-02-05,94.0,Rumbai,Kota Pekanbaru,Riau
10052,0.85141,102.77050799999999,2014-02-05,94.0,Rumbai,Kota Pekanbaru,Riau
10053,0.850038,102.760925,2014-02-05,94.0,Rumbai,Kota Pekanbaru,Riau
10054,1.119473,104.578537,2014-02-05,24.0,Rumbai,Kota Pekanbaru,Riau
10055,0.866134,102.807404,2014-02-05,94.0,Rumbai,Kota Pekanbaru,Riau
10056,0.864771,102.797859,2014-02-05,94.0,Rumbai,Kota Pekanbaru,Riau
10057,0.8634069999999999,102.7883,2014-02-05,100.0,Rumbai,Kota Pekanbaru,Riau
10058,0.862042,102.77874,2014-02-05,69.0,Rumbai,Kota Pekanbaru,Riau
10059,0.859308,102.75959,2014-02-05,100.0,Rumbai,Kota Pekanbaru,Riau
10060,0.8579399999999999,102.75,2014-02-05,66.0,Rumbai,Kota Pekanbaru,Riau
10061,0.9117040000000001,103.061081,2014-02-05,50.0,Rumbai,Kota Pekanbaru,Riau
10062,0.875384,102.806061,2014-02-05,100.0,Rumbai,Kota Pekanbaru,Riau
10063,0.874025,102.796509,2014-02-05,98.0,Rumbai,Kota Pekanbaru,Riau
10064,0.872664,102.78694899999999,2014-02-05,82.0,Rumbai,Kota Pekanbaru,Riau
10065,1.104567,104.337967,2014-02-05,75.0,Rumbai,Kota Pekanbaru,Riau
10066,0.92312,103.08152,2014-02-05,46.0,Rumbai,Kota Pekanbaru,Riau
10067,0.822155,102.39007600000001,2014-02-05,36.0,Rumbai,Kota Pekanbaru,Riau
13986,0.47745299999999996,101.354881,2018-02-15,65.0,Tampan,Kota Pekanbaru,Riau
17371,0.5356449999999999,101.37674,2014-07-26,91.0,Tampan,Kota Pekanbaru,Riau
17653,0.631711,101.49625400000001,2015-07-09,83.0,Bukit Raya,Kota Pekanbaru,Riau
17654,0.64156,101.507423,2015-07-09,58.0,Bukit Raya,Kota Pekanbaru,Riau
17655,0.6402,101.498039,2015-07-09,89.0,Bukit Raya,Kota Pekanbaru,Riau
17960,0.524817,101.37595400000001,2015-07-11,70.0,Tampan,Kota Pekanbaru,Riau
17961,0.5232859999999999,101.38632199999999,2015-07-11,59.0,Tampan,Kota Pekanbaru,Riau
18571,0.603086,101.333,2015-07-03,28.0,Rumbai,Kota Pekanbaru,Riau
18572,1.048,102.29,2015-07-03,26.0,Rumbai,Kota Pekanbaru,Riau
18618,0.581481,101.50200000000001,2015-07-05,67.0,Bukit Raya,Kota Pekanbaru,Riau
18723,0.642234,101.506,2015-07-09,85.0,Bukit Raya,Kota Pekanbaru,Riau
18724,0.641147,101.499,2015-07-09,100.0,Bukit Raya,Kota Pekanbaru,Riau
18725,1.32463,102.288,2015-07-09,78.0,Bukit Raya,Kota Pekanbaru,Riau
18774,0.594757,101.324,2015-07-10,100.0,Rumbai,Kota Pekanbaru,Riau
19388,0.558983,101.413,2015-07-26,11.0,Rumbai,Kota Pekanbaru,Riau
19881,0.5237310000000001,101.377861,2015-07-30,51.0,Tampan,Kota Pekanbaru,Riau
21306,0.569032728672,101.362960815,2019-07-13,72.0,Rumbai,Kota Pekanbaru,Riau
21307,0.569032728672,101.362960815,2019-07-13,72.0,Rumbai,Kota Pekanbaru,Riau
23896,0.546312,101.375,2015-06-29,60.0,Tampan,Kota Pekanbaru,Riau
24605,0.47745299999999996,101.354881,2018-06-15,65.0,Tampan,Kota Pekanbaru,Riau
24606,0.47745299999999996,101.354881,2018-06-30,65.0,Tampan,Kota Pekanbaru,Riau
30374,0.49932200000000004,101.42200000000001,2015-03-15,80.0,Sukajadi,Kota Pekanbaru,Riau
31196,0.561426,101.438675,2017-03-15,24.0,Rumbai,Kota Pekanbaru,Riau
32338,0.572585403919,101.46885681200001,2019-03-19,79.0,Rumbai,Kota Pekanbaru,Riau
33835,0.49436280131300003,101.44720459,2018-05-14,41.0,Sukajadi,Kota Pekanbaru,Riau
33864,0.48056099999999996,101.35788000000001,2018-05-16,17.0,Tampan,Kota Pekanbaru,Riau
33971,0.56436533,101.35855865,2019-05-05,87.0,Rumbai,Kota Pekanbaru,Riau
34002,0.56823313,101.35746002,2019-05-09,57.0,Rumbai,Kota Pekanbaru,Riau
