,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
125,-0.570337,101.42214200000001,2014-08-12,87.0,Kuatan Mudik,Kuantan Singingi,Riau
1134,-0.161856,101.537575,2018-08-21,78.0,Logas Tanah Darat,Kuantan Singingi,Riau
1401,-0.513267,101.24252299999999,2016-08-03,64.0,Singingi,Kuantan Singingi,Riau
1407,-0.21954899999999997,101.187546,2016-08-05,67.0,Singingi Hilir,Kuantan Singingi,Riau
1411,-0.21944699999999998,101.18768299999999,2016-08-05,64.0,Singingi Hilir,Kuantan Singingi,Riau
1448,-0.780615,101.478,2016-08-07,65.0,Kuantan Mudik,Kuantan Singingi,Riau
1631,-0.20804499999999998,101.197,2016-08-13,49.0,Singingi Hilir,Kuantan Singingi,Riau
1865,-0.8281649999999999,101.656242,2016-08-16,94.0,Kuantan Mudik,Kuantan Singingi,Riau
2043,-0.9292969999999999,101.89200000000001,2016-08-23,81.0,Kuantan Mudik,Kuantan Singingi,Riau
3405,-0.161856,101.537575,2018-08-21,78.0,Logas Tanah Darat,Kuantan Singingi,Riau
7200,-0.49965,101.86808,2014-04-12,49.0,Cerenti,Kuantan Singingi,Riau
7205,-0.721562,101.748726,2014-04-15,58.0,Kuatan Mudik,Kuantan Singingi,Riau
7206,-0.325846,103.151749,2014-04-15,57.0,Kuatan Mudik,Kuantan Singingi,Riau
7230,-0.59295,101.47374,2014-04-22,64.0,Kuatan Mudik,Kuantan Singingi,Riau
7301,-0.7276560000000001,101.751999,2014-04-15,57.0,Kuatan Mudik,Kuantan Singingi,Riau
7317,-0.212369,101.264679,2014-04-17,40.0,Singingi,Kuantan Singingi,Riau
7362,-0.138744,101.204338,2014-04-26,58.0,Singingi,Kuantan Singingi,Riau
7407,-0.608486,101.746696,2015-04-06,33.0,Kuatan Hilir,Kuantan Singingi,Riau
7509,-0.9418569999999999,101.71157099999999,2015-04-18,49.0,Kuatan Mudik,Kuantan Singingi,Riau
8622,-0.775567,101.799934,2016-04-29,47.0,Kuatan Mudik,Kuantan Singingi,Riau
8633,-0.9221030000000001,101.70475,2016-04-29,64.0,Kuatan Mudik,Kuantan Singingi,Riau
8646,-0.861081,101.709,2016-04-28,43.0,Kuatan Mudik,Kuantan Singingi,Riau
8647,-0.8473139999999999,101.70700000000001,2016-04-28,39.0,Kuatan Mudik,Kuantan Singingi,Riau
9306,-0.666999,101.790756,2014-12-06,75.0,Kuatan Hilir,Kuantan Singingi,Riau
9310,-0.15926700000000002,101.555511,2014-12-06,81.0,Kuatan Hilir,Kuantan Singingi,Riau
9316,-0.80382,101.587227,2014-12-08,65.0,Kuatan Mudik,Kuantan Singingi,Riau
9374,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9380,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9386,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9392,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9398,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9404,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9410,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9416,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9422,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9428,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9435,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9442,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9448,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9455,-0.946363,101.723,2015-12-22,67.0,Kuatan Mudik,Kuantan Singingi,Riau
9926,-0.27087100000000003,101.625328,2014-02-03,40.0,Kuatan Hilir,Kuantan Singingi,Riau
10127,-0.8966059999999999,101.723114,2014-02-12,49.0,Kuatan Mudik,Kuantan Singingi,Riau
10128,-0.897955,101.713707,2014-02-12,54.0,Kuatan Mudik,Kuantan Singingi,Riau
13331,-0.292173,101.661,2017-02-10,78.0,Logas Tanah Darat,Kuantan Singingi,Riau
14908,-0.752163,101.817139,2015-01-05,96.0,Kuatan Mudik,Kuantan Singingi,Riau
14909,-0.322432,103.15136,2015-01-05,62.0,Kuatan Mudik,Kuantan Singingi,Riau
14910,-0.457564,101.623253,2015-01-05,69.0,Kuatan Tengah,Kuantan Singingi,Riau
14911,-0.458838,101.614357,2015-01-05,65.0,Kuatan Tengah,Kuantan Singingi,Riau
14913,-0.194025,101.539955,2015-01-05,35.0,Kuatan Hilir,Kuantan Singingi,Riau
14915,-0.154406,101.561485,2015-01-05,71.0,Kuatan Hilir,Kuantan Singingi,Riau
14918,-0.5199090000000001,101.75643199999999,2015-01-07,55.0,Kuatan Hilir,Kuantan Singingi,Riau
14919,-0.521513,101.7453,2015-01-07,70.0,Kuatan Hilir,Kuantan Singingi,Riau
14921,-0.329831,101.728622,2015-01-07,39.0,Kuatan Hilir,Kuantan Singingi,Riau
14927,-0.5199090000000001,101.75643199999999,2015-01-07,55.0,Kuatan Hilir,Kuantan Singingi,Riau
14928,-0.521513,101.7453,2015-01-07,70.0,Kuatan Hilir,Kuantan Singingi,Riau
14930,-0.329831,101.728622,2015-01-07,39.0,Kuatan Hilir,Kuantan Singingi,Riau
14934,-0.888999,101.718163,2015-01-12,76.0,Kuatan Mudik,Kuantan Singingi,Riau
14936,-0.6381319999999999,101.810501,2015-01-12,67.0,Kuatan Hilir,Kuantan Singingi,Riau
14958,-0.381282,101.390297,2015-01-16,63.0,Singingi,Kuantan Singingi,Riau
14959,-0.38362399999999997,101.385551,2015-01-16,44.0,Singingi,Kuantan Singingi,Riau
15023,-0.73297,101.74,2015-01-05,88.0,Kuatan Mudik,Kuantan Singingi,Riau
15417,-0.874706,101.713,2017-01-13,70.0,Kuantan Mudik,Kuantan Singingi,Riau
15421,-0.57912,101.291,2017-01-16,62.0,Hulu Kuantan,Kuantan Singingi,Riau
15508,-0.560276,101.44,2018-01-17,46.0,Gunung Toar,Kuantan Singingi,Riau
15882,-0.6130369999999999,101.67819200000001,2014-07-01,59.0,Kuatan Tengah,Kuantan Singingi,Riau
15883,0.504616,108.980507,2014-07-01,85.0,Kuatan Tengah,Kuantan Singingi,Riau
15884,0.503292,108.97113,2014-07-01,80.0,Kuatan Tengah,Kuantan Singingi,Riau
15929,-0.175946,101.54744699999999,2014-07-06,70.0,Kuatan Hilir,Kuantan Singingi,Riau
16002,-0.159598,101.56028,2014-07-15,53.0,Kuatan Hilir,Kuantan Singingi,Riau
16166,-0.8874780000000001,101.716858,2014-07-20,73.0,Kuatan Mudik,Kuantan Singingi,Riau
16175,-0.151903,101.52621500000001,2014-07-20,77.0,Kuatan Hilir,Kuantan Singingi,Riau
16176,-0.361645,100.053787,2014-07-20,29.0,Kuatan Hilir,Kuantan Singingi,Riau
16403,-0.84388,101.683098,2014-07-22,84.0,Kuatan Mudik,Kuantan Singingi,Riau
16404,-0.8119810000000001,101.84225500000001,2014-07-22,79.0,Kuatan Mudik,Kuantan Singingi,Riau
16405,-0.813311,101.83284,2014-07-22,100.0,Kuatan Mudik,Kuantan Singingi,Riau
16407,-0.642543,101.805748,2014-07-22,33.0,Kuatan Hilir,Kuantan Singingi,Riau
16450,-0.820363,101.656357,2014-07-24,87.0,Kuatan Mudik,Kuantan Singingi,Riau
16451,-0.822456,101.64190699999999,2014-07-24,67.0,Kuatan Mudik,Kuantan Singingi,Riau
16452,-0.738136,101.833519,2014-07-24,74.0,Kuatan Mudik,Kuantan Singingi,Riau
16453,-0.738216,101.828117,2014-07-24,61.0,Kuatan Mudik,Kuantan Singingi,Riau
16520,-0.837241,101.855522,2014-07-26,23.0,Kuatan Mudik,Kuantan Singingi,Riau
