,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
98,-0.184813,101.73268900000001,2014-08-09,49.0,Pangkalan Kuras,Pelalawan,Riau
99,-0.157212,99.798149,2014-08-09,65.0,Pangkalan Kuras,Pelalawan,Riau
100,0.6335970000000001,102.832382,2014-08-09,64.0,Pangkalan Kuras,Pelalawan,Riau
114,0.0,101.71145600000001,2014-08-10,32.0,Langgam,Pelalawan,Riau
126,0.242448,102.308052,2014-08-12,53.0,Kuala Kampar,Pelalawan,Riau
127,-3.12564,114.074821,2014-08-12,88.0,Kuala Kampar,Pelalawan,Riau
142,-0.27423000000000003,101.741371,2014-08-16,49.0,Pangkalan Kuras,Pelalawan,Riau
143,-0.166877,101.775139,2014-08-16,76.0,Pangkalan Kuras,Pelalawan,Riau
146,0.299511,102.468727,2014-08-16,51.0,Kuala Kampar,Pelalawan,Riau
147,0.298093,102.458771,2014-08-16,70.0,Kuala Kampar,Pelalawan,Riau
148,0.209986,101.839958,2014-08-16,18.0,Langgam,Pelalawan,Riau
149,0.31863,102.368668,2014-08-16,36.0,Kuala Kampar,Pelalawan,Riau
150,0.581067,102.973145,2014-08-16,27.0,Kuala Kampar,Pelalawan,Riau
151,0.654383,102.839905,2014-08-16,68.0,Kuala Kampar,Pelalawan,Riau
152,0.652997,102.830368,2014-08-16,71.0,Kuala Kampar,Pelalawan,Riau
153,0.651609,102.820824,2014-08-16,69.0,Kuala Kampar,Pelalawan,Riau
154,0.7229140000000001,102.791039,2014-08-16,16.0,Kuala Kampar,Pelalawan,Riau
155,0.743495,102.293198,2014-08-16,45.0,Kuala Kampar,Pelalawan,Riau
173,-0.155063,101.627319,2014-08-30,40.0,Langgam,Pelalawan,Riau
174,-0.158323,99.801598,2014-08-30,41.0,Langgam,Pelalawan,Riau
193,-0.107303,101.709816,2014-08-09,86.0,Pangkalan Kuras,Pelalawan,Riau
194,-0.20199999999999999,101.792526,2014-08-09,94.0,Pangkalan Kuras,Pelalawan,Riau
200,-0.11921,101.708862,2014-08-09,100.0,Pangkalan Kuras,Pelalawan,Riau
201,-0.12084,101.69735,2014-08-09,24.0,Langgam,Pelalawan,Riau
202,0.0,101.63871800000001,2014-08-11,55.0,Langgam,Pelalawan,Riau
218,-0.24739099999999997,101.730103,2014-08-18,43.0,Pangkalan Kuras,Pelalawan,Riau
219,-0.074414,101.653679,2014-08-18,74.0,Langgam,Pelalawan,Riau
220,0.0,117.502174,2014-08-19,39.0,Langgam,Pelalawan,Riau
229,0.205073,101.843414,2014-08-30,44.0,Langgam,Pelalawan,Riau
446,-0.23540999999999998,101.853,2018-08-13,72.0,Ukui,Pelalawan,Riau
447,-6.9966750145,105.686172485,2018-08-13,60.0,Ukui,Pelalawan,Riau
637,0.24684099999999998,102.925,2018-08-15,100.0,Teluk Meranti,Pelalawan,Riau
638,0.24494499999999997,102.913,2018-08-15,79.0,Teluk Meranti,Pelalawan,Riau
639,0.25710500000000003,102.92299999999999,2018-08-15,95.0,Teluk Meranti,Pelalawan,Riau
753,0.25238,102.92299999999999,2018-08-15,50.0,Teluk Meranti,Pelalawan,Riau
754,0.245569,102.92200000000001,2018-08-15,92.0,Teluk Meranti,Pelalawan,Riau
755,0.239912,102.913,2018-08-15,100.0,Teluk Meranti,Pelalawan,Riau
756,0.23875500000000002,102.921,2018-08-15,36.0,Teluk Meranti,Pelalawan,Riau
757,-0.007316,102.426,2018-08-15,46.0,Kerumutan,Pelalawan,Riau
792,-0.266108,101.92299999999999,2018-08-16,73.0,Ukui,Pelalawan,Riau
801,0.242423,102.915,2018-08-16,100.0,Teluk Meranti,Pelalawan,Riau
802,0.241139,102.92299999999999,2018-08-16,69.0,Teluk Meranti,Pelalawan,Riau
803,0.23779899999999998,102.897,2018-08-16,100.0,Teluk Meranti,Pelalawan,Riau
804,0.236508,102.905,2018-08-16,95.0,Teluk Meranti,Pelalawan,Riau
805,0.235227,102.914,2018-08-16,100.0,Teluk Meranti,Pelalawan,Riau
806,0.2305780000000001,102.896,2018-08-16,94.0,Teluk Meranti,Pelalawan,Riau
807,0.229294,102.904,2018-08-16,100.0,Teluk Meranti,Pelalawan,Riau
808,0.228017,102.912,2018-08-16,74.0,Teluk Meranti,Pelalawan,Riau
964,0.499741,102.23700000000001,2018-08-18,69.0,Pelalawan,Pelalawan,Riau
1002,0.24205100000000002,102.917,2018-08-18,56.0,Teluk Meranti,Pelalawan,Riau
1085,0.21729,102.898,2018-08-21,42.0,Teluk Meranti,Pelalawan,Riau
1086,0.21572,102.88799999999999,2018-08-21,93.0,Teluk Meranti,Pelalawan,Riau
1087,0.22837800000000005,102.88600000000001,2018-08-21,56.0,Teluk Meranti,Pelalawan,Riau
1135,0.21562199999999998,102.887833,2018-08-21,80.0,Teluk Meranti,Pelalawan,Riau
1202,-0.10873,101.681,2018-08-26,53.0,Pangkalan Kuras,Pelalawan,Riau
1259,-0.105301,101.65899999999999,2018-08-26,19.0,Langgam,Pelalawan,Riau
1260,-0.097997,101.662621,2018-08-26,52.0,Langgam,Pelalawan,Riau
1360,0.310956,102.999,2018-08-30,49.0,Teluk Meranti,Pelalawan,Riau
1389,0.5773739999999999,102.889732,2016-08-02,25.0,Teluk Meranti,Pelalawan,Riau
1392,0.254069,102.63101999999999,2016-08-02,39.0,Teluk Meranti,Pelalawan,Riau
1393,0.258429,102.62619000000001,2016-08-02,38.0,Teluk Meranti,Pelalawan,Riau
1403,0.0,102.0,2016-08-05,43.0,Pangkalan Kuras,Pelalawan,Riau
1404,0.159615,102.396027,2016-08-05,48.0,Kerumutan,Pelalawan,Riau
1405,0.160928,102.38713800000001,2016-08-05,36.0,Kerumutan,Pelalawan,Riau
1406,0.159615,102.396027,2016-08-05,44.0,Kerumutan,Pelalawan,Riau
1409,0.26057600000000003,102.944191,2016-08-05,34.0,Teluk Meranti,Pelalawan,Riau
1412,0.26061599999999996,102.944221,2016-08-05,34.0,Teluk Meranti,Pelalawan,Riau
1438,0.4719390000000001,103.028275,2016-08-07,37.0,Teluk Meranti,Pelalawan,Riau
1449,-0.218271,101.709,2016-08-07,98.0,Pangkalan Kuras,Pelalawan,Riau
1450,-0.18449100000000002,101.887,2016-08-07,64.0,Ukui,Pelalawan,Riau
1451,-0.185534,101.88,2016-08-07,59.0,Ukui,Pelalawan,Riau
1452,-0.19170399999999999,101.705,2016-08-07,96.0,Pangkalan Kuras,Pelalawan,Riau
1453,-0.184828,101.71,2016-08-07,50.0,Pangkalan Kuras,Pelalawan,Riau
1454,-0.185875,101.70299999999999,2016-08-07,84.0,Pangkalan Kuras,Pelalawan,Riau
1455,-0.12856700000000001,101.723,2016-08-07,85.0,Pangkalan Kuras,Pelalawan,Riau
1456,-0.12961199999999998,101.71600000000001,2016-08-07,83.0,Pangkalan Kuras,Pelalawan,Riau
1477,-0.131443,101.726311,2016-08-07,100.0,Pangkalan Kuras,Pelalawan,Riau
1482,-0.198441,101.86399999999999,2016-08-08,46.0,Ukui,Pelalawan,Riau
1483,-0.135411,101.73299999999999,2016-08-08,92.0,Pangkalan Kuras,Pelalawan,Riau
1485,0.306288,103.009,2016-08-08,78.0,Teluk Meranti,Pelalawan,Riau
1585,0.413526,102.99382800000001,2016-08-12,30.0,Teluk Meranti,Pelalawan,Riau
1586,0.507188,103.000877,2016-08-12,34.0,Teluk Meranti,Pelalawan,Riau
1716,0.0,102.0,2016-08-14,96.0,Pangkalan Kuras,Pelalawan,Riau
1793,0.0,102.0,2016-08-15,34.0,Pangkalan Kuras,Pelalawan,Riau
1820,0.160272,102.388123,2016-08-16,44.0,Kerumutan,Pelalawan,Riau
