,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
17,1.5764719999999999,101.12309300000001,2014-08-04,18.0,Tanah Putih,Rokan Hilir,Riau
19,1.8865599999999998,100.984177,2014-08-04,44.0,Bangko,Rokan Hilir,Riau
20,1.8934240000000002,100.807091,2014-08-04,45.0,Bangko,Rokan Hilir,Riau
21,1.8881830000000002,100.77201099999999,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
22,1.8993380000000002,100.798462,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
23,1.986186,100.926422,2014-08-04,20.0,Bangko,Rokan Hilir,Riau
24,1.927648,100.423897,2014-08-04,49.0,Bagan Sinembah,Rokan Hilir,Riau
25,1.9304700000000001,100.419609,2014-08-04,52.0,Bagan Sinembah,Rokan Hilir,Riau
26,2.120646,100.383255,2014-08-04,32.0,Bagan Sinembah,Rokan Hilir,Riau
27,2.115021,100.345543,2014-08-04,53.0,Bagan Sinembah,Rokan Hilir,Riau
28,2.123473,100.37874599999999,2014-08-04,72.0,Bagan Sinembah,Rokan Hilir,Riau
29,2.117588,100.341011,2014-08-04,65.0,Bagan Sinembah,Rokan Hilir,Riau
45,1.576495,101.123192,2014-08-04,18.0,Tanah Putih,Rokan Hilir,Riau
48,1.8865580000000002,100.984161,2014-08-04,44.0,Bangko,Rokan Hilir,Riau
49,1.8934220000000002,100.807076,2014-08-04,45.0,Bangko,Rokan Hilir,Riau
50,1.888181,100.772003,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
51,1.899341,100.798485,2014-08-04,65.0,Bangko,Rokan Hilir,Riau
52,1.986189,100.92643699999999,2014-08-04,20.0,Bangko,Rokan Hilir,Riau
53,1.9276509999999998,100.42392,2014-08-04,49.0,Bagan Sinembah,Rokan Hilir,Riau
54,1.930495,100.419739,2014-08-04,52.0,Bagan Sinembah,Rokan Hilir,Riau
55,2.120647,100.38327,2014-08-04,32.0,Bagan Sinembah,Rokan Hilir,Riau
56,2.115023,100.345551,2014-08-04,53.0,Bagan Sinembah,Rokan Hilir,Riau
57,2.12347,100.378731,2014-08-04,72.0,Bagan Sinembah,Rokan Hilir,Riau
58,2.117585,100.34099599999999,2014-08-04,65.0,Bagan Sinembah,Rokan Hilir,Riau
59,2.40108,100.324028,2014-08-04,71.0,Bagan Sinembah,Rokan Hilir,Riau
60,2.387695,100.318497,2014-08-04,77.0,Bagan Sinembah,Rokan Hilir,Riau
61,2.404651,100.31588,2014-08-04,41.0,Bagan Sinembah,Rokan Hilir,Riau
62,1.879774,100.77624499999999,2014-08-05,81.0,Bangko,Rokan Hilir,Riau
63,1.878455,100.76696,2014-08-05,56.0,Bangko,Rokan Hilir,Riau
64,2.036325,100.779686,2014-08-05,88.0,Bangko,Rokan Hilir,Riau
65,2.0140860000000003,100.556503,2014-08-05,89.0,Bagan Sinembah,Rokan Hilir,Riau
66,2.028216,100.331085,2014-08-05,74.0,Bagan Sinembah,Rokan Hilir,Riau
67,2.037248,100.329796,2014-08-05,57.0,Bagan Sinembah,Rokan Hilir,Riau
68,2.115654,100.368317,2014-08-05,75.0,Bagan Sinembah,Rokan Hilir,Riau
69,2.114357,100.359222,2014-08-05,100.0,Bagan Sinembah,Rokan Hilir,Riau
70,2.1130619999999998,100.35013599999999,2014-08-05,91.0,Bagan Sinembah,Rokan Hilir,Riau
71,2.1234,100.357933,2014-08-05,96.0,Bagan Sinembah,Rokan Hilir,Riau
72,2.122103,100.348854,2014-08-05,98.0,Bagan Sinembah,Rokan Hilir,Riau
73,2.036326,100.77969399999999,2014-08-05,88.0,Bangko,Rokan Hilir,Riau
74,2.014087,100.556511,2014-08-05,89.0,Bagan Sinembah,Rokan Hilir,Riau
75,2.0282169999999997,100.33109300000001,2014-08-05,74.0,Bagan Sinembah,Rokan Hilir,Riau
76,2.037248,100.329796,2014-08-05,57.0,Bagan Sinembah,Rokan Hilir,Riau
77,2.115654,100.368317,2014-08-05,75.0,Bagan Sinembah,Rokan Hilir,Riau
78,2.114357,100.359222,2014-08-05,100.0,Bagan Sinembah,Rokan Hilir,Riau
79,2.1130619999999998,100.35013599999999,2014-08-05,91.0,Bagan Sinembah,Rokan Hilir,Riau
80,2.123399,100.357933,2014-08-05,96.0,Bagan Sinembah,Rokan Hilir,Riau
81,2.122103,100.348854,2014-08-05,98.0,Bagan Sinembah,Rokan Hilir,Riau
86,2.132926,100.35368299999999,2014-08-07,27.0,Bagan Sinembah,Rokan Hilir,Riau
104,2.0,100.338737,2014-08-09,39.0,Bagan Sinembah,Rokan Hilir,Riau
131,1.8952799999999999,100.833855,2014-08-14,47.0,Bangko,Rokan Hilir,Riau
135,1.8952810000000002,100.833855,2014-08-14,47.0,Bangko,Rokan Hilir,Riau
180,2.431086,100.310539,2014-08-05,65.0,Bagan Sinembah,Rokan Hilir,Riau
181,2.4012580000000003,100.316414,2014-08-05,51.0,Bagan Sinembah,Rokan Hilir,Riau
182,2.395657,100.31933599999999,2014-08-05,45.0,Bagan Sinembah,Rokan Hilir,Riau
183,2.118426,100.359161,2014-08-05,97.0,Bagan Sinembah,Rokan Hilir,Riau
184,2.040046,100.331696,2014-08-05,30.0,Bagan Sinembah,Rokan Hilir,Riau
185,1.9436490000000002,100.42517099999999,2014-08-05,91.0,Bagan Sinembah,Rokan Hilir,Riau
186,1.9341009999999998,100.423805,2014-08-05,89.0,Bagan Sinembah,Rokan Hilir,Riau
191,2.431331,100.315384,2014-08-07,66.0,Bagan Sinembah,Rokan Hilir,Riau
192,0.8504299999999999,102.713539,2014-08-07,38.0,Bagan Sinembah,Rokan Hilir,Riau
212,1.587199,101.233795,2014-08-16,49.0,Tanah Putih,Rokan Hilir,Riau
225,2.010775,100.52196500000001,2014-08-30,70.0,Bagan Sinembah,Rokan Hilir,Riau
226,1.474115,101.909172,2014-08-30,57.0,Bagan Sinembah,Rokan Hilir,Riau
306,1.8475099999999998,100.806,2018-08-11,86.0,Bangko Pusako,Rokan Hilir,Riau
307,1.45878,101.15100000000001,2018-08-11,52.0,Tanah Putih,Rokan Hilir,Riau
308,1.4047399999999999,100.811,2018-08-11,59.0,Tanah Putih,Rokan Hilir,Riau
640,1.9867400000000002,100.441,2018-08-15,51.0,Kubu,Rokan Hilir,Riau
641,2.0136,100.53200000000001,2018-08-15,80.0,Kubu,Rokan Hilir,Riau
642,2.01225,100.524,2018-08-15,99.0,Kubu,Rokan Hilir,Riau
643,2.0108900000000003,100.515,2018-08-15,100.0,Kubu,Rokan Hilir,Riau
