,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
7,0.562346,100.405579,2014-08-04,69.0,Rokan Empat Koto,Rokan Hulu,Riau
8,0.5568069999999999,100.367622,2014-08-04,92.0,Rokan Empat Koto,Rokan Hulu,Riau
9,0.546775,100.40168,2014-08-04,50.0,Rokan Empat Koto,Rokan Hulu,Riau
10,0.540981,100.36404399999999,2014-08-04,65.0,Rokan Empat Koto,Rokan Hulu,Riau
11,0.564016,100.398285,2014-08-04,77.0,Rokan Empat Koto,Rokan Hulu,Riau
12,0.558335,100.36106099999999,2014-08-04,82.0,Rokan Empat Koto,Rokan Hulu,Riau
34,0.562344,100.405563,2014-08-04,69.0,Rokan Empat Koto,Rokan Hulu,Riau
35,0.556804,100.367599,2014-08-04,92.0,Rokan Empat Koto,Rokan Hulu,Riau
36,0.546773,100.40166500000001,2014-08-04,50.0,Rokan Empat Koto,Rokan Hulu,Riau
37,0.540979,100.364029,2014-08-04,65.0,Rokan Empat Koto,Rokan Hulu,Riau
38,0.564013,100.39827,2014-08-04,77.0,Rokan Empat Koto,Rokan Hulu,Riau
39,0.558333,100.361046,2014-08-04,82.0,Rokan Empat Koto,Rokan Hulu,Riau
167,0.43166899999999997,100.333939,2014-08-23,24.0,Rokan Empat Koto,Rokan Hulu,Riau
168,0.492613,100.401917,2014-08-25,13.0,Rokan Empat Koto,Rokan Hulu,Riau
175,0.49946499999999994,100.407219,2014-08-30,75.0,Rokan Empat Koto,Rokan Hulu,Riau
176,0.498162,100.398117,2014-08-30,68.0,Rokan Empat Koto,Rokan Hulu,Riau
177,0.916486,100.110313,2014-08-30,53.0,Tembusan,Rokan Hulu,Riau
178,1.2968540000000002,101.929001,2014-08-30,43.0,Tembusan,Rokan Hulu,Riau
187,0.586361,100.263092,2014-08-05,100.0,Rokan Empat Koto,Rokan Hulu,Riau
188,0.584813,100.273453,2014-08-05,91.0,Rokan Empat Koto,Rokan Hulu,Riau
228,1.028737,100.865669,2014-08-30,49.0,Kunto Darussalam,Rokan Hulu,Riau
752,0.678846,100.26,2018-08-15,92.0,Rokan Iv Koto,Rokan Hulu,Riau
1133,1.094092,100.856133,2018-08-23,15.0,Bonai Darussalam,Rokan Hulu,Riau
1201,1.244874,100.741364,2018-08-26,67.0,Kepenuhan,Rokan Hulu,Riau
1365,1.05675,100.79799999999999,2018-08-30,40.0,Bonai Darussalam,Rokan Hulu,Riau
1398,1.011765,100.186195,2016-08-03,38.0,Tambusai,Rokan Hulu,Riau
1414,0.406597,100.35289,2016-08-05,26.0,Rokan Iv Koto,Rokan Hulu,Riau
1416,0.8604930000000001,100.14119000000001,2016-08-05,100.0,Bangun Purba,Rokan Hulu,Riau
1417,0.502793,100.233574,2016-08-06,26.0,Rokan Iv Koto,Rokan Hulu,Riau
1433,0.43481099999999995,100.258385,2016-08-07,86.0,Rokan Iv Koto,Rokan Hulu,Riau
1457,0.413364,100.348,2016-08-07,74.0,Rokan Iv Koto,Rokan Hulu,Riau
1523,1.04386,100.17399999999999,2016-08-09,16.0,Tambusai,Rokan Hulu,Riau
1547,1.261321,100.929535,2016-08-10,79.0,Bonai Darussalam,Rokan Hulu,Riau
1599,1.23765,100.736,2016-08-12,74.0,Kepenuhan,Rokan Hulu,Riau
1634,0.482353,100.678,2016-08-13,88.0,Kabun,Rokan Hulu,Riau
1677,1.302792,100.89045,2016-08-14,68.0,Bonai Darussalam,Rokan Hulu,Riau
1678,1.300502,100.875008,2016-08-14,72.0,Bonai Darussalam,Rokan Hulu,Riau
1681,1.35555,100.92952,2016-08-14,68.0,Bonai Darussalam,Rokan Hulu,Riau
1702,1.3062,100.906,2016-08-14,57.0,Bonai Darussalam,Rokan Hulu,Riau
1790,1.331337,100.85302,2016-08-15,85.0,Bonai Darussalam,Rokan Hulu,Riau
1797,1.315887,100.925636,2016-08-15,92.0,Bonai Darussalam,Rokan Hulu,Riau
1798,1.313273,100.907837,2016-08-15,100.0,Bonai Darussalam,Rokan Hulu,Riau
1799,1.305133,100.922043,2016-08-15,82.0,Bonai Darussalam,Rokan Hulu,Riau
1800,1.317485,100.920242,2016-08-15,97.0,Bonai Darussalam,Rokan Hulu,Riau
1801,1.3150030000000001,100.902412,2016-08-15,93.0,Bonai Darussalam,Rokan Hulu,Riau
1802,1.332164,100.845734,2016-08-15,91.0,Bonai Darussalam,Rokan Hulu,Riau
1851,0.49989700000000004,100.646484,2016-08-16,35.0,Kabun,Rokan Hulu,Riau
1852,0.49860699999999997,100.63748199999999,2016-08-16,88.0,Kabun,Rokan Hulu,Riau
1853,0.5813729999999999,100.508263,2016-08-16,79.0,Rokan Iv Koto,Rokan Hulu,Riau
1854,0.590403,100.506912,2016-08-16,61.0,Rokan Iv Koto,Rokan Hulu,Riau
1855,0.62267,100.47440300000001,2016-08-16,92.0,Rokan Iv Koto,Rokan Hulu,Riau
1873,0.49999499999999997,100.646439,2016-08-16,65.0,Kabun,Rokan Hulu,Riau
