,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
82,0.992849,101.894913,2014-08-07,46.0,Siak,Siak,Riau
117,0.7501800000000001,102.099869,2014-08-11,53.0,Siak Sri Indrapura,Siak,Riau
118,3.0675619999999997,116.434265,2014-08-11,38.0,Siak Sri Indrapura,Siak,Riau
119,3.183005,116.491127,2014-08-11,38.0,Siak Sri Indrapura,Siak,Riau
120,3.47497,116.50801100000001,2014-08-11,69.0,Siak Sri Indrapura,Siak,Riau
121,3.691098,108.248749,2014-08-11,31.0,Siak Sri Indrapura,Siak,Riau
122,-2.0,121.38076799999999,2014-08-11,100.0,Siak Sri Indrapura,Siak,Riau
159,0.9434959999999999,101.469086,2014-08-16,30.0,Siak,Siak,Riau
160,0.764534,102.115944,2014-08-18,23.0,Siak Sri Indrapura,Siak,Riau
217,0.931837,101.568291,2014-08-18,39.0,Siak,Siak,Riau
309,1.14351,101.044,2018-08-11,64.0,Kandis,Siak,Riau
310,1.1344299999999998,101.04299999999999,2018-08-11,9.0,Kandis,Siak,Riau
311,1.11001,101.02,2018-08-11,100.0,Kandis,Siak,Riau
312,1.10859,101.029,2018-08-11,100.0,Kandis,Siak,Riau
313,1.10717,101.039,2018-08-11,100.0,Kandis,Siak,Riau
314,1.1009200000000001,101.01899999999999,2018-08-11,100.0,Kandis,Siak,Riau
315,1.0995,101.02799999999999,2018-08-11,78.0,Kandis,Siak,Riau
352,1.1394600000000001,101.045,2018-08-12,100.0,Kandis,Siak,Riau
353,1.1135,101.025,2018-08-12,76.0,Kandis,Siak,Riau
354,1.1119700000000001,101.035,2018-08-12,38.0,Kandis,Siak,Riau
355,1.10253,101.01299999999999,2018-08-12,71.0,Kandis,Siak,Riau
356,1.101,101.023,2018-08-12,95.0,Kandis,Siak,Riau
1132,1.147248,101.044609,2018-08-23,42.0,Kandis,Siak,Riau
1136,1.0005979999999999,101.174339,2018-08-21,64.0,Kandis,Siak,Riau
1138,0.9415620000000001,101.12799999999999,2018-08-23,70.0,Kandis,Siak,Riau
1251,1.15459,101.046,2018-08-26,45.0,Kandis,Siak,Riau
1255,1.0590899999999999,101.009,2018-08-26,67.0,Kandis,Siak,Riau
1256,1.01314,101.07799999999999,2018-08-26,87.0,Kandis,Siak,Riau
1264,1.148919,101.04937,2018-08-26,54.0,Kandis,Siak,Riau
1361,1.02958,101.12,2018-08-30,40.0,Kandis,Siak,Riau
1363,1.0366799999999998,101.111,2018-08-30,100.0,Kandis,Siak,Riau
1364,1.03552,101.103,2018-08-30,82.0,Kandis,Siak,Riau
1402,0.9303610000000001,101.487953,2016-08-03,43.0,Sungai Mandau,Siak,Riau
1441,1.0002309999999999,101.685631,2016-08-07,27.0,Sungai Mandau,Siak,Riau
1530,0.898731,101.898712,2016-08-10,47.0,Siak,Siak,Riau
1531,0.896789,101.91184200000001,2016-08-10,30.0,Siak,Siak,Riau
1532,0.894843,101.925003,2016-08-10,14.0,Siak,Siak,Riau
1533,0.8302649999999999,102.13492600000001,2016-08-10,30.0,Mempura,Siak,Riau
1534,0.7207279999999999,102.861877,2016-08-10,36.0,Sungai Apit,Siak,Riau
1535,0.680433,102.834312,2016-08-10,61.0,Sungai Apit,Siak,Riau
1536,0.8208110000000001,101.658234,2016-08-10,35.0,Sungai Mandau,Siak,Riau
1540,0.729403,102.69091800000001,2016-08-10,41.0,Sungai Apit,Siak,Riau
1541,0.739496,102.39875,2016-08-10,54.0,Sungai Apit,Siak,Riau
1579,0.8849940000000001,101.532845,2016-08-12,49.0,Sungai Mandau,Siak,Riau
1580,0.820795,101.655113,2016-08-12,28.0,Sungai Mandau,Siak,Riau
1633,0.6515,102.133,2016-08-13,70.0,Dayun,Siak,Riau
1635,0.724006,101.583,2016-08-13,55.0,Tualang,Siak,Riau
1636,0.933039,102.27799999999999,2016-08-13,100.0,Sungai Apit,Siak,Riau
1637,0.9327200000000001,102.279,2016-08-13,92.0,Sungai Apit,Siak,Riau
1638,0.9016430000000001,101.89,2016-08-13,38.0,Siak,Siak,Riau
1639,1.01462,102.015,2016-08-13,100.0,Pusako,Siak,Riau
1640,1.0842200000000002,102.184,2016-08-13,86.0,Sungai Apit,Siak,Riau
1641,1.02125,101.772,2016-08-13,66.0,Sungai Mandau,Siak,Riau
1658,0.937351,102.264297,2016-08-13,57.0,Sungai Apit,Siak,Riau
1676,0.9353319999999999,102.282837,2016-08-14,57.0,Sungai Apit,Siak,Riau
1760,0.937241,102.273,2016-08-14,65.0,Sungai Apit,Siak,Riau
1761,0.9360229999999999,102.281,2016-08-14,93.0,Sungai Apit,Siak,Riau
1762,0.666783,102.06700000000001,2016-08-14,100.0,Dayun,Siak,Riau
1823,0.664238,102.078087,2016-08-16,33.0,Dayun,Siak,Riau
1826,1.0442559999999999,102.17688000000001,2016-08-16,49.0,Sungai Apit,Siak,Riau
1844,0.668353,102.069,2016-08-15,100.0,Dayun,Siak,Riau
1849,0.6659649999999999,102.070084,2016-08-16,100.0,Dayun,Siak,Riau
1850,0.674975,102.068771,2016-08-16,93.0,Dayun,Siak,Riau
1861,1.0503719999999999,102.18457,2016-08-16,95.0,Sungai Apit,Siak,Riau
1864,1.042618,101.09503199999999,2016-08-16,43.0,Kandis,Siak,Riau
1872,0.6751020000000001,102.068794,2016-08-16,95.0,Dayun,Siak,Riau
1878,0.94305,102.271423,2016-08-16,96.0,Sungai Apit,Siak,Riau
1922,0.669209,102.06299999999999,2016-08-18,69.0,Dayun,Siak,Riau
1923,0.7468199999999999,102.39200000000001,2016-08-18,55.0,Sungai Apit,Siak,Riau
1924,0.931858,102.277,2016-08-18,44.0,Sungai Apit,Siak,Riau
1947,1.145943,101.00466899999999,2016-08-18,49.0,Kandis,Siak,Riau
1948,1.145038,101.010361,2016-08-18,91.0,Kandis,Siak,Riau
1996,1.0,101.0,2016-08-19,65.0,Kandis,Siak,Riau
1997,1.1358489999999999,100.994789,2016-08-19,59.0,Kandis,Siak,Riau
2012,1.047028,101.131943,2016-08-20,38.0,Kandis,Siak,Riau
2013,1.134101,101.011971,2016-08-20,85.0,Kandis,Siak,Riau
2032,1.135867,101.014503,2016-08-21,26.0,Kandis,Siak,Riau
2036,1.0,101.0,2016-08-22,85.0,Kandis,Siak,Riau
2050,1.13313,101.01,2016-08-23,90.0,Kandis,Siak,Riau
2080,0.857074,102.142296,2016-08-23,41.0,Pusako,Siak,Riau
2097,1.0,101.0,2016-08-22,20.0,Kandis,Siak,Riau
2099,1.13031,101.01,2016-08-24,40.0,Kandis,Siak,Riau
2107,1.0,101.0,2016-08-25,87.0,Kandis,Siak,Riau
2108,1.0459180000000001,100.98786199999999,2016-08-25,100.0,Kandis,Siak,Riau
2109,1.04451,100.978088,2016-08-25,61.0,Kandis,Siak,Riau
2110,1.051057,100.957153,2016-08-25,42.0,Kandis,Siak,Riau
2121,1.0,102.0,2016-08-26,31.0,Bunga Raya,Siak,Riau
2124,0.61364,101.702835,2016-08-26,71.0,Tualang,Siak,Riau
2128,1.045424,101.127617,2016-08-26,33.0,Kandis,Siak,Riau
2129,1.037441,101.071663,2016-08-26,79.0,Kandis,Siak,Riau
2130,1.046582,101.070351,2016-08-26,86.0,Kandis,Siak,Riau
